거래ID,고객ID,거래일,거래금액,카테고리,결제방법
T000046,C00355,2023-04-28,361451.0,식품,카드
T000047,C01710,2023-04-27,4462.0,전자,현금
T000048,C01088,2023-06-13,210878.0,생활,카드
T000049,C01486,2024-05-12,381372.0,생활,간편결제
T000050,C01555,2023-03-20,268593.0,뷰티,간편결제
T000051,C01899,2023-09-17,172602.0,뷰티,현금
T000052,C01108,2023-11-20,432836.0,전자,간편결제
T000053,C01400,2023-04-28,6470.0,생활,카드
T000054,C01147,2023-11-03,69869.0,생활,카드
T000055,C00815,2024-04-23,319426.0,전자,간편결제
T000056,C01071,2023-12-01,264337.0,식품,카드
T000057,C01443,2023-09-12,191363.0,생활,카드
T000058,C00885,2023-08-11,191726.0,전자,카드
T000059,C01042,2023-01-25,192357.0,식품,간편결제
T000060,C01502,2023-11-12,366048.0,뷰티,간편결제
T000061,C00304,2023-02-28,71537.0,생활,카드
T000062,C01638,2023-06-27,115472.0,전자,카드
T000063,C00281,2023-01-21,9949.0,생활,현금
T000064,C01579,2023-05-19,,뷰티,간편결제
T000065,C01382,2023-07-03,290678.0,뷰티,카드
T000066,C01784,2023-07-10,351320.0,식품,간편결제
T000067,C00865,2023-03-16,308768.0,뷰티,카드
T000068,C01461,2024-04-22,91720.0,의류,현금
T000069,C01086,2024-03-28,458500.0,전자,간편결제
T000070,C01399,2023-11-02,388819.0,생활,간편결제
T000071,C00332,2023-04-22,428035.0,전자,카드
T000072,C00783,2023-07-02,499805.0,식품,카드
T000073,C00385,2023-10-30,66440.0,전자,간편결제
T000074,C00015,2024-04-20,219546.0,식품,카드
T000075,C01634,2023-02-13,219603.0,식품,카드
T000076,C01078,2023-03-03,46670.0,뷰티,간편결제
T000077,C01183,2023-02-10,112160.0,뷰티,현금
T000078,C01304,2023-06-27,231223.0,생활,카드
T000079,C01553,2023-06-30,398844.0,식품,간편결제
T000080,C01367,2024-05-14,171819.0,뷰티,간편결제
T000081,C01555,2023-07-06,195208.0,식품,카드
T000082,C00720,2024-02-04,53279.0,전자,카드
T000083,C01458,2023-07-15,233875.0,의류,현금
T000084,C01902,2024-04-03,378940.0,생활,카드
T000085,C01289,2023-09-23,350421.0,뷰티,간편결제
T000086,C00851,2024-06-05,353157.0,생활,간편결제
T000087,C00103,2024-03-11,315744.0,생활,카드
T000088,C00097,2023-07-06,129958.0,식품,현금
T000089,C00282,2023-07-22,343189.0,뷰티,카드
T000090,C00009,2023-03-14,230113.0,뷰티,카드
T000091,C01338,2023-10-31,481770.0,전자,카드
T000092,C00946,2023-05-26,286543.0,생활,카드
T000093,C00062,2023-06-27,146962.0,생활,간편결제
T000094,C01736,2023-07-03,484317.0,뷰티,카드
T000095,C01826,2023-06-01,96468.0,전자,현금
T000096,C01264,2023-08-20,498863.0,뷰티,현금
T000097,C00676,2024-02-29,325905.0,식품,카드
T000098,C00938,2023-03-20,101452.0,식품,카드
T000099,C01880,2023-01-14,39855.0,뷰티,카드
T000100,C01284,2023-07-06,104723.0,전자,카드
T000101,C00488,2023-12-13,50407.0,생활,간편결제
T000102,C00847,2024-02-27,74025.0,전자,간편결제
T000103,C00844,2023-04-12,38381.0,뷰티,간편결제
T000104,C01021,2023-10-04,235533.0,의류,간편결제
T000105,C00549,2024-02-25,76178.0,의류,카드
T000106,C00583,2024-02-19,407781.0,생활,카드
T000107,C00473,2023-06-06,31606.0,의류,카드
T000108,C01467,2023-09-17,239385.0,생활,카드
T000109,C01396,2023-06-03,278100.0,의류,간편결제
T000110,C01074,2023-04-14,208953.0,생활,카드
T000111,C00529,2024-06-13,409435.0,전자,간편결제
T000112,C01506,2024-01-20,51519.0,의류,간편결제
T000113,C01645,2023-02-11,8551.0,의류,현금
T000114,C00155,2023-07-15,303756.0,생활,간편결제
T000115,C01614,2024-05-23,54966.0,의류,카드
T000116,C00144,2023-01-30,177496.0,식품,간편결제
T000117,C00863,2023-07-11,92725.0,의류,카드
T000118,C01090,2024-03-18,220963.0,의류,현금
T000119,C01150,2024-04-08,458839.0,생활,간편결제
T000120,C00790,2024-06-12,10586.0,전자,간편결제
T000121,C00320,2023-04-24,355234.0,생활,간편결제
T000122,C01523,2023-04-06,177535.0,뷰티,간편결제
T000123,C01022,2023-06-17,274364.0,식품,카드
T000124,C01916,2023-03-21,282047.0,의류,현금
T000125,C01142,2023-08-21,378229.0,의류,간편결제
T000126,C00006,2023-06-11,420248.0,뷰티,간편결제
T000127,C01657,2023-03-03,25394.0,뷰티,간편결제
T000128,C00709,2023-06-13,393389.0,식품,간편결제
T000129,C01589,2023-11-16,164918.0,뷰티,카드
T000130,C00565,2023-08-12,486735.0,전자,카드
T000131,C01998,2023-08-04,434436.0,뷰티,현금
T000132,C00600,2023-06-28,166115.0,생활,간편결제
T000133,C01951,2023-05-16,195420.0,생활,간편결제
T000134,C01673,2023-05-03,427037.0,전자,현금
T000135,C01701,2023-02-03,187996.0,의류,카드
T000136,C00903,2023-11-22,12815.0,생활,간편결제
T000137,C01594,2023-05-28,200551.0,생활,카드
T000138,C00353,2024-05-20,292185.0,뷰티,간편결제
T000139,C00781,2023-07-03,309290.0,뷰티,카드
T000140,C00947,2023-12-25,308082.0,생활,간편결제
T000141,C00588,2023-12-28,152216.0,의류,카드
T000142,C00791,2023-08-08,49695.0,의류,현금
T000143,C01635,2023-05-24,272359.0,생활,간편결제
T000144,C01346,2024-01-11,479003.0,전자,카드
T000145,C00786,2023-12-16,92699.0,전자,카드
T000146,C00646,2023-12-19,227976.0,뷰티,현금
T000147,C01848,2023-02-23,243631.0,뷰티,간편결제
T000148,C01797,2024-05-19,462908.0,의류,카드
T000149,C00073,2023-11-05,419143.0,식품,간편결제
T000150,C00967,2023-01-16,298446.0,의류,간편결제
T000151,C00342,2023-12-15,12078.0,뷰티,현금
T000152,C01305,2024-06-28,173878.0,뷰티,간편결제
T000153,C00681,2024-04-30,271545.0,전자,현금
T000154,C00155,2023-01-14,117013.0,식품,간편결제
T000155,C00855,2024-01-31,58235.0,생활,간편결제
T000156,C01733,2023-07-09,2069.0,전자,카드
T000157,C00590,2023-08-03,327596.0,식품,카드
T000158,C01604,2023-02-23,199939.0,생활,간편결제
T000159,C00249,2024-02-24,183802.0,식품,카드
T000160,C00688,2024-03-20,300372.0,뷰티,간편결제
T000161,C01557,2024-04-25,375339.0,뷰티,카드
T000162,C01822,2023-02-01,17787.0,식품,카드
T000163,C00426,2023-06-21,475984.0,식품,간편결제
T000164,C01636,2023-08-31,257304.0,뷰티,카드
T000165,C01544,2023-06-23,389333.0,식품,간편결제
T000166,C00473,2024-04-06,306147.0,뷰티,현금
T000167,C00051,2023-04-23,186131.0,식품,간편결제
T000168,C00794,2024-05-18,34055.0,뷰티,간편결제
T000169,C01709,2023-10-31,128155.0,생활,간편결제
T000170,C00314,2023-07-12,114645.0,의류,간편결제
T000171,C01166,2023-02-18,106363.0,식품,간편결제
T000172,C00299,2023-08-05,242299.0,생활,간편결제
T000173,C01251,2023-09-05,9063.0,의류,카드
T000174,C01480,2023-08-28,407311.0,의류,카드
T000175,C01835,2023-02-05,225580.0,뷰티,카드
T000176,C01118,2023-10-18,65644.0,전자,간편결제
T000177,C01092,2023-11-27,300530.0,전자,카드
T000178,C00299,2023-02-15,206138.0,생활,카드
T000179,C01853,2023-12-02,188122.0,식품,카드
T000180,C01127,2023-06-06,468430.0,의류,카드
T000181,C01976,2023-09-16,135845.0,전자,간편결제
T000182,C00719,2023-04-19,317103.0,의류,카드
T000183,C01571,2024-05-11,4258.0,전자,간편결제
T000184,C01183,2023-09-02,103192.0,식품,카드
T000185,C00796,2023-01-18,133480.0,식품,현금
T000186,C00651,2023-05-06,181124.0,의류,카드
T000187,C01062,2024-05-19,229873.0,식품,간편결제
T000188,C01270,2023-06-09,105117.0,식품,카드
T000189,C00367,2023-03-20,39913.0,식품,현금
T000190,C00112,2024-04-04,305330.0,의류,간편결제
T000191,C01773,2024-05-09,431429.0,뷰티,카드
T000192,C01358,2024-04-16,419266.0,식품,현금
T000193,C01741,2023-06-15,405191.0,뷰티,간편결제
T000194,C00463,2023-01-07,438779.0,생활,간편결제
T000195,C01136,2024-04-19,11690.0,생활,카드
T000196,C01400,2023-09-11,78742.0,전자,카드
T000197,C01107,2023-04-09,,생활,현금
T000198,C01773,2024-05-24,241614.0,의류,현금
T000199,C00930,2023-12-10,146366.0,의류,카드
T000200,C00567,2023-11-15,262412.0,의류,카드
T000201,C01187,2023-10-03,85104.0,식품,간편결제
T000202,C00057,2023-07-26,183003.0,뷰티,카드
T000203,C01384,2023-05-13,19513.0,생활,간편결제
T000204,C01922,2023-05-11,426834.0,전자,카드
T000205,C01309,2024-01-06,386412.0,의류,간편결제
T000206,C01770,2024-02-16,282083.0,전자,카드
T000207,C01541,2024-03-25,38373.0,뷰티,간편결제
T000208,C01293,2023-03-19,52400.0,뷰티,카드
T000209,C01775,2023-03-16,299998.0,생활,간편결제
T000210,C01480,2023-10-23,272008.0,식품,간편결제
T000211,C01747,2023-08-18,149448.0,식품,카드
T000212,C00165,2023-03-01,235228.0,생활,현금
T000213,C01317,2024-01-29,20538.0,의류,현금
T000214,C00694,2024-02-07,280878.0,의류,간편결제
T000215,C00126,2023-06-21,147819.0,생활,현금
T000216,C00761,2023-10-15,85599.0,생활,간편결제
T000217,C01218,2023-04-24,159345.0,생활,카드
T000218,C00062,2024-03-09,223946.0,전자,카드
T000219,C01731,2023-04-09,105078.0,식품,간편결제
T000220,C01232,2023-05-23,298854.0,의류,카드
T000221,C00404,2023-07-16,93359.0,의류,카드
T000222,C00421,2023-06-08,349081.0,전자,카드
T000223,C01003,2023-09-29,274644.0,생활,카드
T000224,C01972,2023-02-13,32140.0,전자,간편결제
T000225,C01926,2023-12-25,160837.0,생활,간편결제
T000226,C01465,2023-06-26,271149.0,의류,간편결제
T000227,C00581,2023-04-22,53052.0,식품,간편결제
T000228,C00928,2024-06-19,335087.0,생활,카드
T000229,C01606,2023-08-16,107849.0,뷰티,현금
T000230,C01582,2023-02-01,116324.0,뷰티,카드
T000231,C00575,2023-12-13,66954.0,생활,간편결제
T000232,C01222,2023-04-27,129076.0,식품,간편결제
T000233,C00520,2023-09-29,272822.0,생활,간편결제
T000234,C00772,2023-05-09,220897.0,의류,현금
T000235,C01700,2023-07-18,340837.0,뷰티,간편결제
T000236,C01366,2023-02-02,252195.0,식품,현금
T000237,C01914,2023-02-22,82798.0,전자,카드
T000238,C00156,2023-04-15,135106.0,의류,카드
T000239,C01690,2023-06-10,154439.0,식품,현금
T000240,C00175,2023-07-04,182133.0,생활,카드
T000241,C01201,2023-10-15,57495.0,생활,간편결제
T000242,C00220,2023-06-09,282943.0,뷰티,카드
T000243,C01353,2024-03-28,303641.0,생활,카드
T000244,C01750,2023-06-07,266346.0,생활,간편결제
T000245,C00145,2023-05-24,166332.0,생활,카드
T000246,C00110,2023-08-18,83672.0,의류,간편결제
T000247,C00114,2023-12-20,44473.0,생활,현금
T000248,C01448,2023-09-02,248707.0,의류,카드
T000249,C00302,2023-08-14,150660.0,식품,카드
T000250,C01976,2023-07-21,58697.0,뷰티,간편결제
T000251,C00482,2023-07-24,142947.0,전자,카드
T000252,C01900,2023-06-01,244557.0,의류,간편결제
T000253,C00938,2023-08-03,74734.0,의류,카드
T000254,C00999,2024-03-18,475808.0,뷰티,카드
T000255,C00049,2023-06-09,70500.0,식품,간편결제
T000256,C01721,2024-03-18,304314.0,뷰티,간편결제
T000257,C01367,2023-01-06,467169.0,식품,간편결제
T000258,C00302,2023-04-10,109831.0,의류,현금
T000259,C00332,2024-03-26,466362.0,전자,현금
T000260,C00954,2023-07-30,91138.0,식품,카드
T000261,C00740,2023-12-03,349623.0,식품,카드
T000262,C01802,2023-04-13,194697.0,의류,카드
T000263,C00992,2023-01-02,303584.0,식품,현금
T000264,C00153,2023-12-10,251342.0,의류,카드
T000265,C00013,2023-05-17,22497.0,의류,간편결제
T000266,C01220,2023-06-11,163632.0,식품,카드
T000267,C00192,2024-06-24,442452.0,의류,간편결제
T000268,C00651,2023-07-23,172211.0,전자,간편결제
T000269,C00626,2023-03-09,458999.0,의류,카드
T000270,C01118,2023-08-05,241044.0,식품,카드
T000271,C01576,2023-11-04,236175.0,식품,카드
T000272,C00340,2023-05-29,342001.0,생활,간편결제
T000273,C01445,2023-07-04,43024.0,의류,카드
T000274,C00798,2023-09-04,342667.0,식품,간편결제
T000275,C01236,2023-05-21,98475.0,전자,현금
T000276,C01773,2024-03-18,368035.0,전자,현금
T000277,C00780,2023-03-03,82553.0,의류,간편결제
T000278,C01196,2023-12-31,126911.0,생활,카드
T000279,C00174,2023-03-04,130041.0,생활,간편결제
T000280,C00725,2023-02-14,239969.0,전자,간편결제
T000281,C00373,2024-03-05,348765.0,생활,카드
T000282,C01759,2024-01-20,365617.0,생활,간편결제
T000283,C00864,2024-06-29,,뷰티,간편결제
T000284,C00140,2023-12-20,444406.0,뷰티,카드
T000285,C01126,2023-05-28,329314.0,뷰티,카드
T000286,C01085,2023-10-09,39903.0,생활,간편결제
T000287,C00361,2024-05-02,274192.0,생활,카드
T000288,C00569,2023-03-02,202705.0,전자,간편결제
T000289,C00704,2023-08-22,470025.0,의류,현금
T000290,C01226,2023-02-12,94452.0,식품,현금
T000291,C01008,2024-01-29,,전자,현금
T000292,C01833,2023-08-09,235763.0,뷰티,카드
T000293,C01920,2023-06-09,76870.0,생활,현금
T000294,C00497,2023-04-21,61095.0,의류,간편결제
T000295,C01733,2023-09-17,,전자,카드
T000296,C00513,2023-05-14,150825.0,식품,카드
T000297,C00356,2023-01-18,87704.0,식품,현금
T000298,C01569,2023-03-22,161737.0,전자,현금
T000299,C00588,2023-02-25,415693.0,식품,간편결제
T000300,C01457,2023-07-03,127456.0,전자,카드
T000301,C01400,2023-03-08,2281.0,식품,간편결제
T000302,C01049,2023-04-22,138943.0,생활,현금
T000303,C01687,2023-11-25,353279.0,전자,간편결제
T000304,C01292,2024-03-13,50814.0,의류,현금
T000305,C00507,2023-03-06,84987.0,의류,간편결제
T000306,C00286,2024-03-05,19330.0,식품,간편결제
T000307,C00003,2024-04-15,177580.0,전자,카드
T000308,C00364,2024-05-17,318222.0,생활,카드
T000309,C01808,2024-01-25,116844.0,뷰티,카드
T000310,C01951,2023-10-09,69213.0,생활,카드
T000311,C00768,2023-06-01,102267.0,생활,카드
T000312,C00693,2024-05-10,,식품,현금
T000313,C01951,2023-11-27,275914.0,뷰티,카드
T000314,C01291,2023-02-13,151086.0,전자,카드
T000315,C01024,2023-05-29,175579.0,식품,간편결제
T000316,C00066,2023-09-20,342578.0,뷰티,카드
T000317,C00004,2023-06-02,79352.0,전자,카드
T000318,C00190,2023-05-21,250087.0,의류,카드
T000319,C01340,2023-01-20,103012.0,뷰티,카드
T000320,C00012,2023-10-04,198508.0,생활,카드
T000321,C01535,2024-05-28,52527.0,의류,카드
T000322,C01337,2023-11-02,437694.0,전자,간편결제
T000323,C00428,2024-05-07,341556.0,식품,간편결제
T000324,C00335,2023-08-21,495992.0,생활,간편결제
T000325,C01445,2023-07-03,6825.0,전자,카드
T000326,C00350,2024-03-29,407798.0,생활,간편결제
T000327,C01853,2023-12-23,50961.0,의류,현금
T000328,C00348,2024-03-11,299871.0,생활,카드
T000329,C00137,2023-07-31,343800.0,식품,현금
T000330,C01634,2023-03-10,226480.0,뷰티,간편결제
T000331,C01266,2023-03-27,60149.0,뷰티,카드
T000332,C01489,2023-03-12,400220.0,의류,카드
T000333,C00369,2023-07-05,253169.0,생활,카드
T000334,C01510,2024-03-25,368476.0,식품,간편결제
T000335,C00335,2024-05-11,211150.0,의류,카드
T000336,C01965,2023-10-01,64034.0,식품,현금
T000337,C00344,2024-01-30,298422.0,전자,간편결제
T000338,C01341,2023-10-12,389250.0,뷰티,간편결제
T000339,C01119,2023-09-11,13377.0,생활,카드
T000340,C00156,2023-04-16,190679.0,뷰티,카드
T000341,C00344,2023-01-16,258296.0,전자,카드
T000342,C00797,2023-01-18,444647.0,식품,간편결제
T000343,C01258,2024-04-12,185409.0,전자,현금
T000344,C01168,2024-06-10,230295.0,생활,카드
T000345,C01679,2024-05-18,190031.0,의류,카드
T000346,C01273,2024-03-09,430875.0,식품,간편결제
T000347,C01629,2024-03-11,,생활,카드
T000348,C00425,2023-01-23,185572.0,식품,간편결제
T000349,C00155,2023-05-16,182465.0,의류,간편결제
T000350,C00434,2023-08-23,360419.0,생활,카드
T000351,C00990,2023-04-08,478855.0,전자,카드
T000352,C00950,2023-09-24,296513.0,뷰티,간편결제
T000353,C01107,2023-04-25,38331.0,의류,카드
T000354,C00727,2023-06-13,175633.0,뷰티,간편결제
T000355,C00744,2023-03-25,74643.0,뷰티,카드
T000356,C00738,2023-11-15,338599.0,식품,카드
T000357,C00659,2023-03-23,214845.0,뷰티,간편결제
T000358,C00807,2023-11-17,26928.0,의류,간편결제
T000359,C00568,2023-02-25,275864.0,전자,간편결제
T000360,C01408,2023-03-25,,의류,간편결제
T000361,C01334,2024-01-11,372373.0,생활,카드
T000362,C01294,2023-01-09,172365.0,의류,간편결제
T000363,C00093,2023-05-24,94199.0,전자,카드
T000364,C01983,2023-04-04,344410.0,뷰티,카드
T000365,C01813,2024-05-04,449536.0,뷰티,카드
T000366,C00081,2023-09-28,27544.0,생활,카드
T000367,C00347,2023-02-14,81342.0,식품,간편결제
T000368,C00137,2024-03-03,478933.0,의류,간편결제
T000369,C01389,2023-09-13,373227.0,식품,카드
T000370,C00415,2023-11-05,468602.0,생활,현금
T000371,C00837,2023-11-10,130967.0,생활,카드
T000372,C00120,2023-09-23,365051.0,식품,카드
T000373,C00910,2024-03-29,197553.0,의류,카드
T000374,C01667,2023-04-16,209239.0,뷰티,현금
T000375,C01295,2023-08-13,19860.0,식품,간편결제
T000376,C00481,2023-09-25,273932.0,의류,간편결제
T000377,C01245,2024-06-06,359713.0,뷰티,간편결제
T000378,C01566,2023-08-09,23925.0,전자,카드
T000379,C00704,2024-02-04,172340.0,뷰티,간편결제
T000380,C01130,2023-11-07,181716.0,전자,카드
T000381,C01761,2023-06-25,205011.0,식품,카드
T000382,C01739,2023-05-28,,식품,카드
T000383,C01460,2024-03-19,131756.0,전자,카드
T000384,C00591,2023-01-09,73251.0,식품,간편결제
T000385,C00302,2023-09-15,107035.0,뷰티,간편결제
T000386,C00032,2023-06-25,128348.0,식품,간편결제
T000387,C00453,2023-07-29,15482.0,뷰티,간편결제
T000388,C00879,2023-03-15,252110.0,뷰티,카드
T000389,C00488,2023-02-12,33114.0,뷰티,카드
T000390,C00669,2023-02-16,4601.0,식품,간편결제
T000391,C01405,2023-12-28,387536.0,의류,간편결제
T000392,C00060,2023-06-27,163524.0,의류,카드
T000393,C00081,2023-09-22,367544.0,전자,현금
T000394,C00620,2024-05-25,40614.0,전자,간편결제
T000395,C00020,2023-04-23,223527.0,식품,간편결제
T000396,C00601,2024-06-15,407740.0,의류,간편결제
T000397,C01641,2023-09-04,28185.0,의류,간편결제
T000398,C01375,2023-10-08,371490.0,식품,현금
T000399,C00636,2023-11-03,4705.0,식품,간편결제
T000400,C00378,2024-01-24,99171.0,전자,간편결제
T000401,C01940,2023-09-03,171765.0,의류,간편결제
T000402,C00730,2023-06-02,8027.0,뷰티,카드
T000403,C01628,2023-03-04,42889.0,전자,카드
T000404,C01843,2023-05-03,188762.0,전자,카드
T000405,C00839,2023-02-06,492793.0,뷰티,카드
T000406,C00986,2023-07-20,400727.0,의류,카드
T000407,C01216,2023-01-08,282566.0,생활,간편결제
T000408,C00123,2023-10-14,136791.0,전자,간편결제
T000409,C01513,2023-03-29,289617.0,의류,카드
T000410,C01940,2023-09-02,226555.0,생활,간편결제
T000411,C01167,2023-06-24,299981.0,식품,카드
T000412,C01837,2023-06-22,,의류,현금
T000413,C01819,2024-05-27,245222.0,식품,간편결제
T000414,C01924,2024-01-30,81950.0,생활,현금
T000415,C01849,2023-12-26,318179.0,생활,카드
T000416,C01685,2023-04-14,163643.0,전자,카드
T000417,C01194,2023-05-05,126708.0,의류,카드
T000418,C00158,2023-08-25,489228.0,뷰티,카드
T000419,C01050,2023-08-18,361977.0,전자,카드
T000420,C01090,2023-06-12,18586.0,뷰티,카드
T000421,C01084,2023-12-21,287544.0,뷰티,간편결제
T000422,C01958,2023-12-10,284829.0,생활,카드
T000423,C00660,2023-04-04,170513.0,전자,카드
T000424,C00302,2023-03-30,216424.0,뷰티,카드
T000425,C01580,2023-07-29,50327.0,식품,간편결제
T000426,C00971,2023-04-12,455812.0,전자,간편결제
T000427,C01390,2024-06-17,341502.0,뷰티,카드
T000428,C00046,2023-02-14,69072.0,의류,간편결제
T000429,C00960,2024-04-06,173665.0,의류,간편결제
T000430,C01556,2024-06-21,393915.0,의류,간편결제
T000431,C00446,2024-04-18,467729.0,뷰티,현금
T000432,C01808,2023-08-10,91084.0,의류,간편결제
T000433,C01828,2024-01-27,158363.0,의류,카드
T000434,C00103,2023-06-27,366528.0,의류,카드
T000435,C00368,2023-08-19,,전자,카드
T000436,C01710,2023-11-02,373212.0,생활,카드
T000437,C01795,2023-05-17,92987.0,뷰티,간편결제
T000438,C00195,2023-06-07,250184.0,생활,간편결제
T000439,C00753,2023-09-25,194615.0,뷰티,카드
T000440,C01749,2023-05-17,86607.0,식품,현금
T000441,C01399,2023-04-03,27435.0,의류,간편결제
T000442,C01778,2023-07-20,342654.0,식품,간편결제
T000443,C00615,2023-03-22,169060.0,의류,현금
T000444,C00212,2023-09-03,463724.0,식품,현금
T000445,C00351,2023-10-27,96305.0,생활,간편결제
T000446,C00821,2023-06-16,232252.0,의류,카드
T000447,C00109,2024-02-29,405194.0,의류,간편결제
T000448,C00932,2023-08-14,51234.0,의류,간편결제
T000449,C01696,2023-06-04,358652.0,뷰티,카드
T000450,C01037,2023-11-29,393700.0,의류,간편결제
T000451,C01057,2023-12-13,364632.0,의류,카드
T000452,C00466,2023-01-03,316523.0,전자,현금
T000453,C00181,2023-10-23,408681.0,의류,간편결제
T000454,C00907,2023-07-08,484605.0,생활,카드
T000455,C01436,2023-07-17,12726.0,전자,카드
T000456,C00159,2023-06-25,190571.0,전자,간편결제
T000457,C01975,2023-03-21,469081.0,식품,간편결제
T000458,C00806,2023-10-06,72640.0,생활,카드
T000459,C00802,2023-03-03,58584.0,뷰티,카드
T000460,C00385,2023-09-20,266549.0,생활,현금
T000461,C01996,2024-02-02,487486.0,식품,카드
T000462,C01264,2023-07-17,479769.0,식품,간편결제
T000463,C01397,2024-05-16,89072.0,생활,간편결제
T000464,C00262,2024-01-08,354327.0,생활,카드
T000465,C00135,2024-05-25,192973.0,생활,간편결제
T000466,C00560,2024-02-28,400343.0,전자,카드
T000467,C00810,2024-03-10,13638.0,생활,간편결제
T000468,C01219,2023-09-05,94282.0,식품,카드
T000469,C01734,2024-04-19,332311.0,전자,간편결제
T000470,C00974,2023-10-24,70174.0,의류,카드
T000471,C01456,2024-06-27,293096.0,의류,카드
T000472,C01863,2023-07-01,496792.0,전자,간편결제
T000473,C01747,2024-06-02,20018.0,전자,간편결제
T000474,C00625,2023-10-04,449408.0,뷰티,현금
T000475,C01974,2023-08-09,66010.0,의류,카드
T000476,C00322,2023-02-23,179094.0,의류,카드
T000477,C01555,2023-05-16,280115.0,뷰티,카드
T000478,C01108,2023-10-10,27428.0,뷰티,카드
T000479,C01119,2023-06-26,71317.0,뷰티,현금
T000480,C01505,2023-03-11,252370.0,의류,간편결제
T000481,C00690,2023-08-25,312425.0,생활,간편결제
T000482,C00550,2023-05-09,158009.0,뷰티,간편결제
T000483,C00543,2024-05-26,484676.0,식품,현금
T000484,C00818,2023-07-29,,의류,현금
T000485,C00342,2023-09-02,394852.0,생활,카드
T000486,C01615,2023-11-10,11233.0,식품,카드
T000487,C01751,2024-05-21,314999.0,의류,간편결제
T000488,C01352,2023-06-19,275676.0,생활,카드
T000489,C00168,2023-06-20,102820.0,생활,간편결제
T000490,C00148,2023-04-24,132559.0,전자,카드
T000491,C01062,2023-10-03,403871.0,의류,카드
T000492,C01485,2023-04-25,107784.0,의류,간편결제
T000493,C00857,2024-02-08,297657.0,전자,현금
T000494,C00832,2023-04-20,139528.0,생활,카드
T000495,C01417,2024-06-19,314292.0,의류,간편결제
T000496,C00481,2023-05-23,130457.0,의류,카드
T000497,C00692,2023-05-15,310129.0,식품,간편결제
T000498,C01022,2023-04-25,163637.0,생활,간편결제
T000499,C00101,2023-01-05,290901.0,뷰티,간편결제
T000500,C00811,2023-07-18,25044.0,전자,카드
T000501,C00562,2023-08-24,405117.0,뷰티,카드
T000502,C00553,2023-07-05,252279.0,생활,카드
T000503,C00377,2023-01-31,348124.0,생활,간편결제
T000504,C00792,2023-08-12,67623.0,생활,간편결제
T000505,C00738,2023-03-25,85661.0,생활,간편결제
T000506,C01603,2023-10-25,30364.0,의류,현금
T000507,C00204,2023-09-03,216439.0,의류,간편결제
T000508,C00036,2023-01-01,309110.0,전자,카드
T000509,C01926,2023-04-03,87602.0,전자,카드
T000510,C00311,2023-04-19,204580.0,뷰티,간편결제
T000511,C00363,2023-10-19,78207.0,생활,카드
T000512,C00420,2024-06-28,384716.0,전자,간편결제
T000513,C01008,2024-02-25,454728.0,의류,간편결제
T000514,C01238,2023-12-30,73496.0,전자,카드
