고객ID,연월,로그인횟수,서비스이용시간(분),문의횟수,불만횟수
C00024,2024-06,26,1303,0,0
C00025,2023-01,26,1686,0,1
C00025,2023-02,30,1644,2,0
C00025,2023-03,36,1365,0,1
C00025,2023-04,23,1402,2,0
C00025,2023-05,27,1876,2,0
C00025,2023-06,30,889,2,0
C00025,2023-07,38,1693,1,1
C00025,2023-08,32,1445,2,0
C00025,2023-09,44,1716,1,0
C00025,2023-10,42,1777,0,0
C00025,2023-11,35,1155,1,0
C00025,2023-12,32,1538,3,0
C00025,2024-01,35,1282,3,0
C00025,2024-02,24,1894,1,1
C00025,2024-03,50,1903,3,0
C00025,2024-04,31,1440,1,0
C00025,2024-05,24,1549,2,0
C00025,2024-06,46,1205,2,0
C00026,2023-01,18,2395,2,1
C00026,2023-02,47,1499,4,0
C00026,2023-03,20,1551,2,1
C00026,2023-04,31,1563,3,0
C00026,2023-09,21,1256,4,2
C00026,2023-10,16,1396,2,2
C00026,2023-12,19,315,3,2
C00026,2024-03,28,886,1,2
C00026,2024-05,14,465,4,2
C00026,2024-06,0,1268,5,5
C00027,2023-01,45,1290,2,1
C00027,2023-02,42,1362,1,0
C00027,2023-04,33,1266,5,2
C00027,2023-05,44,1271,3,1
C00027,2023-08,37,1453,2,0
C00027,2023-11,25,1395,2,1
C00027,2023-12,16,1398,7,1
C00027,2024-01,29,713,6,3
C00027,2024-05,18,493,3,3
C00027,2024-06,0,499,5,3
C00028,2023-01,39,1034,3,1
C00028,2023-02,43,1681,3,0
C00028,2023-04,46,1834,1,1
C00028,2023-05,36,1489,2,1
C00028,2023-07,25,1080,2,0
C00028,2023-08,27,1343,1,0
C00028,2023-09,20,1841,2,0
C00028,2023-11,63,943,0,0
C00028,2023-12,27,1597,2,0
C00028,2024-02,26,1368,2,0
C00028,2024-04,46,2086,0,1
C00028,2024-06,53,1793,2,1
C00029,2023-01,45,974,2,0
C00029,2023-02,36,2030,2,0
C00029,2023-03,28,1252,0,1
C00029,2023-06,33,719,2,0
C00029,2023-08,14,1646,2,0
C00029,2023-09,42,1619,3,1
C00029,2023-10,40,2467,0,0
C00029,2023-11,35,1072,2,0
C00029,2023-12,37,982,2,0
C00029,2024-01,42,1448,2,0
C00029,2024-02,47,1683,1,1
C00029,2024-04,42,1607,1,0
C00029,2024-05,38,1789,0,0
C00030,2023-01,35,2386,3,0
C00030,2023-02,37,1798,3,0
C00030,2023-03,25,1869,3,1
C00030,2023-04,24,1374,1,0
C00030,2023-05,45,1495,1,0
C00030,2023-06,29,1514,1,0
C00030,2023-07,22,905,0,1
C00030,2023-08,30,1591,2,0
C00030,2023-09,27,816,1,1
C00030,2023-10,24,1569,3,0
C00030,2023-11,26,1993,0,0
C00030,2023-12,20,1622,0,0
C00030,2024-01,33,1274,1,1
C00030,2024-02,18,1744,1,0
C00030,2024-03,33,1933,0,0
C00030,2024-04,30,1007,1,0
C00030,2024-05,33,1747,0,0
C00030,2024-06,28,1819,1,0
C00031,2023-01,44,2188,2,1
C00031,2023-02,53,2147,1,0
C00031,2023-03,37,1605,2,0
C00031,2023-06,30,1774,3,2
C00031,2023-08,38,1637,2,1
C00031,2023-09,35,1227,5,2
C00031,2023-11,26,1335,4,2
C00031,2023-12,22,906,4,3
C00031,2024-01,10,606,6,2
C00031,2024-03,16,819,5,1
C00031,2024-04,5,1028,4,4
C00032,2023-02,38,2224,4,0
C00032,2023-03,35,1752,0,0
C00032,2023-04,41,2067,0,1
C00032,2023-05,33,1679,0,0
C00032,2023-07,24,1607,6,1
C00032,2023-08,22,1907,3,2
C00032,2023-10,29,1232,7,1
C00032,2023-12,25,862,1,4
C00032,2024-01,20,969,2,2
C00032,2024-03,18,1154,4,3
C00032,2024-04,7,444,3,3
C00032,2024-05,5,404,3,5
C00033,2023-01,34,2455,5,2
C00033,2023-02,38,1472,0,0
C00033,2023-04,40,1914,0,1
C00033,2023-06,35,1879,0,2
C00033,2023-09,40,1703,3,0
C00033,2023-10,10,1122,4,0
C00033,2023-11,23,986,4,1
C00033,2024-01,21,529,5,4
C00033,2024-03,6,1004,3,2
C00033,2024-04,20,669,5,1
C00033,2024-06,17,275,7,1
C00034,2023-02,32,2365,0,0
C00034,2023-03,30,1253,3,1
C00034,2023-04,39,1540,2,0
C00034,2023-05,36,1529,5,0
C00034,2023-06,41,1586,0,0
C00034,2023-07,44,1085,3,0
C00034,2023-08,34,1030,3,1
C00034,2023-09,26,1454,1,0
C00034,2023-10,26,1894,0,0
C00034,2023-11,42,1531,2,1
C00034,2023-12,30,1421,1,1
C00034,2024-01,44,1008,0,0
C00034,2024-02,44,2419,2,2
C00034,2024-04,43,1837,0,0
C00034,2024-05,35,1379,2,0
C00034,2024-06,43,2213,1,1
C00035,2023-01,27,2360,2,1
C00035,2023-02,42,1022,0,0
C00035,2023-03,26,951,1,0
C00035,2023-04,36,1308,2,0
C00035,2023-05,29,1460,2,2
C00035,2023-09,39,1252,3,0
C00035,2023-11,33,1935,1,0
C00035,2023-12,52,1813,2,1
C00035,2024-01,33,823,0,0
C00035,2024-02,30,1079,2,0
C00035,2024-03,25,1691,0,0
C00035,2024-04,44,1753,4,0
C00035,2024-06,40,1210,2,0
C00036,2023-02,39,1350,2,1
C00036,2023-03,39,1813,0,0
C00036,2023-04,22,1003,3,1
C00036,2023-05,31,1550,0,0
C00036,2023-06,29,1692,1,0
C00036,2023-07,31,1256,1,1
C00036,2023-08,24,1095,0,0
C00036,2023-09,36,1712,0,0
C00036,2023-10,19,1590,1,1
C00036,2024-01,11,2144,2,0
C00036,2024-02,47,825,1,0
C00036,2024-03,33,1918,1,0
C00036,2024-04,49,1173,0,1
C00036,2024-05,31,368,2,1
C00036,2024-06,16,2390,5,0
C00037,2023-03,17,1570,0,2
C00037,2023-04,47,2231,2,0
C00037,2023-05,33,1729,4,0
C00037,2023-06,38,1053,2,1
C00037,2023-08,38,1270,3,2
C00037,2023-09,38,855,4,0
C00037,2023-10,23,2111,4,0
C00037,2024-01,38,1620,1,0
C00037,2024-02,17,1358,1,0
C00037,2024-03,31,1551,2,1
C00037,2024-04,27,1416,1,1
C00037,2024-06,21,776,0,0
C00038,2023-01,39,2465,3,0
C00038,2023-05,30,1409,5,0
C00038,2023-07,34,1662,2,1
C00038,2023-08,30,1189,1,0
C00038,2023-10,22,1302,4,2
C00038,2023-12,25,1325,2,3
C00038,2024-02,10,655,4,4
C00038,2024-04,7,449,0,2
C00039,2023-01,48,2183,4,0
C00039,2023-02,32,1804,4,0
C00039,2023-03,39,765,0,0
C00039,2023-04,40,1645,1,0
C00039,2023-05,34,1957,0,1
C00039,2023-06,24,724,0,0
C00039,2023-07,44,1646,0,0
C00039,2023-08,23,457,2,0
C00039,2023-09,30,1769,3,1
C00039,2023-11,33,2121,2,1
C00039,2024-01,20,1172,0,1
C00039,2024-02,27,1260,0,1
C00039,2024-03,26,1762,2,2
C00039,2024-04,33,1231,2,0
C00039,2024-05,16,1374,2,0
C00039,2024-06,35,1943,1,1
C00040,2023-02,30,2045,0,0
C00040,2023-03,26,2040,0,1
C00040,2023-05,36,831,0,0
C00040,2023-06,39,1080,0,0
C00040,2023-09,51,1855,3,1
C00040,2023-10,50,1921,1,2
C00040,2024-02,45,1664,2,0
C00040,2024-03,29,1322,2,0
C00040,2024-04,18,1303,0,2
C00040,2024-05,26,1805,3,1
C00040,2024-06,39,1326,0,0
C00041,2023-01,24,1388,0,0
C00041,2023-02,55,1539,2,1
C00041,2023-04,27,1635,1,1
C00041,2023-05,40,1470,1,0
C00041,2023-08,24,1614,5,0
C00041,2023-09,20,699,0,0
C00041,2023-11,37,1253,1,0
C00041,2023-12,49,1641,3,0
C00041,2024-01,47,1326,5,0
C00041,2024-02,40,1119,0,0
C00041,2024-03,34,1043,1,0
C00042,2023-02,30,1167,2,0
C00042,2023-03,30,2138,0,0
C00042,2023-04,36,977,3,1
C00042,2023-05,35,710,0,0
C00042,2023-06,32,1470,0,0
C00042,2023-07,48,2055,0,0
C00042,2023-08,38,1790,1,0
C00042,2023-09,36,1966,0,0
C00042,2023-11,49,935,1,0
C00042,2023-12,51,1980,0,0
C00042,2024-01,36,1481,0,0
C00042,2024-02,22,2154,0,1
C00042,2024-05,45,1708,0,0
C00042,2024-06,43,1682,1,0
C00043,2023-01,23,1787,0,0
C00043,2023-02,21,1721,3,1
C00043,2023-03,35,1597,3,0
C00043,2023-04,46,1639,4,0
C00043,2023-05,31,1557,2,0
C00043,2023-06,42,1349,0,1
C00043,2023-07,50,916,4,0
C00043,2023-08,38,1259,2,0
C00043,2023-09,28,2478,1,0
C00043,2023-10,30,1922,2,0
C00043,2023-11,34,1675,3,1
C00043,2023-12,27,1489,3,1
C00043,2024-01,42,1064,3,0
C00043,2024-02,23,1331,2,0
C00043,2024-03,29,2100,2,0
C00043,2024-04,24,1793,0,0
C00043,2024-06,43,1951,1,0
C00044,2023-01,42,1347,0,0
C00044,2023-02,44,1657,1,0
C00044,2023-03,27,1050,0,0
C00044,2023-04,35,1114,1,0
C00044,2023-05,38,1309,3,1
C00044,2023-06,26,1033,3,0
C00044,2023-07,33,749,4,1
C00044,2023-08,35,1328,2,0
C00044,2023-09,41,1775,1,0
C00044,2023-10,26,2183,1,2
C00044,2023-11,43,1013,1,0
C00044,2023-12,31,1663,0,0
C00044,2024-01,19,2369,1,0
C00044,2024-02,37,1560,0,1
C00044,2024-03,50,1360,2,1
C00044,2024-04,39,1146,0,0
C00044,2024-05,35,1269,0,0
C00044,2024-06,21,2124,1,0
C00045,2023-03,50,661,3,1
C00045,2023-05,35,1512,3,0
C00045,2023-06,36,1320,2,0
C00045,2023-07,21,1458,4,0
C00045,2023-08,24,1603,0,1
C00045,2023-09,31,1497,0,0
C00045,2023-12,37,1566,1,0
C00045,2024-03,34,1355,3,1
C00046,2023-01,50,2149,3,0
C00046,2023-02,52,1964,0,1
C00046,2023-03,29,2105,4,2
C00046,2023-07,21,1311,3,0
C00046,2023-12,15,913,6,2
C00046,2024-02,9,1437,5,1
C00046,2024-03,16,648,6,1
C00046,2024-05,0,738,8,1
C00046,2024-06,14,1021,2,3
C00047,2023-01,34,1897,1,0
C00047,2023-02,36,1823,0,1
C00047,2023-03,51,1814,3,0
C00047,2023-04,25,1382,3,1
C00047,2023-05,37,1497,2,3
C00047,2023-07,25,1421,3,0
C00047,2023-10,33,1115,6,0
C00047,2023-11,23,1860,0,0
C00047,2023-12,19,928,6,1
C00047,2024-01,16,1339,3,3
C00047,2024-02,10,737,3,3
C00047,2024-03,29,199,9,3
C00047,2024-04,10,537,4,4
C00047,2024-05,18,0,6,5
C00048,2023-01,53,2837,4,0
C00048,2023-02,26,1426,2,0
C00048,2023-05,17,1399,2,1
C00048,2023-08,21,2001,0,0
C00048,2023-09,30,2288,4,0
C00048,2023-11,29,866,3,1
C00048,2023-12,46,1369,0,1
C00048,2024-01,26,1374,0,1
C00048,2024-03,18,1652,1,0
C00048,2024-04,48,1780,0,0
C00048,2024-05,26,1522,1,0
C00048,2024-06,35,1412,4,0
C00049,2023-01,35,1108,3,0
C00049,2023-02,33,879,2,0
C00049,2023-03,39,1430,0,1
C00049,2023-04,20,2061,1,0
C00049,2023-05,43,1365,0,1
C00049,2023-06,29,2390,3,1
C00049,2023-07,31,1367,3,0
C00049,2023-08,36,1097,2,0
C00049,2023-09,22,1744,0,0
C00049,2023-10,50,1579,5,0
C00049,2023-11,2,1053,0,0
C00049,2023-12,42,1373,3,0
C00049,2024-01,43,1620,1,0
C00049,2024-02,36,1512,4,0
C00049,2024-03,28,1534,2,0
C00049,2024-04,31,2315,2,1
C00049,2024-05,29,1966,3,0
C00049,2024-06,36,1204,0,1
C00050,2023-01,32,1495,0,1
C00050,2023-02,48,1922,2,0
C00050,2023-03,31,1114,3,0
C00050,2023-04,37,2016,3,0
C00050,2023-08,30,1692,3,0
C00050,2023-09,35,1927,1,0
C00050,2023-10,20,1033,4,0
C00050,2023-11,46,1232,4,1
C00050,2023-12,35,1394,2,1
C00050,2024-01,46,1684,1,0
C00050,2024-02,46,1268,3,0
C00050,2024-04,41,1569,0,0
C00050,2024-06,41,1661,0,0
C00051,2023-01,41,835,1,1
C00051,2023-02,38,1760,0,1
C00051,2023-03,33,1542,1,2
C00051,2023-05,29,1178,0,0
C00051,2023-06,16,1585,1,0
C00051,2023-09,40,1284,2,0
C00051,2023-10,33,1608,3,0
C00051,2023-12,46,1314,2,0
C00051,2024-01,27,1699,1,1
C00051,2024-02,23,939,0,0
C00051,2024-03,37,1919,4,0
C00051,2024-04,38,2570,0,0
C00051,2024-05,28,1693,0,0
C00051,2024-06,56,2164,1,0
C00052,2023-01,37,2051,0,2
C00052,2023-02,25,1991,1,1
C00052,2023-03,38,1858,2,2
C00052,2023-04,32,1497,2,0
C00052,2023-05,10,2034,2,0
C00052,2023-08,26,1612,2,1
C00052,2023-10,13,1431,2,2
C00052,2023-11,5,1257,6,2
C00052,2024-02,11,596,1,2
C00052,2024-04,24,1179,7,0
C00052,2024-06,25,504,1,3
C00053,2023-01,47,2053,3,2
C00053,2023-02,34,1331,4,0
C00053,2023-03,30,1742,3,0
C00053,2023-04,18,1491,0,0
C00053,2023-06,27,2187,0,3
C00053,2023-07,48,748,3,0
C00053,2023-08,18,1746,3,1
C00053,2023-09,26,1065,1,2
C00053,2023-12,16,658,1,3
C00053,2024-02,20,832,1,3
C00053,2024-03,17,622,7,3
C00053,2024-05,9,902,0,3
C00053,2024-06,4,0,6,4
C00054,2023-02,26,1757,2,0
C00054,2023-06,27,1597,1,0
C00054,2023-07,29,1269,2,0
C00054,2023-09,22,1083,0,0
C00054,2023-12,42,1550,0,1
C00054,2024-01,28,928,1,0
C00054,2024-04,33,811,2,0
C00054,2024-05,50,1165,1,0
C00054,2024-06,14,2016,1,0
C00055,2023-01,57,2396,2,0
C00055,2023-02,39,1788,0,0
C00055,2023-03,51,2229,1,1
C00055,2023-04,35,2048,0,0
C00055,2023-05,19,1288,6,1
C00055,2023-06,33,1436,2,0
C00055,2023-07,22,1426,5,0
C00055,2023-08,33,1231,5,1
C00055,2023-09,17,1254,4,2
C00055,2023-10,21,967,2,0
C00055,2023-12,25,617,6,2
C00055,2024-01,25,411,4,3
C00055,2024-02,22,888,7,4
C00055,2024-03,21,701,4,2
C00055,2024-04,7,585,5,2
C00055,2024-05,0,371,6,3
C00056,2023-01,13,1112,1,0
C00056,2023-03,33,1639,4,0
C00056,2023-05,36,1081,4,0
C00056,2023-07,21,1941,2,0
C00056,2023-08,21,1616,0,1
C00056,2023-09,51,1550,2,1
C00056,2023-10,37,1878,1,0
C00056,2023-11,37,369,2,2
C00056,2023-12,50,1538,1,0
C00056,2024-01,28,1207,1,1
C00056,2024-03,28,1835,0,0
C00056,2024-04,46,1506,3,0
C00056,2024-05,38,1461,2,0
C00057,2023-01,31,1900,0,0
C00057,2023-03,40,2105,0,0
C00057,2023-04,21,1397,2,1
C00057,2023-06,23,1846,2,1
C00057,2023-07,41,1284,4,0
C00057,2023-09,11,702,4,0
C00057,2023-11,29,714,4,1
C00057,2024-01,30,1380,7,3
C00057,2024-02,6,459,6,3
C00057,2024-03,0,1135,8,2
C00057,2024-05,31,919,1,4
C00058,2023-01,34,1482,2,0
C00058,2023-02,33,1022,0,0
C00058,2023-03,42,1469,1,0
C00058,2023-04,47,1730,4,0
C00058,2023-05,48,1804,2,0
C00058,2023-06,34,1702,5,0
C00058,2023-08,41,1632,4,0
C00058,2023-09,39,788,0,0
C00058,2023-10,23,930,1,0
C00058,2023-11,26,2032,3,1
C00058,2023-12,44,1378,3,0
C00058,2024-01,31,1551,4,0
C00058,2024-02,33,1613,1,0
C00058,2024-03,18,686,5,0
C00058,2024-04,44,1593,2,0
C00058,2024-05,25,1615,1,0
C00058,2024-06,31,1349,3,0
C00059,2023-01,22,2287,0,0
C00059,2023-04,44,1303,2,0
C00059,2023-05,39,1414,2,0
C00059,2023-08,45,1027,0,0
C00059,2023-11,27,1604,2,0
C00059,2024-01,45,1673,1,0
C00059,2024-02,39,1688,2,1
C00059,2024-03,21,1354,1,0
C00059,2024-04,26,1579,1,0
C00059,2024-06,28,2375,4,0
