날짜,카테고리,카테고리매출,카테고리주문수
2023-02-14,스포츠,24.5,3
2023-02-14,가구,37.6,6
2023-02-14,도서,22.7,4
2023-02-14,완구,23.9,3
2023-02-14,반려,20.9,8
2023-02-15,식품,90.9,41
2023-02-15,의류,43.7,6
2023-02-15,전자,55.0,23
2023-02-15,뷰티,33.2,7
2023-02-15,생활,36.8,14
2023-02-15,스포츠,18.4,3
2023-02-15,가구,25.9,4
2023-02-15,도서,17.3,2
2023-02-15,완구,21.7,4
2023-02-15,반려,18.3,2
2023-02-16,식품,118.3,40
2023-02-16,의류,61.8,14
2023-02-16,전자,76.7,13
2023-02-16,뷰티,53.7,10
2023-02-16,생활,52.9,7
2023-02-16,스포츠,26.4,3
2023-02-16,가구,40.3,5
2023-02-16,도서,21.9,6
2023-02-16,완구,25.9,4
2023-02-16,반려,27.6,5
2023-02-17,식품,120.6,21
2023-02-17,의류,55.5,7
2023-02-17,전자,59.7,14
2023-02-17,뷰티,47.6,6
2023-02-17,생활,58.1,7
2023-02-17,스포츠,21.1,3
2023-02-17,가구,37.5,4
2023-02-17,도서,21.0,3
2023-02-17,완구,25.7,6
2023-02-17,반려,18.5,2
2023-02-18,식품,107.1,37
2023-02-18,의류,53.2,9
2023-02-18,전자,56.8,16
2023-02-18,뷰티,43.2,6
2023-02-18,생활,47.4,8
2023-02-18,스포츠,19.1,3
2023-02-18,가구,32.2,9
2023-02-18,도서,20.4,2
2023-02-18,완구,22.7,6
2023-02-18,반려,20.3,2
2023-02-19,식품,110.8,15
2023-02-19,의류,52.1,8
2023-02-19,전자,54.8,13
2023-02-19,뷰티,39.6,7
2023-02-19,생활,55.4,7
2023-02-19,스포츠,20.4,6
2023-02-19,가구,35.7,9
2023-02-19,도서,21.2,2
2023-02-19,완구,28.0,4
2023-02-19,반려,22.5,4
2023-02-20,식품,114.4,22
2023-02-20,의류,63.7,9
2023-02-20,전자,68.3,16
2023-02-20,뷰티,47.7,6
2023-02-20,생활,58.7,8
2023-02-20,스포츠,29.9,8
2023-02-20,가구,46.2,6
2023-02-20,도서,24.7,3
2023-02-20,완구,27.3,11
2023-02-20,반려,27.8,3
2023-02-21,식품,153.0,25
2023-02-21,의류,75.4,10
2023-02-21,전자,87.5,16
2023-02-21,뷰티,51.0,6
2023-02-21,생활,62.2,11
2023-02-21,스포츠,29.1,5
2023-02-21,가구,47.7,20
2023-02-21,도서,29.5,6
2023-02-21,완구,32.6,11
2023-02-21,반려,22.5,6
2023-02-22,식품,114.7,44
2023-02-22,의류,60.7,18
2023-02-22,전자,58.6,18
2023-02-22,뷰티,36.6,5
2023-02-22,생활,57.3,10
2023-02-22,스포츠,21.8,5
2023-02-22,가구,38.7,5
2023-02-22,도서,19.8,3
2023-02-22,완구,25.3,6
2023-02-22,반려,21.2,8
2023-02-23,식품,120.1,34
2023-02-23,의류,58.8,24
2023-02-23,전자,74.6,23
2023-02-23,뷰티,48.8,7
2023-02-23,생활,59.9,12
2023-02-23,스포츠,26.2,6
2023-02-23,가구,36.0,7
2023-02-23,도서,19.7,2
2023-02-23,완구,23.1,4
2023-02-23,반려,22.7,4
2023-02-24,식품,66.5,24
2023-02-24,의류,32.2,8
2023-02-24,전자,42.7,6
2023-02-24,뷰티,28.7,12
2023-02-24,생활,28.2,8
2023-02-24,스포츠,12.0,3
2023-02-24,가구,24.1,7
2023-02-24,도서,12.6,1
2023-02-24,완구,16.0,3
2023-02-24,반려,12.1,2
2023-02-25,식품,95.9,16
2023-02-25,의류,50.9,7
2023-02-25,전자,68.1,12
2023-02-25,뷰티,40.4,12
2023-02-25,생활,54.7,11
2023-02-25,스포츠,21.6,6
2023-02-25,가구,34.5,5
2023-02-25,도서,19.4,3
2023-02-25,완구,24.9,4
2023-02-25,반려,23.4,3
2023-02-26,식품,79.4,37
2023-02-26,의류,39.4,6
2023-02-26,전자,48.8,8
2023-02-26,뷰티,28.7,4
2023-02-26,생활,34.7,5
2023-02-26,스포츠,17.0,2
2023-02-26,가구,25.2,5
2023-02-26,도서,17.0,5
2023-02-26,완구,20.9,3
2023-02-26,반려,16.4,3
2023-02-27,식품,53.5,9
2023-02-27,의류,26.7,4
2023-02-27,전자,31.4,9
2023-02-27,뷰티,19.5,9
2023-02-27,생활,24.1,3
2023-02-27,스포츠,13.0,4
2023-02-27,가구,22.1,4
2023-02-27,도서,12.0,1
2023-02-27,완구,13.7,5
2023-02-27,반려,9.8,4
2023-02-28,식품,96.2,23
2023-02-28,의류,49.0,12
2023-02-28,전자,58.9,21
2023-02-28,뷰티,32.3,7
2023-02-28,생활,41.8,10
2023-02-28,스포츠,21.7,8
2023-02-28,가구,31.2,4
2023-02-28,도서,15.6,2
2023-02-28,완구,24.6,9
2023-02-28,반려,16.8,3
2023-03-01,식품,78.2,14
2023-03-01,의류,58.6,8
2023-03-01,전자,53.3,7
2023-03-01,뷰티,42.6,7
2023-03-01,생활,53.8,8
2023-03-01,스포츠,29.2,6
2023-03-01,가구,28.0,12
2023-03-01,도서,22.8,8
2023-03-01,완구,25.5,5
2023-03-01,반려,17.2,2
2023-03-02,식품,66.5,12
2023-03-02,의류,43.0,15
2023-03-02,전자,48.1,13
2023-03-02,뷰티,33.5,4
2023-03-02,생활,41.0,5
2023-03-02,스포츠,28.0,5
2023-03-02,가구,25.9,5
2023-03-02,도서,18.6,4
2023-03-02,완구,17.8,2
2023-03-02,반려,17.2,2
2023-03-03,식품,97.2,41
2023-03-03,의류,66.8,15
2023-03-03,전자,74.3,10
2023-03-03,뷰티,44.6,8
2023-03-03,생활,60.8,21
2023-03-03,스포츠,41.8,7
2023-03-03,가구,37.9,9
2023-03-03,도서,21.1,4
2023-03-03,완구,25.1,3
2023-03-03,반려,20.6,3
2023-03-04,식품,137.6,32
2023-03-04,의류,92.4,16
2023-03-04,전자,116.8,31
2023-03-04,뷰티,85.2,22
2023-03-04,생활,89.7,17
2023-03-04,스포츠,53.4,7
2023-03-04,가구,51.1,20
2023-03-04,도서,36.7,6
2023-03-04,완구,45.7,7
2023-03-04,반려,32.9,8
2023-03-05,식품,82.9,33
2023-03-05,의류,65.1,25
2023-03-05,전자,69.4,16
2023-03-05,뷰티,43.4,14
2023-03-05,생활,43.9,13
2023-03-05,스포츠,29.9,7
2023-03-05,가구,29.5,5
2023-03-05,도서,22.8,3
2023-03-05,완구,26.0,5
2023-03-05,반려,20.8,4
2023-03-06,식품,79.2,23
2023-03-06,의류,47.6,8
2023-03-06,전자,54.5,7
2023-03-06,뷰티,44.2,17
2023-03-06,생활,42.2,8
2023-03-06,스포츠,33.0,9
2023-03-06,가구,29.8,5
2023-03-06,도서,18.9,8
2023-03-06,완구,25.7,7
2023-03-06,반려,22.0,4
2023-03-07,식품,95.0,13
2023-03-07,의류,80.1,18
2023-03-07,전자,70.6,10
2023-03-07,뷰티,50.5,16
2023-03-07,생활,69.4,21
2023-03-07,스포츠,35.4,16
2023-03-07,가구,37.4,6
2023-03-07,도서,24.3,6
2023-03-07,완구,29.5,4
2023-03-07,반려,22.4,2
2023-03-08,식품,41.2,5
2023-03-08,의류,31.5,4
2023-03-08,전자,34.4,13
2023-03-08,뷰티,27.8,3
2023-03-08,생활,29.1,4
2023-03-08,스포츠,20.3,2
2023-03-08,가구,16.5,3
2023-03-08,도서,12.4,3
2023-03-08,완구,16.7,5
2023-03-08,반려,11.2,2
2023-03-09,식품,93.9,29
2023-03-09,의류,67.4,8
2023-03-09,전자,69.0,11
2023-03-09,뷰티,53.4,11
2023-03-09,생활,67.6,10
2023-03-09,스포츠,39.3,7
2023-03-09,가구,36.9,6
2023-03-09,도서,27.7,6
2023-03-09,완구,28.1,8
2023-03-09,반려,21.5,9
2023-03-10,식품,68.5,11
2023-03-10,의류,50.3,8
2023-03-10,전자,56.8,11
2023-03-10,뷰티,38.1,9
2023-03-10,생활,46.4,7
2023-03-10,스포츠,25.4,4
2023-03-10,가구,24.2,8
2023-03-10,도서,17.6,4
2023-03-10,완구,17.8,2
2023-03-10,반려,17.9,2
2023-03-11,식품,117.6,28
2023-03-11,의류,87.2,14
2023-03-11,전자,105.9,30
2023-03-11,뷰티,69.0,9
2023-03-11,생활,78.3,10
2023-03-11,스포츠,48.1,6
2023-03-11,가구,46.1,20
2023-03-11,도서,34.8,7
2023-03-11,완구,36.8,6
2023-03-11,반려,27.8,5
2023-03-12,식품,137.6,65
2023-03-12,의류,90.7,45
2023-03-12,전자,101.7,15
2023-03-12,뷰티,75.8,9
2023-03-12,생활,86.2,24
2023-03-12,스포츠,62.7,9
2023-03-12,가구,49.8,8
2023-03-12,도서,39.2,6
2023-03-12,완구,40.1,6
2023-03-12,반려,30.0,6
2023-03-13,식품,51.0,16
2023-03-13,의류,35.0,12
2023-03-13,전자,45.7,6
2023-03-13,뷰티,33.4,8
2023-03-13,생활,36.0,4
2023-03-13,스포츠,21.0,3
2023-03-13,가구,22.0,8
2023-03-13,도서,16.1,2
2023-03-13,완구,15.0,5
2023-03-13,반려,12.6,3
2023-03-14,식품,82.6,15
2023-03-14,의류,59.6,7
2023-03-14,전자,65.9,28
2023-03-14,뷰티,43.0,8
2023-03-14,생활,53.4,14
2023-03-14,스포츠,32.6,4
2023-03-14,가구,36.8,9
2023-03-14,도서,22.1,3
2023-03-14,완구,29.2,6
2023-03-14,반려,25.7,4
2023-03-15,식품,88.9,15
2023-03-15,의류,79.7,11
2023-03-15,전자,64.8,16
2023-03-15,뷰티,49.7,12
2023-03-15,생활,63.8,9
2023-03-15,스포츠,42.9,5
2023-03-15,가구,32.7,4
2023-03-15,도서,27.1,6
2023-03-15,완구,32.2,12
2023-03-15,반려,27.2,5
2023-03-16,식품,40.3,6
2023-03-16,의류,34.9,10
2023-03-16,전자,30.8,6
2023-03-16,뷰티,24.4,3
2023-03-16,생활,32.3,6
2023-03-16,스포츠,20.6,4
2023-03-16,가구,18.0,5
2023-03-16,도서,11.5,1
2023-03-16,완구,12.3,1
2023-03-16,반려,13.1,2
2023-03-17,식품,80.0,11
2023-03-17,의류,68.5,18
2023-03-17,전자,64.2,10
2023-03-17,뷰티,46.0,15
2023-03-17,생활,51.1,6
2023-03-17,스포츠,38.2,4
2023-03-17,가구,34.1,4
2023-03-17,도서,20.7,3
2023-03-17,완구,23.2,3
2023-03-17,반려,22.4,5
2023-03-18,식품,117.4,16
2023-03-18,의류,70.6,12
2023-03-18,전자,84.7,18
2023-03-18,뷰티,64.7,16
2023-03-18,생활,80.0,25
2023-03-18,스포츠,49.4,8
2023-03-18,가구,38.1,9
2023-03-18,도서,32.4,4
2023-03-18,완구,33.5,6
2023-03-18,반려,25.5,7
2023-03-19,식품,68.0,27
2023-03-19,의류,58.6,9
2023-03-19,전자,64.5,10
2023-03-19,뷰티,43.0,8
2023-03-19,생활,46.9,5
2023-03-19,스포츠,31.7,14
2023-03-19,가구,28.4,3
2023-03-19,도서,20.7,3
2023-03-19,완구,23.9,3
2023-03-19,반려,16.6,2
2023-03-20,식품,89.2,15
2023-03-20,의류,76.6,26
2023-03-20,전자,72.5,12
2023-03-20,뷰티,47.1,13
2023-03-20,생활,70.0,17
2023-03-20,스포츠,42.2,5
2023-03-20,가구,34.0,7
2023-03-20,도서,27.3,4
2023-03-20,완구,35.6,4
2023-03-20,반려,28.7,8
2023-03-21,식품,66.1,15
2023-03-21,의류,53.5,8
2023-03-21,전자,67.3,29
2023-03-21,뷰티,47.1,13
2023-03-21,생활,50.3,8
2023-03-21,스포츠,33.5,7
2023-03-21,가구,26.1,5
2023-03-21,도서,23.1,3
2023-03-21,완구,25.0,5
2023-03-21,반려,22.7,2
2023-03-22,식품,73.0,15
2023-03-22,의류,66.4,11
2023-03-22,전자,57.7,10
2023-03-22,뷰티,39.5,7
2023-03-22,생활,52.8,7
2023-03-22,스포츠,34.5,9
2023-03-22,가구,28.1,3
2023-03-22,도서,19.6,4
2023-03-22,완구,23.7,3
2023-03-22,반려,21.6,5
2023-03-23,식품,75.1,10
2023-03-23,의류,61.9,9
2023-03-23,전자,73.0,9
2023-03-23,뷰티,41.3,5
2023-03-23,생활,44.8,10
2023-03-23,스포츠,38.9,10
2023-03-23,가구,28.4,7
2023-03-23,도서,22.5,4
2023-03-23,완구,27.9,3
2023-03-23,반려,22.9,7
2023-03-24,식품,66.8,18
2023-03-24,의류,41.2,16
2023-03-24,전자,50.2,18
2023-03-24,뷰티,29.3,7
2023-03-24,생활,36.9,6
2023-03-24,스포츠,28.8,4
2023-03-24,가구,21.4,6
2023-03-24,도서,18.7,9
2023-03-24,완구,22.0,6
2023-03-24,반려,18.6,4
2023-03-25,식품,102.3,16
2023-03-25,의류,83.1,21
2023-03-25,전자,88.2,13
2023-03-25,뷰티,49.9,24
2023-03-25,생활,68.6,24
2023-03-25,스포츠,48.6,14
2023-03-25,가구,39.7,12
2023-03-25,도서,29.4,10
2023-03-25,완구,29.7,12
2023-03-25,반려,32.9,11
2023-03-26,식품,125.9,52
2023-03-26,의류,81.3,16
2023-03-26,전자,97.7,12
2023-03-26,뷰티,74.6,11
2023-03-26,생활,81.4,17
2023-03-26,스포츠,50.4,6
2023-03-26,가구,47.5,8
2023-03-26,도서,30.3,13
2023-03-26,완구,44.8,11
2023-03-26,반려,32.3,12
