유저ID,상품ID,평점,구매일자
USER003,ITEM025,1,2024-01-22
USER003,ITEM049,5,2024-10-23
USER003,ITEM019,4,2024-03-16
USER004,ITEM040,5,2024-08-15
USER004,ITEM012,1,2024-10-15
USER004,ITEM011,2,2024-01-06
USER004,ITEM034,4,2024-06-21
USER004,ITEM043,2,2024-09-04
USER004,ITEM048,1,2024-12-16
USER004,ITEM027,4,2024-10-29
USER004,ITEM029,3,2024-10-01
USER004,ITEM010,2,2024-06-26
USER004,ITEM013,1,2024-06-01
USER004,ITEM047,2,2024-10-01
USER004,ITEM021,4,2024-04-18
USER004,ITEM016,3,2024-08-06
USER004,ITEM050,3,2024-12-19
USER004,ITEM036,5,2024-02-19
USER004,ITEM017,2,2024-07-08
USER004,ITEM014,1,2024-05-08
USER004,ITEM009,3,2024-07-13
USER004,ITEM020,1,2024-08-24
USER004,ITEM002,2,2024-08-07
USER004,ITEM006,1,2024-12-10
USER004,ITEM028,4,2024-01-24
USER004,ITEM003,3,2024-01-22
USER004,ITEM041,2,2024-04-26
USER004,ITEM038,5,2024-12-18
USER004,ITEM049,2,2024-10-10
USER004,ITEM025,5,2024-01-27
USER004,ITEM045,2,2024-01-18
USER004,ITEM008,3,2024-09-21
USER004,ITEM007,1,2024-05-04
USER004,ITEM031,4,2024-02-11
USER004,ITEM023,3,2024-01-08
USER004,ITEM035,4,2024-09-26
USER004,ITEM037,5,2024-02-21
USER004,ITEM046,2,2024-11-02
USER004,ITEM030,3,2024-12-22
USER004,ITEM024,4,2024-01-20
USER004,ITEM018,2,2024-10-01
USER004,ITEM004,2,2024-06-12
USER004,ITEM001,2,2024-08-18
USER004,ITEM033,4,2024-09-02
USER004,ITEM044,1,2024-09-04
USER004,ITEM005,2,2024-04-10
USER005,ITEM010,4,2024-09-13
USER005,ITEM036,2,2024-11-16
USER005,ITEM004,3,2024-12-28
USER005,ITEM018,5,2024-11-09
USER005,ITEM043,4,2024-05-30
USER005,ITEM011,4,2024-01-29
USER005,ITEM033,2,2024-07-25
USER005,ITEM025,3,2024-11-01
USER005,ITEM028,3,2024-12-27
USER005,ITEM015,5,2024-02-09
USER005,ITEM042,4,2024-11-12
USER005,ITEM029,3,2024-12-04
USER005,ITEM016,5,2024-08-12
USER005,ITEM012,5,2024-09-02
USER005,ITEM046,2,2024-04-19
USER005,ITEM022,4,2024-05-15
USER005,ITEM024,3,2024-12-29
USER005,ITEM038,1,2024-04-04
USER005,ITEM050,4,2024-06-13
USER005,ITEM013,5,2024-07-04
USER005,ITEM049,4,2024-09-27
USER005,ITEM034,3,2024-01-16
USER006,ITEM043,2,2024-02-20
USER006,ITEM006,1,2024-07-02
USER006,ITEM025,5,2024-07-04
USER006,ITEM038,3,2024-02-24
USER006,ITEM024,4,2024-09-23
USER006,ITEM003,1,2024-11-29
USER006,ITEM030,5,2024-04-22
USER006,ITEM008,2,2024-05-21
USER006,ITEM009,1,2024-03-08
USER006,ITEM039,2,2024-12-23
USER006,ITEM029,4,2024-01-08
USER006,ITEM046,2,2024-08-16
USER006,ITEM045,1,2024-02-20
USER006,ITEM036,3,2024-11-30
USER006,ITEM027,5,2024-01-06
USER006,ITEM048,2,2024-10-07
USER006,ITEM028,3,2024-06-10
USER006,ITEM010,1,2024-01-01
USER006,ITEM018,5,2024-04-14
USER006,ITEM014,3,2024-11-18
USER006,ITEM012,4,2024-03-19
USER006,ITEM001,1,2024-04-14
USER006,ITEM035,2,2024-02-05
USER006,ITEM016,4,2024-12-30
USER006,ITEM026,3,2024-11-01
USER006,ITEM031,3,2024-11-26
USER006,ITEM044,3,2024-06-08
USER006,ITEM032,4,2024-05-01
USER006,ITEM041,2,2024-08-20
USER006,ITEM047,2,2024-05-26
USER006,ITEM013,2,2024-09-04
USER007,ITEM019,2,2024-12-05
USER007,ITEM047,3,2024-06-27
USER007,ITEM042,2,2024-10-06
USER007,ITEM021,5,2024-08-06
USER007,ITEM040,2,2024-05-25
USER007,ITEM045,2,2024-03-04
USER007,ITEM011,2,2024-07-20
USER007,ITEM027,4,2024-09-18
USER007,ITEM012,2,2024-07-03
USER007,ITEM003,1,2024-08-23
USER007,ITEM014,4,2024-05-24
USER007,ITEM041,4,2024-06-12
USER007,ITEM044,3,2024-04-23
USER007,ITEM013,1,2024-10-02
USER007,ITEM030,5,2024-07-12
USER007,ITEM037,2,2024-01-03
USER007,ITEM016,4,2024-09-15
USER007,ITEM038,4,2024-10-08
USER007,ITEM039,2,2024-01-02
USER007,ITEM049,4,2024-08-02
USER007,ITEM028,5,2024-07-26
USER007,ITEM004,2,2024-02-23
USER007,ITEM026,5,2024-11-16
USER007,ITEM043,2,2024-09-06
USER007,ITEM007,2,2024-02-01
USER007,ITEM033,2,2024-07-16
USER007,ITEM050,3,2024-02-11
USER007,ITEM048,2,2024-11-01
USER007,ITEM015,1,2024-10-28
USER007,ITEM009,2,2024-02-19
USER007,ITEM023,4,2024-07-07
USER007,ITEM020,2,2024-05-28
USER007,ITEM022,5,2024-02-01
USER007,ITEM024,4,2024-11-22
USER007,ITEM046,3,2024-08-27
USER007,ITEM017,1,2024-04-14
USER007,ITEM002,2,2024-07-22
USER007,ITEM005,2,2024-09-14
USER007,ITEM025,4,2024-12-22
USER007,ITEM035,1,2024-01-19
USER007,ITEM034,2,2024-08-17
USER007,ITEM001,2,2024-08-06
USER007,ITEM010,2,2024-07-06
USER007,ITEM032,3,2024-12-17
USER007,ITEM006,3,2024-04-05
USER007,ITEM018,3,2024-02-01
USER007,ITEM008,4,2024-12-27
USER007,ITEM031,4,2024-12-15
USER007,ITEM036,2,2024-11-30
USER007,ITEM029,5,2024-01-04
USER008,ITEM045,5,2024-06-28
USER008,ITEM046,5,2024-04-29
USER008,ITEM001,2,2024-08-23
USER008,ITEM043,3,2024-03-19
USER008,ITEM020,1,2024-02-04
USER008,ITEM006,4,2024-09-25
USER008,ITEM017,2,2024-02-04
USER008,ITEM035,4,2024-09-30
USER009,ITEM027,1,2024-09-01
USER009,ITEM048,2,2024-06-24
USER009,ITEM050,2,2024-06-19
USER009,ITEM001,3,2024-03-16
USER009,ITEM022,3,2024-09-09
USER009,ITEM026,2,2024-07-15
USER009,ITEM002,4,2024-12-30
USER009,ITEM017,4,2024-05-24
USER009,ITEM035,4,2024-01-01
USER009,ITEM005,2,2024-01-20
USER009,ITEM014,4,2024-08-30
USER009,ITEM045,2,2024-01-26
USER009,ITEM008,3,2024-02-26
USER009,ITEM049,2,2024-05-24
USER009,ITEM015,2,2024-07-31
USER009,ITEM021,1,2024-06-09
USER009,ITEM003,4,2024-09-16
USER009,ITEM032,4,2024-04-12
USER009,ITEM018,3,2024-09-27
USER009,ITEM010,4,2024-05-12
USER009,ITEM044,3,2024-07-13
USER009,ITEM009,3,2024-04-18
USER009,ITEM030,1,2024-07-26
USER009,ITEM036,5,2024-07-30
USER009,ITEM016,1,2024-06-15
USER009,ITEM046,2,2024-10-03
USER009,ITEM037,4,2024-02-22
USER009,ITEM038,5,2024-05-31
USER009,ITEM013,5,2024-12-24
USER009,ITEM029,1,2024-05-28
USER009,ITEM040,4,2024-03-26
USER009,ITEM007,3,2024-06-11
USER009,ITEM004,4,2024-02-09
USER009,ITEM031,5,2024-12-07
USER009,ITEM012,3,2024-05-03
USER009,ITEM042,4,2024-08-29
USER009,ITEM011,3,2024-04-20
USER009,ITEM023,2,2024-10-15
USER009,ITEM020,3,2024-08-18
USER009,ITEM019,2,2024-10-13
USER009,ITEM034,5,2024-09-13
USER009,ITEM028,1,2024-06-25
USER009,ITEM006,4,2024-02-04
USER009,ITEM033,5,2024-01-28
USER009,ITEM047,1,2024-10-29
USER009,ITEM041,1,2024-05-20
USER010,ITEM041,3,2024-05-12
USER010,ITEM031,3,2024-02-28
USER010,ITEM048,2,2024-05-18
USER010,ITEM034,1,2024-09-21
USER010,ITEM029,2,2024-03-09
USER010,ITEM046,3,2024-02-28
USER010,ITEM007,4,2024-11-01
USER010,ITEM026,1,2024-12-16
USER010,ITEM005,4,2024-10-27
USER010,ITEM039,2,2024-09-13
USER010,ITEM042,2,2024-09-11
USER010,ITEM002,3,2024-06-06
USER010,ITEM036,2,2024-10-13
USER010,ITEM018,5,2024-07-01
USER010,ITEM030,2,2024-02-13
USER010,ITEM024,2,2024-02-11
USER010,ITEM038,2,2024-01-04
USER010,ITEM028,2,2024-03-29
USER010,ITEM044,3,2024-08-24
USER010,ITEM004,4,2024-01-24
USER010,ITEM040,3,2024-04-12
USER010,ITEM032,2,2024-06-21
USER010,ITEM047,2,2024-11-14
USER010,ITEM015,3,2024-11-28
USER010,ITEM019,3,2024-04-10
USER010,ITEM006,4,2024-01-12
USER010,ITEM025,2,2024-12-16
USER010,ITEM022,3,2024-02-17
USER010,ITEM043,2,2024-05-13
USER010,ITEM023,2,2024-07-31
USER010,ITEM013,4,2024-12-20
USER010,ITEM017,2,2024-02-16
USER010,ITEM037,3,2024-04-29
USER010,ITEM009,5,2024-03-28
USER010,ITEM033,2,2024-03-10
USER010,ITEM014,3,2024-10-16
USER010,ITEM027,2,2024-11-29
USER010,ITEM010,5,2024-02-16
USER010,ITEM021,2,2024-12-17
USER010,ITEM012,5,2024-01-26
USER010,ITEM050,2,2024-12-23
USER010,ITEM016,5,2024-04-12
USER010,ITEM008,3,2024-05-24
USER010,ITEM049,2,2024-12-08
USER010,ITEM020,4,2024-03-30
USER011,ITEM024,4,2024-08-30
USER011,ITEM023,5,2024-08-19
USER011,ITEM031,3,2024-04-23
USER011,ITEM045,3,2024-02-26
USER011,ITEM046,2,2024-08-05
USER011,ITEM026,5,2024-02-02
USER011,ITEM020,5,2024-11-01
USER011,ITEM019,4,2024-11-14
USER011,ITEM048,1,2024-06-09
USER011,ITEM030,4,2024-04-11
USER011,ITEM043,2,2024-06-30
USER011,ITEM022,4,2024-03-26
USER011,ITEM021,5,2024-03-28
USER011,ITEM016,5,2024-07-01
USER011,ITEM005,2,2024-04-05
USER011,ITEM047,2,2024-02-04
USER011,ITEM034,3,2024-07-28
USER011,ITEM040,3,2024-12-07
USER011,ITEM038,3,2024-10-02
USER011,ITEM036,3,2024-12-31
USER011,ITEM017,4,2024-04-23
USER011,ITEM010,2,2024-02-18
USER011,ITEM007,2,2024-10-14
USER011,ITEM032,3,2024-07-31
USER011,ITEM011,4,2024-10-19
USER011,ITEM015,4,2024-02-21
USER011,ITEM039,4,2024-09-14
USER012,ITEM025,2,2024-04-18
USER012,ITEM007,2,2024-08-16
USER012,ITEM034,5,2024-09-11
USER012,ITEM041,2,2024-12-22
USER012,ITEM047,2,2024-12-18
USER012,ITEM046,3,2024-08-24
USER012,ITEM031,3,2024-03-03
USER012,ITEM006,4,2024-09-29
USER012,ITEM002,3,2024-02-29
USER012,ITEM003,2,2024-12-12
USER012,ITEM049,2,2024-06-18
USER012,ITEM042,3,2024-11-13
USER012,ITEM018,2,2024-04-06
USER012,ITEM032,5,2024-06-12
USER012,ITEM048,3,2024-07-18
USER012,ITEM016,2,2024-08-22
USER012,ITEM024,2,2024-04-20
USER012,ITEM015,3,2024-01-30
USER012,ITEM011,2,2024-04-01
USER012,ITEM030,3,2024-01-17
USER012,ITEM014,2,2024-01-29
USER012,ITEM019,2,2024-11-09
USER012,ITEM036,3,2024-11-06
USER012,ITEM028,2,2024-01-07
USER012,ITEM027,2,2024-03-31
USER012,ITEM023,1,2024-12-17
USER012,ITEM037,5,2024-02-19
USER012,ITEM013,3,2024-10-12
USER012,ITEM012,3,2024-03-03
USER012,ITEM005,1,2024-07-07
USER012,ITEM039,5,2024-03-12
USER012,ITEM021,3,2024-09-20
USER012,ITEM043,3,2024-08-12
USER012,ITEM001,2,2024-12-04
USER012,ITEM050,3,2024-01-16
USER012,ITEM009,2,2024-12-18
USER012,ITEM008,3,2024-02-19
USER012,ITEM022,1,2024-01-25
USER012,ITEM044,4,2024-11-28
USER012,ITEM004,3,2024-09-08
USER012,ITEM017,2,2024-05-10
USER012,ITEM020,2,2024-02-12
USER012,ITEM010,3,2024-05-24
USER013,ITEM025,4,2024-06-27
USER013,ITEM032,3,2024-10-09
USER013,ITEM036,1,2024-09-06
USER013,ITEM005,1,2024-11-20
USER013,ITEM033,1,2024-10-24
USER013,ITEM035,3,2024-08-29
USER013,ITEM027,3,2024-06-20
USER013,ITEM028,3,2024-08-03
USER013,ITEM047,2,2024-06-12
USER013,ITEM019,4,2024-05-22
USER013,ITEM010,2,2024-04-04
USER014,ITEM027,1,2024-06-09
USER014,ITEM010,3,2024-08-19
USER014,ITEM042,3,2024-08-14
USER014,ITEM036,3,2024-06-02
USER014,ITEM019,5,2024-12-31
USER014,ITEM005,4,2024-03-05
USER014,ITEM031,3,2024-05-06
USER014,ITEM028,3,2024-10-06
USER014,ITEM009,4,2024-11-06
USER014,ITEM045,5,2024-10-09
USER014,ITEM004,3,2024-01-03
USER014,ITEM043,5,2024-02-20
USER014,ITEM025,2,2024-11-12
USER014,ITEM021,3,2024-12-27
USER014,ITEM047,4,2024-09-24
USER014,ITEM048,5,2024-11-18
USER014,ITEM022,3,2024-12-04
USER014,ITEM024,4,2024-12-16
USER014,ITEM018,5,2024-09-24
USER014,ITEM023,3,2024-02-02
USER014,ITEM002,4,2024-02-10
USER014,ITEM039,2,2024-01-04
USER014,ITEM029,2,2024-01-08
USER014,ITEM013,5,2024-11-27
USER014,ITEM014,5,2024-05-31
USER014,ITEM017,5,2024-06-25
USER014,ITEM001,3,2024-03-29
USER014,ITEM035,3,2024-06-04
USER014,ITEM030,3,2024-11-30
USER014,ITEM033,3,2024-02-14
USER014,ITEM016,4,2024-10-09
USER014,ITEM026,2,2024-09-19
USER014,ITEM049,5,2024-06-24
USER014,ITEM007,3,2024-08-03
USER014,ITEM050,5,2024-07-09
USER014,ITEM044,5,2024-09-14
USER014,ITEM040,3,2024-10-26
USER014,ITEM020,5,2024-12-17
USER014,ITEM006,2,2024-09-22
USER014,ITEM008,4,2024-02-12
USER014,ITEM046,4,2024-03-31
USER014,ITEM041,4,2024-01-18
USER015,ITEM050,5,2024-12-07
USER015,ITEM028,2,2024-04-06
USER015,ITEM042,4,2024-11-19
USER015,ITEM017,3,2024-07-24
USER015,ITEM033,5,2024-08-09
USER015,ITEM035,5,2024-07-25
USER015,ITEM014,2,2024-06-14
USER015,ITEM008,2,2024-10-09
USER015,ITEM043,5,2024-10-30
USER015,ITEM012,2,2024-01-30
USER015,ITEM007,3,2024-03-15
USER015,ITEM030,3,2024-08-04
USER015,ITEM009,3,2024-02-15
USER015,ITEM010,1,2024-11-30
USER015,ITEM044,4,2024-01-13
USER015,ITEM004,2,2024-08-10
USER015,ITEM025,2,2024-12-22
USER015,ITEM034,2,2024-04-12
USER015,ITEM041,4,2024-10-20
USER016,ITEM042,3,2024-03-20
USER016,ITEM008,3,2024-07-23
USER016,ITEM043,2,2024-01-16
USER016,ITEM025,3,2024-01-07
USER016,ITEM010,3,2024-02-08
USER016,ITEM034,4,2024-11-27
USER016,ITEM030,3,2024-07-05
USER016,ITEM021,3,2024-01-17
USER016,ITEM002,5,2024-06-16
USER016,ITEM019,2,2024-02-08
USER016,ITEM037,4,2024-10-29
USER017,ITEM027,2,2024-05-03
USER017,ITEM010,3,2024-07-14
USER017,ITEM039,3,2024-07-24
USER017,ITEM023,2,2024-08-30
USER017,ITEM014,3,2024-06-24
USER017,ITEM041,2,2024-01-25
USER017,ITEM031,3,2024-01-04
USER017,ITEM019,5,2024-11-27
USER017,ITEM049,1,2024-06-09
USER017,ITEM045,2,2024-12-20
USER017,ITEM033,4,2024-01-11
USER017,ITEM035,5,2024-04-13
USER017,ITEM044,3,2024-07-09
USER017,ITEM016,3,2024-02-24
USER017,ITEM015,3,2024-12-09
USER017,ITEM012,2,2024-09-17
USER017,ITEM037,4,2024-10-29
USER017,ITEM042,3,2024-02-14
USER017,ITEM002,3,2024-07-16
USER017,ITEM003,3,2024-06-11
USER017,ITEM026,2,2024-05-01
USER017,ITEM047,3,2024-04-15
USER017,ITEM022,2,2024-11-24
USER017,ITEM006,3,2024-12-24
USER017,ITEM029,3,2024-04-17
USER017,ITEM001,3,2024-07-16
USER017,ITEM028,1,2024-06-28
USER017,ITEM046,1,2024-08-14
USER017,ITEM013,4,2024-09-16
USER017,ITEM018,3,2024-08-21
USER017,ITEM008,3,2024-04-23
USER017,ITEM025,3,2024-05-02
USER017,ITEM043,1,2024-05-27
USER017,ITEM032,2,2024-08-22
USER017,ITEM038,4,2024-09-11
USER017,ITEM030,3,2024-06-09
USER017,ITEM024,2,2024-10-26
USER017,ITEM009,2,2024-07-07
USER017,ITEM036,4,2024-06-08
USER017,ITEM011,5,2024-08-11
USER017,ITEM021,3,2024-10-16
USER017,ITEM005,3,2024-01-24
USER018,ITEM027,5,2024-08-25
USER018,ITEM040,1,2024-03-25
USER018,ITEM035,1,2024-01-12
USER018,ITEM004,1,2024-11-10
USER018,ITEM044,4,2024-09-11
USER018,ITEM045,5,2024-09-12
USER019,ITEM029,4,2024-01-15
USER019,ITEM048,2,2024-02-16
USER019,ITEM030,3,2024-06-19
USER019,ITEM033,4,2024-06-22
USER019,ITEM017,2,2024-10-12
USER019,ITEM026,3,2024-06-27
USER019,ITEM009,5,2024-03-03
USER019,ITEM007,5,2024-10-27
USER019,ITEM040,5,2024-03-29
USER019,ITEM004,5,2024-05-01
USER019,ITEM045,2,2024-10-02
USER019,ITEM042,1,2024-11-20
USER019,ITEM021,4,2024-05-09
USER019,ITEM014,2,2024-04-30
USER019,ITEM028,1,2024-10-05
USER019,ITEM031,5,2024-08-23
USER019,ITEM005,4,2024-08-09
USER019,ITEM041,2,2024-07-07
USER019,ITEM032,3,2024-01-04
USER019,ITEM037,5,2024-08-22
USER019,ITEM011,1,2024-08-17
USER019,ITEM010,5,2024-04-17
USER019,ITEM006,5,2024-10-02
USER019,ITEM002,5,2024-07-17
USER019,ITEM016,1,2024-03-12
USER019,ITEM008,4,2024-05-15
USER019,ITEM047,2,2024-05-07
USER019,ITEM001,5,2024-06-05
USER019,ITEM003,4,2024-11-02
USER019,ITEM034,5,2024-03-11
USER019,ITEM025,3,2024-12-05
USER019,ITEM038,5,2024-01-11
USER020,ITEM046,2,2024-04-09
USER020,ITEM023,3,2024-06-22
USER020,ITEM050,3,2024-07-18
USER020,ITEM047,2,2024-11-20
USER020,ITEM038,4,2024-04-22
USER020,ITEM044,2,2024-07-18
USER020,ITEM022,3,2024-02-25
USER020,ITEM035,4,2024-08-04
USER020,ITEM037,4,2024-09-22
USER020,ITEM048,2,2024-10-14
USER020,ITEM003,2,2024-12-31
USER020,ITEM036,5,2024-10-05
USER020,ITEM029,3,2024-11-01
USER020,ITEM043,1,2024-01-24
USER020,ITEM006,2,2024-06-10
USER020,ITEM002,2,2024-08-20
USER020,ITEM024,4,2024-11-25
USER020,ITEM040,5,2024-05-31
USER020,ITEM039,4,2024-10-01
USER020,ITEM015,2,2024-01-10
USER020,ITEM028,3,2024-02-22
USER020,ITEM016,2,2024-03-07
USER020,ITEM012,3,2024-09-06
USER020,ITEM032,4,2024-01-04
USER020,ITEM031,4,2024-01-20
USER020,ITEM034,5,2024-05-18
USER020,ITEM011,3,2024-03-27
USER020,ITEM005,1,2024-03-04
USER020,ITEM021,3,2024-06-24
USER021,ITEM028,3,2024-03-10
USER021,ITEM047,3,2024-12-15
USER021,ITEM037,5,2024-01-02
USER021,ITEM046,3,2024-03-24
USER021,ITEM015,5,2024-10-16
USER021,ITEM011,5,2024-04-09
USER021,ITEM031,4,2024-06-04
USER021,ITEM039,3,2024-10-22
USER021,ITEM001,4,2024-08-03
USER021,ITEM016,5,2024-04-01
USER021,ITEM036,3,2024-07-15
USER021,ITEM022,2,2024-04-25
USER021,ITEM033,5,2024-01-04
USER021,ITEM024,3,2024-10-21
USER021,ITEM017,5,2024-02-17
USER021,ITEM027,3,2024-02-23
USER021,ITEM041,3,2024-08-31
USER021,ITEM026,3,2024-05-02
USER021,ITEM043,2,2024-02-26
USER021,ITEM032,3,2024-08-08
USER021,ITEM014,5,2024-04-22
USER021,ITEM042,3,2024-08-17
USER021,ITEM020,5,2024-10-19
USER021,ITEM049,1,2024-10-24
USER021,ITEM040,3,2024-10-12
USER021,ITEM050,2,2024-06-06
USER021,ITEM009,5,2024-12-20
USER021,ITEM012,4,2024-06-16
USER021,ITEM030,3,2024-09-12
USER021,ITEM035,3,2024-09-09
USER021,ITEM008,5,2024-12-10
USER021,ITEM010,4,2024-06-30
USER021,ITEM004,5,2024-04-01
USER021,ITEM019,5,2024-07-18
USER021,ITEM044,4,2024-08-01
USER021,ITEM007,5,2024-08-16
USER021,ITEM005,5,2024-08-27
USER021,ITEM025,3,2024-05-06
USER021,ITEM018,3,2024-08-09
USER021,ITEM021,3,2024-09-27
USER021,ITEM023,2,2024-06-11
USER021,ITEM003,5,2024-08-22
USER021,ITEM013,5,2024-08-23
USER021,ITEM045,2,2024-04-06
USER022,ITEM048,1,2024-11-22
USER022,ITEM044,2,2024-03-01
USER022,ITEM011,1,2024-12-10
USER022,ITEM017,2,2024-08-09
USER022,ITEM015,4,2024-07-24
USER022,ITEM037,3,2024-01-15
USER022,ITEM016,3,2024-07-27
USER022,ITEM038,2,2024-03-02
USER022,ITEM046,2,2024-03-29
USER022,ITEM014,3,2024-07-08
USER022,ITEM004,4,2024-11-10
USER022,ITEM003,3,2024-05-06
USER022,ITEM013,4,2024-03-16
USER022,ITEM026,3,2024-08-17
USER022,ITEM002,4,2024-11-15
USER022,ITEM009,3,2024-04-02
USER022,ITEM036,2,2024-07-05
USER022,ITEM006,4,2024-08-02
USER022,ITEM035,2,2024-09-04
USER022,ITEM034,4,2024-10-07
USER022,ITEM032,2,2024-10-18
USER022,ITEM028,3,2024-12-14
USER022,ITEM007,4,2024-10-25
USER022,ITEM033,3,2024-03-02
USER022,ITEM022,3,2024-02-01
USER022,ITEM050,3,2024-01-21
USER022,ITEM027,4,2024-02-14
USER022,ITEM012,2,2024-07-09
USER022,ITEM040,2,2024-05-11
USER022,ITEM029,4,2024-12-07
USER022,ITEM025,3,2024-03-22
USER022,ITEM018,3,2024-09-04
USER022,ITEM024,4,2024-06-27
USER022,ITEM010,3,2024-12-09
USER022,ITEM041,3,2024-03-06
USER022,ITEM021,3,2024-04-26
USER022,ITEM005,3,2024-06-02
USER022,ITEM030,2,2024-05-02
USER022,ITEM020,3,2024-10-21
USER022,ITEM008,4,2024-06-17
USER022,ITEM043,2,2024-11-26
USER023,ITEM022,1,2024-01-27
USER023,ITEM013,3,2024-02-09
USER023,ITEM006,5,2024-11-23
USER023,ITEM029,1,2024-10-26
USER023,ITEM012,3,2024-10-02
USER023,ITEM019,2,2024-06-03
USER023,ITEM036,2,2024-08-21
USER023,ITEM038,2,2024-12-08
USER023,ITEM009,4,2024-08-04
USER023,ITEM040,3,2024-05-04
USER023,ITEM028,1,2024-01-29
USER023,ITEM049,4,2024-01-12
USER023,ITEM002,4,2024-06-03
USER023,ITEM035,2,2024-07-17
USER023,ITEM050,4,2024-08-17
USER024,ITEM032,3,2024-09-09
USER024,ITEM050,3,2024-12-13
USER024,ITEM044,3,2024-03-26
USER024,ITEM022,4,2024-02-07
USER024,ITEM019,3,2024-11-28
USER024,ITEM001,2,2024-10-19
USER024,ITEM020,4,2024-11-14
USER024,ITEM012,4,2024-12-19
USER024,ITEM041,4,2024-03-21
USER024,ITEM049,2,2024-09-08
USER024,ITEM002,2,2024-04-25
USER024,ITEM040,1,2024-04-16
USER024,ITEM038,3,2024-02-11
USER024,ITEM021,5,2024-01-16
USER024,ITEM029,5,2024-06-18
USER024,ITEM039,2,2024-06-07
USER024,ITEM037,3,2024-07-30
USER024,ITEM035,2,2024-06-19
USER024,ITEM018,3,2024-11-07
USER024,ITEM025,4,2024-08-25
USER024,ITEM047,3,2024-10-05
USER024,ITEM031,2,2024-07-18
USER024,ITEM014,3,2024-04-12
USER024,ITEM042,4,2024-06-28
