주문번호,주문일자,고객ID,상품코드,수량
ORD00138,2024-03-20,C035,P008,2
ORD00139,2024-03-22,C041,P004,5
ORD00140,2024-03-24,C030,P002,1
ORD00141,2024-03-25,C017,P009,2
ORD00142,2024-03-26,C049,P007,1
ORD00143,2024-03-26,C020,P011,2
ORD00144,2024-03-26,C048,P007,1
ORD00145,2024-03-26,C025,P012,5
ORD00146,2024-03-27,C022,P007,1
ORD00147,2024-03-27,C013,P008,3
ORD00148,2024-03-27,C019,P012,1
ORD00149,2024-03-29,C049,P005,3
ORD00150,2024-03-30,C036,P002,3
