주문번호,주문일자,고객ID,상품코드,수량
ORD00434,2024-08-15,C020,P007,1
ORD00435,2024-08-15,C037,P010,2
ORD00436,2024-08-15,C004,P010,3
ORD00437,2024-08-16,C028,P007,1
ORD00438,2024-08-16,C044,P011,1
ORD00439,2024-08-16,C020,P005,1
ORD00440,2024-08-17,C024,P013,3
ORD00441,2024-08-17,C050,P001,2
ORD00442,2024-08-19,C049,P014,1
ORD00443,2024-08-19,C032,P009,2
ORD00444,2024-08-20,C041,P005,1
ORD00445,2024-08-20,C036,P002,3
ORD00446,2024-08-21,C034,P006,2
ORD00447,2024-08-22,C036,P002,1
ORD00448,2024-08-22,C002,P002,2
ORD00449,2024-08-22,C015,P008,1
ORD00450,2024-08-22,C034,P007,1
ORD00451,2024-08-25,C036,P009,1
ORD00452,2024-08-26,C006,P014,3
ORD00453,2024-08-27,C039,P007,1
ORD00454,2024-08-27,C042,P008,1
ORD00455,2024-08-27,C012,P002,2
ORD00456,2024-08-28,C003,P010,1
ORD00457,2024-08-28,C045,P005,2
ORD00458,2024-08-28,C018,P015,1
ORD00459,2024-08-29,C040,P011,2
ORD00460,2024-08-29,C021,P007,5
ORD00461,2024-08-29,C015,P002,1
ORD00462,2024-08-29,C033,P012,2
ORD00463,2024-08-29,C035,P011,2
ORD00464,2024-08-29,C026,P002,2
ORD00465,2024-08-30,C008,P003,1
ORD00466,2024-09-01,C036,P011,5
ORD00467,2024-09-01,C048,P002,3
ORD00468,2024-09-01,C030,P013,1
ORD00469,2024-09-02,C023,P005,2
ORD00470,2024-09-02,C042,P002,1
ORD00471,2024-09-02,C044,P011,3
ORD00472,2024-09-02,C014,P005,2
ORD00473,2024-09-02,C014,P007,1
ORD00474,2024-09-02,C002,P002,1
ORD00475,2024-09-02,C037,P001,1
ORD00476,2024-09-03,C005,P008,1
ORD00477,2024-09-04,C038,P007,1
ORD00478,2024-09-05,C045,P008,1
ORD00479,2024-09-06,C041,P011,2
ORD00480,2024-09-06,C047,P009,1
ORD00481,2024-09-07,C014,P002,1
ORD00482,2024-09-08,C039,P005,5
ORD00483,2024-09-09,C025,P013,1
ORD00484,2024-09-09,C020,P010,1
ORD00485,2024-09-09,C002,P007,1
ORD00486,2024-09-10,C039,P003,1
ORD00487,2024-09-10,C006,P004,2
ORD00488,2024-09-10,C017,P010,2
ORD00489,2024-09-12,C025,P012,1
ORD00490,2024-09-13,C028,P009,1
ORD00491,2024-09-13,C002,P011,3
ORD00492,2024-09-13,C035,P010,2
ORD00493,2024-09-14,C037,P002,1
ORD00494,2024-09-14,C005,P005,2
ORD00495,2024-09-14,C001,P002,5
ORD00496,2024-09-15,C040,P003,2
ORD00497,2024-09-15,C012,P012,2
ORD00498,2024-09-16,C036,P006,2
ORD00499,2024-09-16,C045,P007,1
ORD00500,2024-09-16,C023,P002,1
ORD00501,2024-09-17,C047,P004,1
ORD00502,2024-09-17,C031,P003,1
ORD00503,2024-09-17,C011,P003,2
ORD00504,2024-09-18,C010,P008,1
ORD00505,2024-09-18,C003,P003,2
ORD00506,2024-09-18,C014,P008,2
ORD00507,2024-09-19,C016,P001,1
ORD00508,2024-09-19,C010,P002,5
ORD00509,2024-09-19,C029,P003,2
ORD00510,2024-09-20,C010,P008,1
ORD00511,2024-09-20,C012,P009,1
ORD00512,2024-09-20,C030,P006,1
ORD00513,2024-09-21,C041,P006,3
ORD00514,2024-09-22,C001,P010,1
ORD00515,2024-09-22,C005,P001,2
ORD00516,2024-09-22,C020,P004,1
ORD00517,2024-09-24,C008,P011,1
ORD00518,2024-09-24,C043,P008,5
ORD00519,2024-09-25,C012,P004,5
ORD00520,2024-09-26,C001,P013,5
ORD00521,2024-09-26,C020,P011,1
ORD00522,2024-09-26,C028,P003,2
ORD00523,2024-09-26,C043,P009,3
ORD00524,2024-09-27,C037,P008,2
ORD00525,2024-09-27,C047,P005,1
ORD00526,2024-09-27,C037,P005,1
ORD00527,2024-09-28,C012,P004,2
ORD00528,2024-09-29,C037,P008,1
ORD00529,2024-09-30,C049,P006,3
ORD00530,2024-09-30,C049,P012,2
