주문ID,주문일자,고객ID,성별,연령,지역,유입채널,카테고리,상품명,단가,수량,할인율,결제방법,주문상태,평점
ORD00082,2023-01-29,CUST0123,남,46.0,경기,직접방문,생활용품,수건세트,52000.0,1,0.0,간편결제,배송완료,4.0
ORD00083,2023-01-29,CUST0061,남,33.0,부산,검색,의류,티셔츠,21000.0,1,0.05,신용카드,배송완료,4.0
ORD00084,2023-01-30,CUST0009,여,43.0,경기,이메일,뷰티,마스크팩,43000.0,3,0.1,간편결제,배송완료,5.0
ORD00085,2023-01-30,CUST0098,남,19.0,서울,제휴,전자기기,스피커,178000.0,1,0.05,간편결제,배송완료,4.0
ORD00086,2023-01-30,CUST0136,남,34.0,제주,직접방문,식품,차세트,26000.0,2,0.3,계좌이체,배송중,
ORD00087,2023-01-31,CUST0087,n,31.0,경기,SNS,식품,과일선물세트,27000.0,2,0.1,간편결제,취소,
ORD00088,2023-01-31,CUST0097,여,18.0,서울,검색,의류,청바지,49000.0,1,0.1,계좌이체,배송완료,5.0
ORD00089,2023-01-31,CUST0076,여,41.0,경기,제휴,생활용품,쿠션,20000.0,1,0.15,포인트,배송완료,5.0
ORD00090,2023-01-31,CUST0078,남,24.0,대전,제휴,전자기기,스마트워치,118000.0,2,0.05,신용카드,배송완료,5.0
ORD00091,2023-01-31,CUST0045,남,30.0,대구,SNS,생활용품,쿠션,29000.0,1,0.2,신용카드,배송완료,4.0
ORD00092,2023-02-01,CUST0040,남,36.0,서울,이메일,전자기기,보조배터리,76000.0,2,0.15,신용카드,취소,
ORD00093,2023-02-01,CUST0086,여,35.0,부산,SNS,뷰티,립스틱,84000.0,1,0.05,신용카드,배송완료,3.0
ORD00094,2023-02-01,CUST0062,남,35.0,세종,직접방문,의류,청바지,86000.0,1,0.1,간편결제,배송완료,5.0
ORD00095,2023-02-01,CUST0071,n,18.0,제주,검색,의류,원피스,81000.0,2,0.3,간편결제,배송완료,5.0
ORD00096,2023-02-01,CUST0018,남,43.0,인천,검색,뷰티,선크림,114000.0,1,0.0,포인트,배송중,
ORD00097,2023-02-02,CUST0067,여,43.0,서울,SNS,의류,청바지,83000.0,1,0.05,간편결제,배송완료,5.0
ORD00098,2023-02-03,CUST0139,남,32.0,서울,SNS,생활용품,텀블러,53000.0,1,0.0,포인트,배송완료,4.0
ORD00099,2023-02-03,CUST0102,남,22.0,경기,검색,전자기기,스피커,77000.0,1,0.15,간편결제,반품,
ORD00100,2023-02-03,CUST0047,남,37.0,부산,제휴,뷰티,향수,81000.0,1,0.1,신용카드,반품,
ORD00101,2023-02-03,CUST0150,여,41.0,서울,SNS,뷰티,스킨케어세트,70000.0,1,0.0,신용카드,배송완료,4.0
ORD00102,2023-02-03,CUST0082,남,26.0,대구,SNS,의류,원피스,54000.0,3,0.0,계좌이체,반품,
ORD00103,2023-02-03,CUST0038,남,50.0,경기,검색,뷰티,립스틱,57000.0,2,0.0,계좌이체,배송완료,4.0
ORD00104,2023-02-04,CUST0035,여,26.0,서울,검색,전자기기,스피커,84000.0,1,0.0,포인트,배송완료,5.0
ORD00105,2023-02-05,CUST0186,여,35.0,경기,직접방문,의류,니트,85000.0,1,0.0,간편결제,취소,
ORD00106,2023-02-05,CUST0169,남,49.0,서울,SNS,전자기기,스마트워치,25000.0,3,0.0,계좌이체,배송완료,4.0
ORD00107,2023-02-05,CUST0051,남,47.0,인천,이메일,뷰티,향수,45000.0,1,0.1,신용카드,배송완료,5.0
ORD00108,2023-02-07,CUST0177,여,34.0,부산,검색,생활용품,텀블러,51000.0,2,0.0,간편결제,반품,
ORD00109,2023-02-07,CUST0198,여,18.0,경기,검색,뷰티,선크림,66000.0,1,0.2,계좌이체,배송완료,5.0
ORD00110,2023-02-07,CUST0129,남,28.0,대전,이메일,식품,과일선물세트,28000.0,1,0.1,신용카드,배송완료,5.0
ORD00111,2023-02-07,CUST0049,여,40.0,대전,이메일,전자기기,스피커,298000.0,1,0.0,신용카드,배송완료,3.0
ORD00112,2023-02-07,CUST0060,남,45.0,부산,이메일,식품,건강즙,32000.0,3,0.1,포인트,배송완료,5.0
ORD00113,2023-02-08,CUST0143,남,33.0,인천,SNS,의류,패딩,,2,0.1,신용카드,배송완료,5.0
ORD00114,2023-02-09,CUST0177,남,33.0,서울,직접방문,전자기기,스마트워치,113000.0,3,0.0,간편결제,배송중,
ORD00115,2023-02-09,CUST0008,남,18.0,서울,직접방문,의류,니트,30000.0,1,0.1,간편결제,배송완료,4.0
ORD00116,2023-02-09,CUST0157,여,45.0,서울,검색,뷰티,립스틱,39000.0,2,0.2,신용카드,배송완료,4.0
ORD00117,2023-02-09,CUST0157,여,24.0,인천,검색,전자기기,보조배터리,60000.0,2,0.2,계좌이체,배송완료,5.0
ORD00118,2023-02-09,CUST0121,여,43.0,서울,검색,의류,패딩,16000.0,1,0.15,포인트,배송완료,4.0
ORD00119,2023-02-10,CUST0161,여,35.0,인천,검색,식품,견과류,56000.0,2,0.15,신용카드,배송완료,
ORD00120,2023-02-10,CUST0137,남,38.0,경기,이메일,생활용품,수건세트,44000.0,1,0.0,간편결제,반품,
ORD00121,2023-02-10,CUST0127,여,29.0,대구,이메일,뷰티,립스틱,36000.0,1,0.0,신용카드,배송완료,5.0
ORD00122,2023-02-10,CUST0184,여,30.0,경기,SNS,전자기기,스마트워치,210000.0,2,0.2,신용카드,반품,
ORD00123,2023-02-11,CUST0121,남,29.0,서울,SNS,의류,티셔츠,51000.0,1,0.0,신용카드,배송완료,4.0
ORD00124,2023-02-12,CUST0124,여,34.0,서울,직접방문,식품,차세트,31000.0,1,0.0,계좌이체,배송완료,4.0
ORD00125,2023-02-13,CUST0055,남,33.0,서울,검색,생활용품,조명,42000.0,1,0.2,계좌이체,배송완료,5.0
ORD00126,2023-02-13,CUST0084,여,32.0,서울,검색,전자기기,스마트워치,25000.0,1,0.0,간편결제,배송중,
ORD00127,2023-02-14,CUST0002,여,35.0,경기,직접방문,전자기기,보조배터리,194000.0,1,0.0,간편결제,배송완료,4.0
ORD00128,2023-02-15,CUST0056,여,,서울,직접방문,의류,패딩,33000.0,1,0.3,간편결제,배송완료,4.0
ORD00129,2023-02-15,CUST0178,남,39.0,대구,검색,생활용품,방향제,42000.0,1,0.3,신용카드,배송중,
ORD00130,2023-02-15,CUST0130,여,18.0,서울,제휴,의류,패딩,34000.0,3,0.1,신용카드,배송완료,3.0
ORD00131,2023-02-16,CUST0141,여,43.0,대구,검색,생활용품,조명,32000.0,1,0.3,계좌이체,반품,
ORD00132,2023-02-17,CUST0070,남,37.0,대구,검색,식품,견과류,69000.0,2,0.1,신용카드,반품,
ORD00133,2023-02-18,CUST0151,여,42.0,서울,SNS,의류,원피스,66000.0,1,0.05,포인트,배송중,
ORD00134,2023-02-18,CUST0034,여,27.0,세종,SNS,의류,패딩,119000.0,3,0.1,신용카드,배송중,
ORD00135,2023-02-18,CUST0010,남,28.0,대구,검색,생활용품,텀블러,23000.0,2,0.1,포인트,배송중,
ORD00136,2023-02-19,CUST0145,여,55.0,세종,SNS,의류,청바지,71000.0,2,0.3,간편결제,배송완료,5.0
ORD00137,2023-02-19,CUST0180,여,34.0,서울,제휴,뷰티,스킨케어세트,132000.0,2,0.2,계좌이체,배송완료,4.0
ORD00138,2023-02-19,CUST0167,여,52.0,서울,검색,식품,차세트,26000.0,1,0.3,계좌이체,취소,
ORD00139,2023-02-20,CUST0018,여,18.0,경기,검색,생활용품,텀블러,19000.0,2,0.2,신용카드,배송완료,5.0
ORD00140,2023-02-20,CUST0017,여,44.0,경기,검색,의류,원피스,67000.0,1,0.3,간편결제,배송완료,5.0
ORD00141,2023-02-20,CUST0184,남,30.0,제주,이메일,식품,커피세트,57000.0,3,0.0,신용카드,배송완료,4.0
ORD00142,2023-02-20,CUST0064,여,37.0,경기,검색,의류,원피스,117000.0,1,0.0,간편결제,배송완료,4.0
ORD00143,2023-02-20,CUST0038,여,38.0,부산,이메일,뷰티,스킨케어세트,60000.0,3,0.2,간편결제,배송중,
ORD00144,2023-02-20,CUST0152,남,34.0,제주,이메일,뷰티,스킨케어세트,60000.0,2,0.0,계좌이체,배송완료,4.0
ORD00145,2023-02-21,CUST0066,여,27.0,경기,제휴,생활용품,방향제,43000.0,1,0.0,신용카드,배송완료,4.0
ORD00146,2023-02-21,CUST0110,남,30.0,부산,SNS,생활용품,방향제,53000.0,2,0.1,포인트,배송완료,5.0
ORD00147,2023-02-21,CUST0134,여,42.0,부산,제휴,생활용품,쿠션,12000.0,1,0.05,간편결제,배송완료,5.0
ORD00148,2023-02-22,CUST0059,여,24.0,제주,SNS,의류,청바지,90000.0,1,0.0,계좌이체,배송완료,5.0
ORD00149,2023-02-22,CUST0033,남,34.0,인천,검색,의류,티셔츠,74000.0,2,0.1,계좌이체,배송완료,4.0
ORD00150,2023-02-22,CUST0156,여,37.0,서울,직접방문,의류,니트,77000.0,3,0.15,신용카드,배송완료,5.0
ORD00151,2023-02-22,CUST0113,남,38.0,부산,SNS,전자기기,보조배터리,84000.0,1,0.1,신용카드,배송중,
ORD00152,2023-02-24,CUST0075,여,29.0,대구,검색,생활용품,조명,55000.0,1,0.0,신용카드,배송완료,5.0
ORD00153,2023-02-24,CUST0107,남,24.0,인천,직접방문,전자기기,스피커,134000.0,1,0.0,간편결제,취소,
ORD00154,2023-02-24,CUST0123,여,27.0,제주,직접방문,의류,청바지,77000.0,2,0.05,간편결제,배송완료,4.0
ORD00155,2023-02-24,CUST0041,여,35.0,부산,검색,의류,패딩,34000.0,1,0.1,신용카드,배송완료,4.0
ORD00156,2023-02-25,CUST0188,남,35.0,대전,SNS,의류,청바지,91000.0,2,0.3,간편결제,배송완료,5.0
ORD00157,2023-02-26,CUST0062,남,37.0,서울,제휴,식품,차세트,42000.0,1,0.0,간편결제,배송완료,4.0
ORD00158,2023-02-26,CUST0012,남,41.0,부산,제휴,뷰티,스킨케어세트,37000.0,3,0.2,신용카드,배송완료,5.0
ORD00159,2023-02-26,CUST0108,남,21.0,서울,SNS,생활용품,텀블러,12000.0,3,0.0,신용카드,배송완료,5.0
ORD00160,2023-02-26,CUST0011,여,,제주,SNS,뷰티,마스크팩,59000.0,1,0.2,신용카드,배송완료,5.0
ORD00161,2023-02-26,CUST0056,여,20.0,인천,SNS,의류,원피스,113000.0,3,0.15,간편결제,배송완료,5.0
ORD00162,2023-02-26,CUST0030,여,42.0,서울,제휴,뷰티,스킨케어세트,73000.0,3,0.0,간편결제,배송완료,5.0
ORD00163,2023-02-26,CUST0088,남,32.0,대구,SNS,의류,니트,51000.0,1,0.3,간편결제,반품,
ORD00164,2023-02-27,CUST0138,남,25.0,제주,검색,생활용품,방향제,10000.0,2,0.0,신용카드,반품,
ORD00165,2023-02-27,CUST0186,남,20.0,서울,검색,의류,청바지,83000.0,3,0.0,신용카드,배송완료,5.0
ORD00166,2023-02-27,CUST0015,남,30.0,서울,SNS,뷰티,마스크팩,85000.0,1,0.1,계좌이체,배송완료,5.0
ORD00167,2023-02-28,CUST0008,남,37.0,경기,SNS,생활용품,쿠션,45000.0,3,0.0,간편결제,배송완료,3.0
ORD00168,2023-02-28,CUST0138,여,56.0,경기,SNS,식품,견과류,68000.0,1,0.0,간편결제,배송완료,
ORD00169,2023-02-28,CUST0022,남,38.0,인천,이메일,전자기기,스마트워치,275000.0,1,0.0,신용카드,배송완료,
ORD00170,2023-02-28,CUST0193,여,43.0,세종,SNS,뷰티,스킨케어세트,96000.0,3,0.0,계좌이체,배송완료,5.0
ORD00171,2023-03-01,CUST0117,남,55.0,서울,SNS,전자기기,이어폰,219000.0,2,0.2,신용카드,배송중,
ORD00172,2023-03-02,CUST0033,남,28.0,광주,검색,전자기기,스마트워치,324000.0,2,0.1,신용카드,배송중,
ORD00173,2023-03-02,CUST0106,남,45.0,경기,이메일,전자기기,스피커,250000.0,1,0.0,포인트,배송완료,5.0
ORD00174,2023-03-02,CUST0096,여,41.0,대전,SNS,뷰티,선크림,149000.0,2,0.1,신용카드,배송완료,5.0
ORD00175,2023-03-02,CUST0161,여,42.0,제주,이메일,뷰티,선크림,21000.0,3,0.0,간편결제,취소,
ORD00176,2023-03-03,CUST0045,여,35.0,서울,검색,생활용품,조명,50000.0,3,0.3,간편결제,배송완료,5.0
ORD00177,2023-03-03,CUST0039,여,29.0,부산,직접방문,뷰티,선크림,69000.0,1,0.0,계좌이체,취소,
ORD00178,2023-03-03,CUST0154,여,44.0,대구,검색,전자기기,스마트워치,248000.0,2,0.0,간편결제,반품,
ORD00179,2023-03-03,CUST0087,여,35.0,서울,직접방문,생활용품,조명,52000.0,3,0.0,신용카드,배송완료,4.0
ORD00180,2023-03-04,CUST0169,여,51.0,광주,직접방문,전자기기,충전기,338000.0,2,0.0,간편결제,배송완료,5.0
ORD00181,2023-03-04,CUST0143,여,46.0,광주,SNS,식품,과일선물세트,63000.0,3,0.0,계좌이체,배송완료,5.0
ORD00182,2023-03-04,CUST0127,남,23.0,서울,직접방문,뷰티,립스틱,128000.0,1,0.1,간편결제,배송완료,4.0
ORD00183,2023-03-04,CUST0071,여,43.0,제주,직접방문,식품,차세트,74000.0,2,0.1,포인트,배송완료,4.0
ORD00184,2023-03-06,CUST0035,여,39.0,서울,직접방문,식품,과일선물세트,73000.0,2,0.3,간편결제,배송완료,5.0
ORD00185,2023-03-06,CUST0181,남,21.0,서울,직접방문,의류,패딩,30000.0,2,0.05,신용카드,배송완료,4.0
ORD00186,2023-03-06,CUST0152,여,37.0,세종,검색,식품,커피세트,,3,0.3,신용카드,배송완료,5.0
ORD00187,2023-03-07,CUST0144,여,27.0,경기,검색,생활용품,조명,23000.0,1,0.0,계좌이체,반품,
ORD00188,2023-03-07,CUST0154,남,25.0,경기,검색,의류,티셔츠,111000.0,1,0.0,간편결제,배송완료,4.0
ORD00189,2023-03-07,CUST0160,남,43.0,서울,검색,식품,차세트,58000.0,2,0.15,신용카드,배송완료,5.0
ORD00190,2023-03-07,CUST0155,남,22.0,경기,SNS,식품,과일선물세트,78000.0,1,0.3,간편결제,배송완료,
ORD00191,2023-03-07,CUST0013,여,39.0,세종,검색,의류,원피스,118000.0,1,0.0,포인트,배송완료,4.0
ORD00192,2023-03-08,CUST0190,여,36.0,경기,이메일,식품,과일선물세트,57000.0,1,0.0,신용카드,배송완료,4.0
ORD00193,2023-03-09,CUST0063,여,23.0,서울,검색,생활용품,수건세트,21000.0,2,0.0,계좌이체,반품,
ORD00194,2023-03-09,CUST0163,남,27.0,부산,SNS,뷰티,스킨케어세트,99000.0,2,0.15,신용카드,배송중,
ORD00195,2023-03-09,CUST0038,남,47.0,인천,SNS,전자기기,충전기,244000.0,1,0.0,계좌이체,배송완료,3.0
ORD00196,2023-03-10,CUST0104,남,38.0,경기,SNS,의류,니트,21000.0,2,0.0,신용카드,배송완료,4.0
ORD00197,2023-03-10,CUST0171,남,28.0,서울,검색,식품,건강즙,73000.0,2,0.3,간편결제,배송완료,4.0
ORD00198,2023-03-10,CUST0036,여,41.0,제주,검색,식품,커피세트,63000.0,2,0.1,간편결제,배송완료,5.0
ORD00199,2023-03-11,CUST0086,여,57.0,경기,SNS,의류,패딩,63000.0,1,0.05,간편결제,배송완료,4.0
ORD00200,2023-03-11,CUST0176,남,31.0,인천,제휴,전자기기,스피커,330000.0,1,0.1,신용카드,반품,
ORD00201,2023-03-12,CUST0005,남,40.0,경기,직접방문,뷰티,선크림,114000.0,1,0.2,신용카드,취소,
ORD00202,2023-03-12,CUST0082,남,18.0,부산,SNS,의류,티셔츠,102000.0,1,0.0,계좌이체,배송완료,5.0
ORD00203,2023-03-12,CUST0136,여,30.0,인천,이메일,의류,패딩,34000.0,1,0.0,간편결제,배송완료,5.0
ORD00204,2023-03-12,CUST0115,남,20.0,대구,SNS,뷰티,마스크팩,61000.0,3,0.3,간편결제,배송완료,4.0
ORD00205,2023-03-12,CUST0112,남,20.0,서울,검색,뷰티,선크림,21000.0,1,0.2,간편결제,취소,
ORD00206,2023-03-13,CUST0142,남,33.0,서울,SNS,뷰티,선크림,29000.0,2,0.1,계좌이체,배송완료,5.0
ORD00207,2023-03-13,CUST0182,여,32.0,제주,검색,전자기기,스마트워치,254000.0,1,0.1,신용카드,배송중,
ORD00208,2023-03-14,CUST0167,남,49.0,세종,SNS,식품,견과류,28000.0,1,0.15,신용카드,배송완료,4.0
ORD00209,2023-03-15,CUST0104,여,35.0,경기,검색,뷰티,스킨케어세트,94000.0,2,0.0,신용카드,배송완료,5.0
ORD00210,2023-03-15,CUST0170,남,45.0,서울,검색,전자기기,스피커,49000.0,2,0.1,신용카드,배송완료,
ORD00211,2023-03-15,CUST0093,여,47.0,부산,검색,뷰티,마스크팩,34000.0,2,0.15,간편결제,배송완료,
ORD00212,2023-03-15,CUST0016,남,59.0,경기,검색,생활용품,방향제,17000.0,2,0.3,계좌이체,배송완료,5.0
ORD00213,2023-03-15,CUST0003,여,46.0,서울,제휴,식품,차세트,60000.0,1,0.0,계좌이체,배송완료,5.0
ORD00214,2023-03-16,CUST0002,여,35.0,서울,검색,식품,커피세트,73000.0,1,0.05,간편결제,반품,
ORD00215,2023-03-16,CUST0163,여,45.0,경기,이메일,의류,청바지,24000.0,1,0.2,신용카드,반품,
ORD00216,2023-03-16,CUST0059,여,34.0,서울,SNS,뷰티,립스틱,39000.0,2,0.1,신용카드,배송완료,4.0
