주문번호,주문일자,고객ID,상품코드,수량
ORD00217,2024-05-01,C037,P005,1
ORD00218,2024-05-02,C008,P007,1
ORD00219,2024-05-03,C042,P010,5
ORD00220,2024-05-03,C049,P002,1
ORD00221,2024-05-03,C028,P002,2
ORD00222,2024-05-04,C031,P003,3
ORD00223,2024-05-04,C009,P003,2
ORD00224,2024-05-05,C029,P010,2
ORD00225,2024-05-05,C014,P003,1
ORD00226,2024-05-05,C040,P008,2
ORD00227,2024-05-06,C041,P007,2
ORD00228,2024-05-06,C022,P008,1
ORD00229,2024-05-07,C011,P012,1
ORD00230,2024-05-07,C023,P005,1
ORD00231,2024-05-08,C001,P011,1
ORD00232,2024-05-08,C046,P005,1
ORD00233,2024-05-08,C037,P004,1
ORD00234,2024-05-08,C021,P014,1
ORD00235,2024-05-09,C026,P002,1
ORD00236,2024-05-09,C046,P002,1
ORD00237,2024-05-09,C036,P011,5
ORD00238,2024-05-10,C023,P001,2
ORD00239,2024-05-10,C001,P012,2
ORD00240,2024-05-10,C040,P005,2
ORD00241,2024-05-10,C015,P013,2
ORD00242,2024-05-10,C021,P010,3
ORD00243,2024-05-11,C047,P008,3
ORD00244,2024-05-12,C009,P014,1
ORD00245,2024-05-12,C009,P005,1
ORD00246,2024-05-12,C010,P014,1
ORD00247,2024-05-14,C026,P002,1
ORD00248,2024-05-14,C041,P006,1
ORD00249,2024-05-14,C035,P003,1
ORD00250,2024-05-15,C025,P007,2
ORD00251,2024-05-17,C026,P002,1
ORD00252,2024-05-19,C011,P012,1
ORD00253,2024-05-20,C038,P012,1
ORD00254,2024-05-20,C002,P014,1
ORD00255,2024-05-21,C007,P002,1
ORD00256,2024-05-21,C018,P008,2
ORD00257,2024-05-21,C027,P006,1
ORD00258,2024-05-21,C034,P004,5
ORD00259,2024-05-21,C027,P004,1
ORD00260,2024-05-21,C017,P005,5
ORD00261,2024-05-22,C043,P010,1
ORD00262,2024-05-23,C044,P008,2
ORD00263,2024-05-23,C024,P006,2
ORD00264,2024-05-25,C025,P001,5
ORD00265,2024-05-26,C007,P001,2
ORD00266,2024-05-27,C006,P001,3
ORD00267,2024-05-27,C024,P015,1
ORD00268,2024-05-29,C033,P001,1
ORD00269,2024-05-29,C049,P002,1
ORD00270,2024-05-30,C029,P004,2
ORD00271,2024-05-30,C043,P011,2
ORD00272,2024-05-30,C022,P015,1
ORD00273,2024-06-01,C026,P011,1
ORD00274,2024-06-01,C028,P009,1
ORD00275,2024-06-01,C050,P007,5
ORD00276,2024-06-01,C021,P002,1
ORD00277,2024-06-01,C049,P014,1
ORD00278,2024-06-02,C007,P010,1
ORD00279,2024-06-02,C017,P008,2
ORD00280,2024-06-03,C020,P010,1
ORD00281,2024-06-03,C041,P010,1
ORD00282,2024-06-03,C049,P008,1
ORD00283,2024-06-03,C020,P015,1
ORD00284,2024-06-03,C022,P013,1
ORD00285,2024-06-03,C028,P009,1
ORD00286,2024-06-04,C040,P009,1
ORD00287,2024-06-05,C049,P001,3
ORD00288,2024-06-05,C007,P009,5
ORD00289,2024-06-05,C001,P001,1
ORD00290,2024-06-06,C032,P008,2
ORD00291,2024-06-06,C013,P015,1
ORD00292,2024-06-07,C030,P007,1
ORD00293,2024-06-07,C023,P006,1
ORD00294,2024-06-08,C019,P004,5
ORD00295,2024-06-09,C032,P002,1
ORD00296,2024-06-09,C030,P010,3
ORD00297,2024-06-09,C029,P002,2
ORD00298,2024-06-09,C049,P002,5
ORD00299,2024-06-09,C045,P005,1
ORD00300,2024-06-11,C029,P011,2
ORD00301,2024-06-11,C030,P010,5
ORD00302,2024-06-11,C016,P001,1
ORD00303,2024-06-12,C040,P006,1
ORD00304,2024-06-13,C019,P007,2
ORD00305,2024-06-14,C018,P009,2
ORD00306,2024-06-14,C001,P009,1
ORD00307,2024-06-14,C014,P005,5
ORD00308,2024-06-14,C047,P008,2
ORD00309,2024-06-14,C050,P006,1
ORD00310,2024-06-15,C002,P013,2
ORD00311,2024-06-16,C028,P007,2
ORD00312,2024-06-17,C049,P006,1
ORD00313,2024-06-17,C050,P005,1
ORD00314,2024-06-17,C030,P008,5
ORD00315,2024-06-18,C038,P011,2
ORD00316,2024-06-18,C004,P007,5
ORD00317,2024-06-22,C001,P009,2
ORD00318,2024-06-22,C008,P010,2
ORD00319,2024-06-23,C029,P007,1
ORD00320,2024-06-23,C039,P005,1
ORD00321,2024-06-23,C003,P012,1
ORD00322,2024-06-23,C032,P005,5
ORD00323,2024-06-24,C010,P006,5
ORD00324,2024-06-25,C010,P015,1
ORD00325,2024-06-25,C019,P001,5
ORD00326,2024-06-28,C046,P002,1
ORD00327,2024-06-28,C034,P005,2
ORD00328,2024-06-28,C033,P014,2
ORD00329,2024-06-29,C023,P001,1
ORD00330,2024-06-29,C028,P001,2
