주문ID,주문일시,고객ID,가게ID,메뉴,주문금액,수량,배달소요시간(분),결제방법,쿠폰사용여부,평점,주문상태
ORD00027,2024-04-29 19:54:12,CUST0408,STR026,김밥,6300,1,17.0,간편결제,N,2.0,배달완료
ORD00028,2024-08-13 20:47:34,CUST0076,STR100,불고기피자,31700,1,31.0,카드,N,1.0,배달완료
ORD00029,2024-12-31 21:10:36,CUST0179,STR022,우동,22200,2,60.0,카드,N,,배달완료
ORD00030,2024-08-25 09:26:45,CUST0006,STR047,시저샐러드,14600,1,31.0,간편결제,N,,배달완료
ORD00031,2024-03-02 12:35:16,CUST0067,STR072,설렁탕,10000,1,35.0,간편결제,N,2.0,배달완료
ORD00032,2024-06-30 13:08:49,CUST0349,STR017,우동,10000,3,55.0,간편결제,Y,,배달완료
ORD00033,2024-08-30 23:07:58,CUST0165,STR032,치즈피자,34400,1,25.0,카드,N,4.0,배달완료
ORD00034,2024-09-14 17:29:05,CUST0196,STR065,떡볶이,4400,2,17.0,간편결제,N,,배달완료
ORD00035,2024-07-12 13:13:34,CUST0154,STR082,반반치킨,21100,1,41.0,카드,N,4.0,배달완료
ORD00036,2024-08-25 19:16:56,CUST0080,STR074,제육볶음,9700,1,48.0,간편결제,Y,,취소
ORD00037,2024-04-06 21:55:57,CUST0298,STR045,오꼬노미야끼,22700,1,19.0,카드,N,3.0,배달완료
ORD00038,2024-06-16 12:30:36,CUST0212,STR027,족발,16100,0,35.0,간편결제,Y,4.0,배달완료
ORD00039,2024-09-06 19:59:47,CUST0473,STR070,카페라떼,9700,1,59.0,간편결제,N,,배달완료
ORD00040,2024-02-26 17:10:45,CUST0027,STR084,퀴노아샐러드,13100,1,34.0,카드,N,,취소
ORD00041,2024-11-21 23:35:34,CUST0178,STR027,족발,26100,1,60.0,카드,N,,취소
ORD00042,2024-11-04 10:27:46,CUST0001,STR046,그릭샐러드,10300,1,17.0,카드,Y,4.0,배달완료
ORD00043,2024-02-18 12:22:54,CUST0085,STR082,반반치킨,21100,1,34.0,간편결제,N,,배달완료
ORD00044,2024-06-21 12:18:15,CUST0386,STR006,비빔밥,7100,1,43.0,카드,N,,배달완료
ORD00045,2024-04-23 09:12:32,CUST0363,STR035,연어샐러드,14200,3,59.0,카드,N,4.0,배달완료
ORD00046,2024-09-13 13:19:49,CUST0289,STR039,된장찌개,7900,1,18.0,카드,N,,취소
ORD00047,2024-10-10 20:11:22,CUST0397,STR092,치즈피자,20100,1,56.0,카드,N,,배달완료
ORD00048,2024-05-02 11:39:15,CUST0380,STR081,족발,29100,1,22.0,카드,Y,5.0,배달완료
ORD00049,2024-06-15 22:10:19,CUST0188,STR067,치킨버거,9300,1,22.0,현금,N,,배달완료
ORD00050,2024-09-17 18:20:44,CUST0186,STR010,순살치킨,22800,2,58.0,현금,N,3.0,배달완료
ORD00051,2024-03-27 22:21:38,CUST0093,STR048,초밥세트,"16,000",1,20.0,간편결제,N,5.0,배달완료
ORD00052,2024-10-03 12:11:59,CUST0444,STR014,깐풍기,7900,2,16.0,카드,N,3.0,배달완료
ORD00053,2024-10-09 17:23:12,CUST0479,STR048,우동,8200,1,34.0,카드,Y,5.0,배달완료
ORD00054,2024-10-11 13:15:56,CUST0231,STR025,볶음밥,11600,2,43.0,간편결제,N,3.0,배달완료
ORD00055,2024-10-16 13:40:51,CUST0361,STR014,볶음밥,11500,1,18.0,간편결제,Y,,배달중
ORD00056,2024-04-05 13:49:02,CUST0320,STR022,라멘,11500,1,59.0,간편결제,N,,배달완료
ORD00057,2024-10-10 17:28:59,CUST0393,STR046,연어샐러드,9300,1,32.0,카드,N,4.0,배달완료
ORD00058,2024-05-01 11:05:14,CUST0136,STR055,빙수,5500,1,20.0,간편결제,Y,,배달완료
ORD00059,2024-01-21 12:47:30,CUST0491,STR034,짜장면,9000,1,39.0,간편결제,Y,,취소
ORD00060,2024-10-21 12:54:25,CUST0171,STR050,짜장면,15700,2,51.0,간편결제,N,5.0,배달완료
ORD00061,2024-12-27 17:35:37,CUST0261,STR074,제육볶음,7500,1,56.0,간편결제,N,,배달완료
ORD00062,2024-05-16 17:45:35,CUST0202,STR044,떡볶이,11200,1,31.0,현금,N,5.0,배달완료
ORD00063,2024-05-05 20:58:41,CUST0431,STR038,규동,21300,2,32.0,간편결제,N,2.0,배달완료
ORD00064,2024-03-20 22:26:10,CUST0056,STR073,김밥,3700,1,40.0,카드,N,5.0,배달완료
ORD00065,2024-07-02 11:09:10,CUST0076,STR064,우동,14700,1,45.0,현금,N,3.0,배달완료
ORD00066,2024-11-22 22:35:11,CUST0329,STR058,규동,24100,2,15.0,카드,N,5.0,배달완료
ORD00067,2024-06-28 11:19:09,CUST0452,STR078,하와이안피자,19900,1,40.0,카드,N,2.0,배달완료
ORD00068,2024-08-14 09:52:11,CUST0443,STR007,김밥,9400,1,27.0,현금,Y,5.0,배달완료
ORD00069,2024-10-01 22:14:01,CUST0137,STR016,된장찌개,12400,1,26.0,간편결제,N,4.0,배달완료
ORD00070,2024-02-24 22:20:36,CUST0392,STR087,마파두부,9200,2,51.0,카드,N,4.0,배달완료
ORD00071,2024-03-14 20:04:05,CUST0012,STR034,마파두부,11100,2,40.0,카드,N,,취소
ORD00072,2024-06-09 12:03:52,CUST0321,STR029,볶음밥,13300,1,36.0,카드,N,,취소
ORD00073,2024-03-06 20:41:30,CUST0323,STR036,하와이안피자,28700,1,51.0,카드,N,4.0,배달완료
ORD00074,2024-09-14 12:45:06,CUST0384,STR066,김밥,6100,1,38.0,카드,N,4.0,배달완료
ORD00075,2024-10-01 22:17:52,CUST0226,STR036,치즈피자,32400,1,51.0,카드,N,,배달완료
ORD00076,2024-04-30 12:08:18,CUST0284,STR044,오뎅,11900,1,16.0,간편결제,N,,배달중
ORD00077,2024-09-02 21:33:25,CUST0023,STR012,감자튀김,10100,1,33.0,간편결제,N,4.0,배달완료
ORD00078,2024-08-14 19:44:58,CUST0091,STR060,콤비네이션피자,26000,1,29.0,간편결제,N,2.0,배달완료
ORD00079,2024-08-29 12:43:19,CUST0437,STR053,김밥,7100,1,45.0,카드,N,4.0,배달완료
ORD00080,2024-03-02 18:20:01,CUST0410,STR092,불고기피자,26900,1,40.0,현금,Y,,배달완료
ORD00081,2024-03-17 23:38:54,CUST0121,STR017,라멘,24700,1,,간편결제,Y,,배달중
ORD00082,2024-03-28 20:40:36,CUST0415,STR044,떡볶이,3200,1,17.0,간편결제,Y,5.0,배달완료
ORD00083,2024-03-19 20:49:16,CUST0448,STR041,포케보울,15600,2,45.0,카드,N,5.0,배달완료
ORD00084,2024-07-07 12:57:55,CUST0454,STR077,마파두부,16000,1,34.0,카드,N,5.0,배달완료
ORD00085,2024-12-26 18:32:37,CUST0120,STR054,반반치킨,19400,1,43.0,카드,N,,취소
ORD00086,2024-12-29 18:27:42,CUST0395,STR095,보쌈,29200,1,24.0,카드,N,,배달완료
ORD00087,2024-07-25 20:32:28,CUST0306,STR035,퀴노아샐러드,15200,1,40.0,카드,Y,4.0,배달완료
ORD00088,2024-11-23 21:15:15,CUST0187,STR090,닭가슴살샐러드,9900,1,44.0,간편결제,N,4.0,배달완료
ORD00089,2024-08-05 23:22:50,CUST0368,STR012,치킨버거,9700,1,50.0,카드,N,,배달완료
ORD00090,2024-01-21 23:36:42,CUST0164,STR018,후라이드치킨,19800,1,54.0,카드,N,4.0,배달완료
ORD00091,2024-09-14 21:24:22,CUST0344,STR001,감자튀김,9300,1,15.0,카드,Y,4.0,배달완료
ORD00092,2024-12-05 13:29:43,CUST0231,STR078,불고기피자,22300,1,54.0,카드,N,5.0,배달완료
ORD00093,2024-01-27 21:55:37,CUST0394,STR056,고구마피자,31300,1,48.0,간편결제,Y,5.0,배달완료
ORD00094,2024-07-09 19:49:15,CUST0118,STR028,와퍼세트,6600,1,38.0,현금,N,4.0,배달완료
ORD00095,2024-06-14 20:13:32,CUST0344,STR097,오뎅,7900,1,60.0,간편결제,N,,취소
ORD00096,2024-06-16 09:04:02,CUST0372,STR047,그릭샐러드,13100,2,47.0,간편결제,Y,5.0,배달완료
ORD00097,2024-07-13 23:58:03,CUST0217,STR060,콤비네이션피자,34000,1,22.0,카드,Y,5.0,배달완료
ORD00098,2024-09-23 16:13:25,CUST0219,STR089,빅맥세트,10700,1,17.0,현금,N,,배달완료
ORD00099,2024-10-21 17:56:49,CUST0333,STR022,라멘,14000,2,42.0,간편결제,N,3.0,배달완료
ORD00100,2024-05-25 22:48:24,CUST0338,STR059,페퍼로니피자,15600,1,43.0,카드,N,,배달중
ORD00101,2024-09-17 17:37:58,,STR012,너겟세트,7900,1,48.0,카드,N,5.0,배달완료
ORD00102,2024-10-23 23:54:13,CUST0257,STR028,너겟세트,9300,1,22.0,현금,Y,3.0,배달완료
ORD00103,2024-02-23 20:29:20,CUST0183,STR076,와퍼세트,5200,1,58.0,카드,Y,4.0,배달완료
ORD00104,2024-01-18 18:53:41,CUST0329,STR029,마파두부,17800,1,38.0,카드,Y,,취소
ORD00105,2024-06-16 18:03:07,CUST0420,STR097,순대,3200,1,19.0,현금,N,4.0,배달완료
ORD00106,2024-03-07 22:44:46,CUST0111,STR092,하와이안피자,30600,1,60.0,카드,Y,,배달완료
ORD00107,2024-06-28 09:17:13,CUST0398,STR015,김밥,10900,1,45.0,간편결제,N,4.0,배달완료
ORD00108,2024-06-24 14:08:46,CUST0196,STR017,돈카츠,13100,1,38.0,카드,N,5.0,배달완료
ORD00109,2024-09-08 12:13:11,CUST0071,STR073,튀김,5500,1,26.0,카드,N,,배달중
ORD00110,2024-05-15 13:23:00,CUST0316,STR008,마늘치킨,20100,2,42.0,카드,Y,,취소
ORD00111,2024-03-21 17:05:48,CUST0499,STR067,너겟세트,8200,1,37.0,카드,N,5.0,배달완료
ORD00112,2024-09-22 17:05:06,CUST0413,STR052,하와이안피자,20600,3,39.0,현금,Y,,배달완료
ORD00113,2024-06-24 23:32:19,CUST0292,STR088,하와이안피자,17000,1,27.0,간편결제,Y,,취소
ORD00114,2024-07-01 22:32:45,CUST0159,STR089,감자튀김,11600,1,41.0,카드,Y,2.0,배달완료
ORD00115,2024-01-19 22:23:19,CUST0251,STR095,닭볶음탕,23800,3,28.0,간편결제,N,3.0,배달완료
ORD00116,2024-10-15 19:56:59,CUST0272,STR074,설렁탕,13000,1,41.0,간편결제,Y,5.0,배달완료
ORD00117,2024-05-07 19:37:13,CUST0072,STR001,와퍼세트,6500,2,46.0,간편결제,Y,3.0,배달완료
ORD00118,2024-04-29 13:03:19,CUST0029,STR075,탕수육,10500,1,49.0,간편결제,N,5.0,배달완료
ORD00119,2024-06-20 20:32:59,CUST0142,STR080,닭볶음탕,32500,1,58.0,카드,N,4.0,배달완료
ORD00120,2024-10-31 17:13:48,CUST0377,STR046,그릭샐러드,11300,1,29.0,간편결제,Y,,배달완료
ORD00121,2024-02-27 12:47:12,CUST0158,STR059,치즈피자,23300,2,0.0,현금,N,4.0,배달완료
ORD00122,2024-08-11 11:08:26,CUST0163,STR056,고구마피자,24700,1,52.0,카드,Y,,취소
ORD00123,2024-02-01 18:07:31,CUST0021,STR085,닭볶음탕,20500,1,19.0,간편결제,N,4.0,배달완료
ORD00124,2024-06-23 20:39:30,CUST0167,STR088,치즈피자,19300,1,31.0,간편결제,N,,배달완료
ORD00125,2024-01-09 11:40:16,CUST0186,STR051,페퍼로니피자,30200,1,37.0,카드,N,,취소
ORD00126,2024-07-09 12:10:09,CUST0137,STR087,볶음밥,14200,1,40.0,간편결제,Y,,배달완료
ORD00127,2024-09-29 11:19:24,CUST0248,STR038,우동,17000,1,41.0,카드,N,5.0,배달완료
ORD00128,2024-12-31 18:28:37,CUST0144,STR082,반반치킨,18800,2,48.0,간편결제,N,4.0,배달완료
ORD00129,2024-07-10 12:22:25,CUST0358,STR083,깐풍기,6100,1,30.0,현금,N,3.0,배달완료
ORD00130,2024-02-16 18:06:08,CUST0370,STR069,제육볶음,14900,3,23.0,간편결제,N,,취소
ORD00131,2024-10-01 23:35:56,CUST0006,STR072,갈비탕,8000,1,51.0,카드,N,4.0,배달완료
ORD00132,2024-09-24 12:15:14,CUST0228,STR045,규동,8400,1,27.0,간편결제,Y,,취소
ORD00133,2024-05-12 18:14:11,CUST0201,STR046,닭가슴살샐러드,10000,1,53.0,간편결제,N,3.0,배달완료
ORD00134,2024-10-29 12:03:46,CUST0485,STR081,보쌈,30200,1,36.0,카드,Y,4.0,배달완료
ORD00135,2024-05-09 18:56:23,CUST0029,STR069,갈비탕,13300,1,57.0,간편결제,N,4.0,배달완료
ORD00136,2024-10-11 19:08:28,CUST0313,STR035,퀴노아샐러드,10300,1,49.0,간편결제,Y,2.0,배달완료
ORD00137,2024-09-05 17:36:40,CUST0308,STR064,우동,10500,1,52.0,카드,N,3.0,배달완료
ORD00138,2024-09-27 13:10:55,CUST0261,STR041,그릭샐러드,10900,1,54.0,카드,Y,3.0,배달완료
ORD00139,2024-03-02 18:41:26,CUST0338,STR075,마파두부,15300,2,57.0,간편결제,N,,취소
ORD00140,2024-02-16 16:10:09,CUST0305,STR061,라멘,9800,2,25.0,간편결제,N,4.0,배달완료
ORD00141,2024-09-27 12:19:20,CUST0136,STR075,깐풍기,7800,1,59.0,간편결제,N,,배달완료
ORD00142,2024-07-03 20:47:08,CUST0103,STR097,김밥,3900,1,51.0,카드,N,5.0,배달완료
ORD00143,2024-07-23 20:00:00,CUST0287,STR023,라멘,24600,1,57.0,간편결제,N,5.0,배달완료
ORD00144,2024-06-27 17:12:36,CUST0117,STR021,닭가슴살샐러드,9100,1,29.0,카드,Y,,배달완료
ORD00145,2024-05-04 10:45:37,CUST0269,STR057,양념치킨,18300,1,33.0,간편결제,N,,취소
ORD00146,2024-12-09 11:28:29,CUST0301,STR097,라볶이,11300,1,23.0,카드,N,2.0,배달완료
ORD00147,2024-12-01 17:23:23,CUST0066,STR028,빅맥세트,6300,2,37.0,카드,Y,4.0,배달완료
ORD00148,2024-04-16 17:58:29,CUST0035,STR072,된장찌개,13500,1,47.0,카드,Y,4.0,배달완료
ORD00149,2024-10-19 20:37:42,CUST0376,STR062,치킨버거,10700,1,30.0,카드,Y,,배달중
ORD00150,2024-08-24 22:46:12,CUST0425,STR087,짜장면,16700,1,28.0,카드,N,1.0,배달완료
ORD00151,2024-08-24 20:41:57,CUST0467,STR019,아메리카노,3300원,1,38.0,현금,Y,3.0,배달완료
ORD00152,2024-03-08 11:36:20,CUST0099,STR076,치킨버거,6000,1,50.0,카드,Y,5.0,배달완료
ORD00153,2024-09-05 22:44:43,CUST0193,STR016,비빔밥,10300,1,42.0,카드,Y,3.0,배달완료
ORD00154,2024-05-14 23:02:01,CUST0275,STR070,빙수,7000,1,59.0,간편결제,N,4.0,배달완료
ORD00155,2024-07-20 18:23:45,CUST0409,STR055,케이크,13200,1,18.0,카드,Y,,취소
ORD00156,2024-09-21 19:42:15,CUST0080,STR061,돈카츠,22700,1,38.0,카드,N,3.0,배달완료
ORD00157,2024-07-22 18:34:43,CUST0403,STR085,닭볶음탕,31300,1,54.0,카드,N,,배달완료
ORD00158,2024-07-28 20:13:02,CUST0169,STR037,된장찌개,7800,1,25.0,카드,Y,5.0,배달완료
ORD00159,2024-03-05 17:36:04,CUST0406,STR099,오꼬노미야끼,16800,1,25.0,카드,Y,5.0,배달완료
ORD00160,2024-12-16 20:17:34,CUST0230,STR061,초밥세트,20800,2,44.0,카드,N,5.0,배달완료
ORD00161,2024-05-17 23:23:45,CUST0154,STR073,김밥,5500,2,25.0,간편결제,N,,배달완료
ORD00162,2024-10-28 12:54:29,CUST0421,STR063,순대,3200,3,24.0,간편결제,N,,배달완료
ORD00163,2024-04-28 09:31:51,CUST0304,STR083,볶음밥,17400,1,53.0,간편결제,Y,,취소
ORD00164,2024-11-04 17:42:48,CUST0484,STR027,족발,17200,3,59.0,간편결제,Y,4.0,배달완료
ORD00165,2024-02-08 19:11:03,CUST0464,STR027,닭볶음탕,27400,2,33.0,카드,N,5.0,배달완료
ORD00166,2024-05-22 13:45:50,CUST0387,STR047,퀴노아샐러드,11700,1,28.0,카드,N,3.0,배달완료
ORD00167,2024-01-29 17:35:29,CUST0016,STR098,그릭샐러드,8900,2,22.0,카드,N,4.0,배달완료
ORD00168,2024-09-23 23:03:08,CUST0281,STR068,감자튀김,7100,2,53.0,카드,Y,4.0,배달완료
ORD00169,2024-05-11 22:56:22,CUST0484,STR070,마카롱세트,9800,1,30.0,카드,N,4.0,배달완료
ORD00170,2024-04-07 19:00:50,CUST0211,STR095,보쌈,15300,1,16.0,간편결제,Y,3.0,배달완료
ORD00171,2024-01-19 22:59:56,CUST0389,STR073,떡볶이,5000,2,25.0,간편결제,N,4.0,배달완료
ORD00172,2024-02-12 18:55:57,CUST0163,STR067,감자튀김,9100,1,49.0,카드,N,,배달완료
ORD00173,2024-08-07 21:58:53,CUST0098,STR024,닭볶음탕,27700,1,58.0,간편결제,N,,취소
ORD00174,2024-04-23 16:56:37,CUST0493,STR028,와퍼세트,5400,2,46.0,간편결제,Y,,배달중
ORD00175,2024-06-25 23:37:51,CUST0158,STR054,후라이드치킨,21300,1,53.0,간편결제,Y,3.0,배달완료
ORD00176,2024-11-03 23:03:15,CUST0031,STR016,비빔밥,12800,3,55.0,카드,N,2.0,배달완료
ORD00177,2024-10-28 13:16:24,CUST0099,STR035,닭가슴살샐러드,10800,1,42.0,간편결제,Y,3.0,배달완료
ORD00178,2024-11-17 11:26:51,CUST0345,STR005,라볶이,11800,2,27.0,간편결제,N,3.0,배달완료
ORD00179,2024-04-25 20:27:50,CUST0461,STR089,불고기버거,10400,2,21.0,간편결제,Y,4.0,배달완료
ORD00180,2024-05-12 18:37:31,CUST0147,STR072,불고기,12100,1,33.0,카드,N,,취소
ORD00181,2024-03-17 10:25:40,CUST0247,STR021,연어샐러드,14100,1,15.0,카드,Y,,배달완료
ORD00182,2024-08-03 19:53:03,CUST0177,STR060,하와이안피자,32500,2,52.0,간편결제,N,,배달완료
ORD00183,2024-01-19 22:12:31,CUST0013,STR084,포케보울,10000,1,56.0,간편결제,N,4.0,배달완료
ORD00184,2024-05-08 17:40:30,CUST0389,STR006,비빔밥,11900,1,31.0,간편결제,N,5.0,배달완료
ORD00185,2024-08-15 20:23:08,CUST0428,STR044,튀김,6900,1,37.0,카드,Y,3.0,배달완료
ORD00186,2024-07-11 17:11:32,CUST0440,STR036,불고기피자,18000,1,50.0,카드,N,4.0,배달완료
ORD00187,2024-11-02 20:09:54,CUST0373,STR022,초밥세트,9400,1,47.0,카드,N,4.0,배달완료
ORD00188,2024-09-26 14:39:10,CUST0059,STR037,김치찌개,14900,1,59.0,카드,N,,배달완료
ORD00189,2024-10-05 23:05:05,CUST0167,STR050,깐풍기,14600,1,44.0,카드,N,5.0,배달완료
ORD00190,2024-01-27 13:58:05,CUST0368,STR068,빅맥세트,5900,1,50.0,카드,N,3.0,배달완료
ORD00191,2024-08-19 17:50:41,CUST0211,STR038,우동,13400,1,19.0,간편결제,N,,배달완료
ORD00192,2024-08-25 14:55:59,CUST0259,STR082,간장치킨,23800,1,35.0,카드,N,,배달완료
ORD00193,2024-03-12 23:49:35,CUST0033,STR041,퀴노아샐러드,14200,3,56.0,카드,N,,배달완료
ORD00194,2024-07-12 19:37:03,CUST0104,STR025,탕수육,7600,1,41.0,간편결제,N,4.0,배달완료
ORD00195,2024-08-25 21:55:47,CUST0393,STR099,오꼬노미야끼,19800,1,46.0,현금,N,,취소
ORD00196,2024-03-13 13:30:34,CUST0127,STR049,와퍼세트,11300,2,32.0,카드,Y,5.0,배달완료
ORD00197,2024-10-09 14:42:25,CUST0101,STR041,시저샐러드,15700,2,42.0,현금,N,2.0,배달완료
ORD00198,2024-10-09 21:49:48,CUST0044,STR018,간장치킨,23500,1,58.0,카드,N,4.0,배달완료
ORD00199,2024-04-29 19:55:47,CUST0241,STR019,마카롱세트,11500,3,36.0,카드,Y,,배달완료
ORD00200,2024-12-31 18:36:28,CUST0441,STR059,고구마피자,18500,1,27.0,간편결제,N,,배달완료
ORD00201,2024-12-25 21:10:57,CUST9691,STR006,갈비탕,10800,1,49.0,카드,N,,취소
ORD00202,2024-11-01 17:31:34,CUST0104,STR093,마파두부,14300,1,47.0,카드,N,,취소
ORD00203,2024-06-21 22:34:16,CUST0261,STR067,감자튀김,8700,1,21.0,카드,Y,5.0,배달완료
ORD00204,2024-01-23 17:16:29,CUST0008,STR030,불고기,13800,1,34.0,카드,N,5.0,배달완료
ORD00205,2024-03-14 19:52:27,CUST0303,STR059,불고기피자,22500,2,55.0,현금,N,5.0,배달완료
ORD00206,2024-04-10 23:20:32,CUST0229,STR004,족발,26000,1,38.0,카드,N,,배달완료
ORD00207,2024-09-14 19:42:24,CUST0376,STR007,오뎅,11000,1,46.0,간편결제,N,4.0,배달완료
ORD00208,2024-05-16 23:53:22,CUST0475,STR090,연어샐러드,8300,99,46.0,간편결제,Y,4.0,배달완료
ORD00209,2024-03-18 23:11:13,CUST0339,STR060,고구마피자,34000,1,48.0,카드,Y,,배달완료
ORD00210,2024-01-14 20:32:13,CUST0156,STR016,갈비탕,14000,1,54.0,현금,N,5.0,배달완료
ORD00211,2024-09-21 13:08:23,CUST0075,STR060,콤비네이션피자,32900,1,16.0,간편결제,N,3.0,배달완료
ORD00212,2024-11-25 11:33:09,CUST0060,STR048,오꼬노미야끼,20700,1,31.0,카드,N,5.0,배달완료
ORD00213,2024-11-17 11:08:29,CUST0142,STR037,김치찌개,12700,1,57.0,카드,Y,2.0,배달완료
ORD00214,2024-05-25 11:00:59,CUST0472,STR032,치즈피자,30300,1,42.0,간편결제,Y,,배달완료
ORD00215,2024-01-08 18:11:02,CUST0369,STR011,카페라떼,4600,2,26.0,간편결제,N,,배달완료
ORD00216,2024-03-12 20:22:50,CUST0409,STR087,볶음밥,11900,1,20.0,간편결제,Y,5.0,배달완료
ORD00217,2024-04-05 23:21:02,CUST0053,STR073,튀김,3500,2,27.0,간편결제,Y,4.0,배달완료
ORD00218,2024-04-26 12:33:48,CUST0219,STR074,된장찌개,10500,2,18.0,카드,Y,3.0,배달완료
ORD00219,2024-09-01 13:50:58,CUST0022,STR081,닭볶음탕,23300,1,58.0,간편결제,N,5.0,배달완료
ORD00220,2024-08-15 11:53:30,CUST0391,STR092,페퍼로니피자,16700,1,54.0,카드,N,4.0,배달완료
ORD00221,2024-06-19 21:37:23,CUST0323,STR020,양념치킨,21200,1,17.0,카드,Y,5.0,배달완료
ORD00222,2024-11-02 10:45:59,CUST0420,STR017,돈카츠,16800,1,17.0,카드,N,,배달완료
ORD00223,2024-03-28 19:06:30,CUST0053,STR002,포케보울,9000,1,47.0,카드,Y,2.0,배달완료
ORD00224,2024-01-21 21:50:53,CUST0158,STR066,김밥,4300,1,22.0,카드,N,5.0,배달완료
ORD00225,2024-03-13 17:19:53,CUST0153,STR053,라볶이,10200,1,18.0,카드,N,,배달완료
ORD00226,2024-05-07 22:42:37,CUST0442,STR090,포케보울,11000,1,41.0,카드,Y,4.0,배달완료
ORD00227,2024-06-21 09:44:27,CUST0219,STR068,와퍼세트,11400,1,28.0,간편결제,N,,배달완료
ORD00228,2024-06-05 12:22:59,CUST0043,STR097,떡볶이,5200,1,19.0,카드,N,,취소
ORD00229,2024-06-02 11:38:11,CUST0003,STR061,오꼬노미야끼,21600,1,22.0,카드,N,,배달완료
ORD00230,2024-07-06 21:44:13,CUST0257,STR038,돈카츠,9200,1,37.0,간편결제,Y,4.0,배달완료
ORD00231,2024-04-27 12:50:46,CUST0243,STR046,그릭샐러드,12200,1,38.0,간편결제,N,5.0,배달완료
ORD00232,2024-06-16 10:19:09,CUST0223,STR054,마늘치킨,18200,1,21.0,간편결제,Y,,배달완료
ORD00233,2024-05-24 21:06:15,CUST0007,STR056,하와이안피자,18800,1,29.0,카드,N,,배달완료
ORD00234,2024-08-22 12:18:36,CUST0150,STR073,순대,8500,2,60.0,카드,N,5.0,배달완료
ORD00235,2024-01-28 17:10:14,CUST0060,STR039,된장찌개,14100,1,34.0,간편결제,N,5.0,배달완료
ORD00236,2024-11-14 17:30:09,CUST0043,STR094,닭발,33400,1,52.0,현금,Y,,배달완료
ORD00237,2024-02-20 20:59:48,CUST0312,STR026,순대,7700,1,47.0,간편결제,N,5.0,배달완료
ORD00238,2024-10-25 19:46:18,CUST0131,STR099,돈카츠,19900,1,29.0,카드,N,4.0,배달완료
ORD00239,2024-06-24 17:37:04,CUST0238,STR087,짜장면,11300,1,43.0,카드,N,5.0,배달완료
ORD00240,2024-02-08 18:14:22,CUST0473,STR100,고구마피자,34800,99,33.0,현금,N,,배달완료
