캠페인ID,고객ID,발송일,오픈여부,클릭여부,전환여부,전환금액
CAM004,CU00245,2023-12-21,N,N,N,
CAM002,CU00518,2023-03-13,N,N,N,
CAM002,CU00070,2023-03-29,N,N,N,
CAM009,CU00517,2023-11-28,N,N,N,
CAM009,CU00750,2023-11-23,Y,N,N,
CAM003,CU00731,2023-09-28,N,N,N,
CAM002,CU00649,2023-03-25,N,N,N,
CAM005,CU00347,2024-03-07,Y,N,N,
CAM002,CU00640,2023-03-27,N,N,N,
CAM007,CU00531,2023-05-29,Y,N,N,
CAM001,CU00389,2023-06-11,Y,N,N,
CAM002,CU00274,2023-03-23,Y,N,N,
CAM005,CU00218,2024-03-26,Y,N,N,
CAM007,CU00708,2023-05-24,Y,Y,Y,36600.0
CAM005,CU00591,2024-03-21,N,N,N,
CAM007,CU00416,2023-05-29,N,N,N,
CAM001,CU00612,2023-06-24,Y,N,N,
CAM005,CU00576,2024-03-18,N,N,N,
CAM002,CU00152,2023-03-27,Y,Y,N,
CAM006,CU00715,2023-07-26,N,N,N,
CAM003,CU00252,2023-09-30,N,N,N,
CAM002,CU00503,2023-03-23,Y,N,N,
CAM007,CU00793,2023-05-05,Y,Y,N,
CAM002,CU00627,2023-03-21,N,N,N,
CAM005,CU00323,2024-03-12,Y,N,N,
CAM009,CU00438,2023-11-20,N,N,N,
CAM003,CU00042,2023-09-28,Y,Y,N,
CAM007,CU00712,2023-05-19,Y,N,N,
CAM006,CU00536,2023-08-13,N,N,N,
CAM006,CU00758,2023-07-18,N,N,N,
CAM009,CU00650,2023-11-26,Y,Y,N,
CAM008,CU00472,2023-10-10,N,N,N,
CAM009,CU00137,2023-11-25,N,N,N,
CAM009,CU00658,2023-11-22,N,N,N,
CAM007,CU00544,2023-05-03,N,N,N,
CAM003,CU00713,2023-09-22,Y,N,N,
CAM007,CU00540,2023-05-29,Y,N,N,
CAM005,CU00449,2024-03-17,N,N,N,
CAM002,CU00499,2023-03-22,Y,N,N,
CAM005,CU00278,2024-03-19,Y,N,N,
CAM006,CU00324,2023-07-25,N,N,N,
CAM007,CU00016,2023-05-27,Y,Y,Y,31900.0
CAM007,CU00219,2023-05-08,Y,N,N,
CAM002,CU00235,2023-03-16,Y,Y,Y,32200.0
CAM003,CU00580,2023-09-20,N,N,N,
CAM004,CU00069,2023-12-04,N,N,N,
CAM007,CU00671,2023-05-07,N,N,N,
CAM002,CU00226,2023-03-19,Y,Y,N,
CAM005,CU00281,2024-03-01,Y,Y,N,
CAM004,CU00703,2023-12-12,Y,Y,N,
CAM006,CU00173,2023-07-19,Y,N,N,
CAM002,CU00596,2023-03-20,N,N,N,
CAM010,CU00631,2023-12-31,N,N,N,
CAM009,CU00736,2023-11-20,N,N,N,
CAM010,CU00641,2024-01-04,N,N,N,
CAM002,CU00699,2023-03-14,N,N,N,
CAM002,CU00370,2023-03-29,N,N,N,
CAM001,CU00542,2023-06-08,N,N,N,
CAM008,CU00032,2023-10-06,Y,N,N,
CAM005,CU00054,2024-03-26,N,N,N,
CAM010,CU00677,2023-12-24,Y,N,N,
CAM009,CU00665,2023-11-29,N,N,N,
CAM008,CU00350,2023-10-24,Y,N,N,
CAM002,CU00032,2023-03-20,Y,N,N,
CAM001,CU00698,2023-06-09,N,N,N,
CAM009,CU00449,2023-11-20,N,N,N,
CAM010,CU00196,2023-12-30,Y,N,N,
CAM007,CU00261,2023-05-02,Y,N,N,
CAM007,CU00444,2023-05-27,Y,Y,N,
CAM006,CU00067,2023-08-04,Y,N,N,
CAM010,CU00406,2023-12-26,N,N,N,
CAM007,CU00338,2023-05-04,N,N,N,
CAM006,CU00385,2023-08-13,N,N,N,
CAM007,CU00717,2023-05-26,Y,N,N,
CAM002,CU00007,2023-03-02,N,N,N,
CAM004,CU00743,2023-12-15,Y,N,N,
CAM003,CU00100,2023-10-04,N,N,N,
CAM005,CU00711,2024-03-14,N,N,N,
CAM004,CU00574,2023-12-03,N,N,N,
CAM003,CU00283,2023-09-27,N,N,N,
CAM004,CU00547,2023-12-24,N,N,N,
CAM007,CU00269,2023-05-07,Y,N,N,
CAM006,CU00676,2023-07-18,N,N,N,
CAM010,CU00734,2024-01-01,N,N,N,
CAM007,CU00277,2023-05-18,N,N,N,
CAM003,CU00587,2023-09-26,Y,N,N,
CAM009,CU00680,2023-11-28,N,N,N,
CAM009,CU00178,2023-11-22,N,N,N,
CAM005,CU00059,2024-03-11,N,N,N,
CAM003,CU00210,2023-09-17,N,N,N,
CAM003,CU00189,2023-10-01,N,N,N,
CAM009,CU00414,2023-11-26,N,N,N,
CAM010,CU00447,2024-01-02,N,N,N,
CAM001,CU00156,2023-06-12,Y,Y,N,
CAM008,CU00735,2023-10-28,N,N,N,
CAM005,CU00034,2024-03-07,N,N,N,
CAM002,CU00130,2023-03-12,N,N,N,
CAM008,CU00189,2023-10-20,N,N,N,
CAM003,CU00758,2023-09-27,N,N,N,
CAM001,CU00218,2023-06-22,N,N,N,
CAM008,CU00052,2023-10-21,N,N,N,
CAM005,CU00544,2024-03-08,N,N,N,
CAM001,CU00716,2023-06-21,N,N,N,
CAM007,CU00785,2023-05-20,Y,N,N,
CAM004,CU00572,2023-12-12,N,N,N,
CAM004,CU00586,2023-12-24,N,N,N,
CAM007,CU00418,2023-05-20,N,N,N,
CAM010,CU00754,2024-01-03,N,N,N,
CAM008,CU00517,2023-10-29,Y,Y,N,
CAM001,CU00663,2023-06-06,N,N,N,
CAM005,CU00626,2024-03-06,Y,Y,N,
CAM005,CU00639,2024-03-18,Y,N,N,
CAM007,CU00004,2023-05-10,Y,N,N,
CAM010,CU00730,2024-01-04,N,N,N,
CAM007,CU00030,2023-05-01,N,N,N,
CAM007,CU00015,2023-05-03,Y,N,N,
CAM007,CU00307,2023-05-28,N,N,N,
CAM007,CU00474,2023-05-22,Y,Y,Y,16600.0
CAM007,CU00577,2023-05-09,Y,N,N,
CAM009,CU00656,2023-11-28,N,N,N,
CAM003,CU00313,2023-09-29,N,N,N,
CAM007,CU00749,2023-05-03,Y,Y,N,
CAM002,CU00736,2023-03-25,Y,Y,N,
CAM006,CU00353,2023-08-06,Y,N,N,
CAM007,CU00111,2023-05-20,Y,Y,N,
CAM007,CU00761,2023-05-23,Y,N,N,
CAM003,CU00769,2023-09-19,N,N,N,
CAM006,CU00794,2023-07-29,N,N,N,
CAM009,CU00370,2023-11-24,N,N,N,
CAM008,CU00778,2023-10-23,Y,Y,N,
CAM001,CU00224,2023-06-21,Y,Y,N,
CAM002,CU00404,2023-03-01,N,N,N,
CAM005,CU00329,2024-03-19,Y,N,N,
CAM001,CU00313,2023-06-24,Y,Y,N,
CAM009,CU00267,2023-11-28,Y,Y,Y,9000.0
CAM005,CU00407,2024-03-30,N,N,N,
CAM004,CU00286,2023-12-11,Y,Y,N,
CAM004,CU00092,2023-12-17,Y,N,N,
CAM002,CU00534,2023-03-06,Y,Y,N,
CAM008,CU00335,2023-10-08,Y,N,N,
CAM007,CU00072,2023-05-12,Y,Y,Y,29900.0
CAM010,CU00704,2024-01-03,Y,N,N,
CAM005,CU00500,2024-03-01,Y,N,N,
CAM003,CU00550,2023-09-27,N,N,N,
CAM001,CU00552,2023-06-02,N,N,N,
CAM003,CU00062,2023-09-22,Y,N,N,
CAM006,CU00118,2023-08-07,Y,Y,N,
CAM001,CU00259,2023-06-13,N,N,N,
CAM004,CU00777,2023-12-25,N,N,N,
CAM001,CU00266,2023-06-20,Y,N,N,
CAM009,CU00721,2023-11-24,Y,N,N,
CAM001,CU00671,2023-06-25,Y,Y,N,
CAM007,CU00279,2023-05-05,N,N,N,
CAM005,CU00741,2024-03-21,N,N,N,
CAM001,CU00187,2023-06-19,Y,N,N,
CAM006,CU00653,2023-07-18,N,N,N,
CAM002,CU00156,2023-03-02,N,N,N,
CAM008,CU00245,2023-10-17,N,N,N,
CAM005,CU00519,2024-03-06,N,N,N,
CAM003,CU00489,2023-09-15,N,N,N,
CAM002,CU00747,2023-03-08,N,N,N,
CAM008,CU00298,2023-10-11,Y,N,N,
CAM009,CU00125,2023-11-28,Y,N,N,
CAM004,CU00559,2023-12-21,Y,Y,N,
CAM006,CU00235,2023-08-14,Y,N,N,
CAM005,CU00740,2024-03-20,N,N,N,
CAM009,CU00227,2023-11-26,N,N,N,
CAM004,CU00290,2023-12-28,Y,N,N,
CAM010,CU00440,2024-01-02,N,N,N,
CAM003,CU00523,2023-10-02,Y,Y,N,
CAM007,CU00658,2023-05-05,Y,Y,Y,39400.0
CAM001,CU00393,2023-06-23,N,N,N,
CAM007,CU00123,2023-05-18,N,N,N,
CAM002,CU00317,2023-03-01,N,N,N,
CAM006,CU00763,2023-08-10,N,N,N,
CAM010,CU00282,2023-12-29,N,N,N,
CAM010,CU00232,2023-12-24,N,N,N,
CAM006,CU00315,2023-07-31,N,N,N,
CAM002,CU00451,2023-03-09,N,N,N,
CAM003,CU00059,2023-10-04,N,N,N,
CAM007,CU00369,2023-05-08,N,N,N,
CAM003,CU00643,2023-09-21,Y,N,N,
CAM005,CU00018,2024-03-06,N,N,N,
CAM009,CU00423,2023-11-29,N,N,N,
CAM002,CU00257,2023-03-17,N,N,N,
CAM010,CU00100,2023-12-22,Y,N,N,
CAM004,CU00594,2023-12-16,N,N,N,
CAM001,CU00047,2023-06-08,N,N,N,
CAM009,CU00281,2023-11-28,Y,N,N,
CAM003,CU00759,2023-10-03,N,N,N,
CAM009,CU00205,2023-11-28,N,N,N,
CAM005,CU00412,2024-03-16,N,N,N,
CAM005,CU00713,2024-03-12,N,N,N,
CAM007,CU00227,2023-05-05,N,N,N,
CAM005,CU00317,2024-03-23,N,N,N,
CAM002,CU00456,2023-03-16,Y,N,N,
CAM007,CU00018,2023-05-25,Y,Y,N,
CAM007,CU00651,2023-05-30,N,N,N,
CAM007,CU00150,2023-05-27,N,N,N,
CAM001,CU00586,2023-06-19,N,N,N,
CAM002,CU00115,2023-03-14,N,N,N,
CAM005,CU00586,2024-03-09,Y,Y,N,
CAM001,CU00682,2023-06-25,Y,Y,N,
CAM006,CU00517,2023-07-15,Y,N,N,
CAM003,CU00380,2023-09-29,N,N,N,
CAM007,CU00603,2023-05-11,Y,Y,Y,5200.0
CAM005,CU00774,2024-03-14,N,N,N,
CAM001,CU00637,2023-06-15,N,N,N,
CAM007,CU00602,2023-05-23,Y,N,N,
CAM007,CU00247,2023-05-26,N,N,N,
CAM002,CU00185,2023-03-13,Y,N,N,
CAM010,CU00005,2023-12-31,N,N,N,
CAM009,CU00585,2023-11-23,Y,N,N,
CAM001,CU00574,2023-06-01,N,N,N,
CAM003,CU00467,2023-09-20,N,N,N,
CAM005,CU00311,2024-03-30,Y,N,N,
CAM004,CU00237,2023-12-14,N,N,N,
CAM006,CU00088,2023-08-13,N,N,N,
CAM004,CU00335,2023-12-07,Y,N,N,
CAM009,CU00183,2023-11-29,Y,N,N,
CAM002,CU00175,2023-03-08,N,N,N,
CAM003,CU00703,2023-10-01,Y,N,N,
CAM003,CU00609,2023-09-29,Y,Y,N,
CAM010,CU00272,2023-12-31,N,N,N,
CAM005,CU00180,2024-03-19,Y,N,N,
CAM007,CU00398,2023-05-12,N,N,N,
CAM002,CU00320,2023-03-20,N,N,N,
CAM001,CU00666,2023-06-25,Y,Y,N,
CAM002,CU00431,2023-03-18,Y,N,N,
CAM009,CU00095,2023-11-26,N,N,N,
CAM003,CU00491,2023-10-01,N,N,N,
CAM005,CU00247,2024-03-10,N,N,N,
CAM005,CU00257,2024-03-09,N,N,N,
CAM005,CU00202,2024-03-10,Y,N,N,
CAM001,CU00256,2023-06-13,Y,Y,Y,42100.0
CAM001,CU00004,2023-06-22,N,N,N,
CAM002,CU00637,2023-03-10,N,N,N,
CAM002,CU00558,2023-03-05,Y,N,N,
CAM002,CU00121,2023-03-15,Y,N,N,
CAM007,CU00323,2023-05-12,N,N,N,
CAM007,CU00215,2023-05-15,N,N,N,
CAM008,CU00368,2023-10-16,N,N,N,
CAM010,CU00741,2024-01-01,Y,N,N,
CAM009,CU00362,2023-11-22,N,N,N,
CAM010,CU00562,2023-12-26,N,N,N,
CAM002,CU00108,2023-03-08,Y,N,N,
CAM008,CU00214,2023-10-07,Y,N,N,
CAM005,CU00433,2024-03-25,Y,N,N,
CAM005,CU00436,2024-03-06,Y,N,N,
CAM009,CU00184,2023-11-25,Y,Y,Y,26900.0
CAM008,CU00585,2023-10-30,Y,Y,N,
CAM007,CU00720,2023-05-16,Y,N,N,
CAM009,CU00586,2023-11-22,N,N,N,
CAM003,CU00418,2023-09-19,Y,Y,N,
CAM007,CU00480,2023-05-18,Y,N,N,
CAM001,CU00277,2023-06-04,N,N,N,
CAM001,CU00694,2023-06-03,Y,N,N,
CAM009,CU00415,2023-11-28,Y,Y,N,
CAM007,CU00745,2023-05-18,N,N,N,
CAM009,CU00128,2023-11-21,Y,Y,N,
CAM007,CU00311,2023-05-22,N,N,N,
CAM007,CU00348,2023-05-08,N,N,N,
CAM010,CU00718,2023-12-31,N,N,N,
CAM004,CU00337,2023-12-01,N,N,N,
CAM002,CU00519,2023-03-04,Y,N,N,
CAM002,CU00193,2023-03-11,Y,Y,N,
CAM004,CU00382,2023-12-17,N,N,N,
CAM008,CU00716,2023-10-01,N,N,N,
CAM007,CU00120,2023-05-15,N,N,N,
CAM003,CU00258,2023-10-01,Y,N,N,
CAM003,CU00300,2023-09-24,N,N,N,
CAM004,CU00263,2023-12-04,N,N,N,
CAM001,CU00459,2023-06-08,N,N,N,
CAM009,CU00253,2023-11-22,Y,N,N,
CAM010,CU00443,2024-01-02,Y,N,N,
CAM005,CU00088,2024-03-27,Y,Y,N,
CAM002,CU00231,2023-03-02,Y,N,N,
CAM004,CU00530,2023-12-25,N,N,N,
CAM004,CU00548,2023-12-14,Y,Y,N,
CAM004,CU00783,2023-12-01,N,N,N,
CAM007,CU00193,2023-05-21,Y,N,N,
CAM003,CU00486,2023-09-17,N,N,N,
CAM010,CU00645,2023-12-23,Y,N,N,
CAM003,CU00292,2023-09-21,N,N,N,
CAM006,CU00374,2023-08-14,Y,N,N,
CAM001,CU00516,2023-06-16,N,N,N,
CAM005,CU00127,2024-03-22,N,N,N,
CAM001,CU00157,2023-06-10,N,N,N,
CAM004,CU00720,2023-12-08,N,N,N,
CAM003,CU00622,2023-09-18,Y,Y,N,
CAM001,CU00731,2023-06-25,N,N,N,
CAM009,CU00735,2023-11-27,N,N,N,
CAM002,CU00105,2023-03-30,Y,N,N,
CAM004,CU00281,2023-12-13,N,N,N,
CAM010,CU00173,2024-01-03,N,N,N,
CAM004,CU00447,2023-12-19,N,N,N,
CAM001,CU00773,2023-06-04,N,N,N,
CAM003,CU00606,2023-09-23,N,N,N,
CAM007,CU00056,2023-05-14,Y,N,N,
CAM002,CU00532,2023-03-07,Y,N,N,
CAM001,CU00763,2023-06-25,Y,N,N,
CAM003,CU00330,2023-09-26,N,N,N,
CAM006,CU00798,2023-07-19,Y,Y,N,
CAM009,CU00058,2023-11-27,N,N,N,
CAM001,CU00418,2023-06-15,Y,Y,N,
CAM007,CU00169,2023-05-18,N,N,N,
CAM004,CU00344,2023-12-11,N,N,N,
CAM003,CU00521,2023-09-16,Y,Y,N,
CAM004,CU00492,2023-12-12,N,N,N,
CAM001,CU00070,2023-06-23,Y,N,N,
CAM009,CU00017,2023-11-27,N,N,N,
CAM003,CU00714,2023-09-22,N,N,N,
CAM005,CU00292,2024-03-04,Y,N,N,
CAM002,CU00022,2023-03-02,N,N,N,
CAM010,CU00190,2023-12-20,N,N,N,
CAM003,CU00136,2023-09-27,N,N,N,
CAM010,CU00576,2023-12-31,Y,Y,N,
CAM007,CU00270,2023-05-04,N,N,N,
CAM010,CU00455,2023-12-21,N,N,N,
CAM009,CU00013,2023-11-24,Y,N,N,
CAM010,CU00599,2023-12-28,Y,N,N,
CAM003,CU00474,2023-09-28,N,N,N,
CAM001,CU00680,2023-06-26,Y,Y,N,
CAM009,CU00646,2023-11-27,N,N,N,
CAM007,CU00070,2023-05-20,N,N,N,
CAM007,CU00050,2023-05-02,N,N,N,
CAM007,CU00512,2023-05-04,Y,Y,N,
CAM010,CU00240,2023-12-24,N,N,N,
CAM005,CU00292,2024-03-04,Y,N,N,
CAM006,CU00259,2023-07-24,N,N,N,
CAM004,CU00452,2023-12-10,Y,N,N,
CAM003,CU00514,2023-09-22,Y,Y,N,
CAM004,CU00728,2023-12-16,Y,N,N,
CAM001,CU00627,2023-06-20,Y,N,N,
CAM003,CU00109,2023-09-18,Y,Y,Y,43300.0
CAM007,CU00670,2023-05-07,N,N,N,
CAM009,CU00567,2023-11-23,N,N,N,
CAM008,CU00800,2023-10-29,N,N,N,
CAM007,CU00643,2023-05-04,Y,N,N,
CAM002,CU00701,2023-03-28,N,N,N,
CAM008,CU00529,2023-10-29,Y,N,N,
CAM001,CU00177,2023-06-04,N,N,N,
CAM006,CU00705,2023-08-04,Y,Y,N,
CAM008,CU00285,2023-10-30,Y,N,N,
CAM003,CU00158,2023-09-30,Y,Y,N,
CAM010,CU00130,2023-12-28,N,N,N,
CAM007,CU00001,2023-05-23,Y,N,N,
CAM005,CU00502,2024-03-21,Y,Y,N,
CAM007,CU00452,2023-05-18,N,N,N,
CAM002,CU00012,2023-03-29,Y,N,N,
CAM009,CU00621,2023-11-22,Y,N,N,
CAM005,CU00532,2024-03-16,N,N,N,
CAM003,CU00664,2023-09-19,Y,N,N,
CAM007,CU00532,2023-05-22,N,N,N,
CAM007,CU00073,2023-05-26,Y,Y,N,
CAM005,CU00224,2024-03-14,N,N,N,
CAM004,CU00105,2023-12-16,N,N,N,
CAM008,CU00704,2023-10-03,N,N,N,
CAM008,CU00334,2023-10-04,N,N,N,
CAM006,CU00344,2023-07-19,N,N,N,
CAM002,CU00406,2023-03-29,Y,N,N,
CAM010,CU00334,2023-12-31,Y,Y,N,
CAM002,CU00011,2023-03-10,Y,N,N,
CAM001,CU00749,2023-06-11,Y,N,N,
CAM001,CU00071,2023-06-10,N,N,N,
CAM002,CU00312,2023-03-25,Y,Y,N,
CAM009,CU00429,2023-11-29,Y,N,N,
CAM007,CU00522,2023-05-22,N,N,N,
CAM007,CU00315,2023-05-29,N,N,N,
CAM004,CU00390,2023-12-14,N,N,N,
CAM007,CU00496,2023-05-13,Y,Y,N,
CAM010,CU00027,2023-12-31,Y,N,N,
CAM005,CU00758,2024-03-24,N,N,N,
CAM008,CU00121,2023-10-29,N,N,N,
CAM007,CU00463,2023-05-26,N,N,N,
CAM001,CU00203,2023-06-09,N,N,N,
CAM007,CU00546,2023-05-13,N,N,N,
CAM006,CU00208,2023-08-11,N,N,N,
CAM010,CU00416,2023-12-23,N,N,N,
CAM002,CU00608,2023-03-15,N,N,N,
CAM002,CU00423,2023-03-20,N,N,N,
CAM004,CU00502,2023-12-13,N,N,N,
CAM007,CU00324,2023-05-04,N,N,N,
CAM005,CU00405,2024-03-02,N,N,N,
CAM004,CU00542,2023-12-11,Y,Y,N,
CAM004,CU00124,2023-12-01,N,N,N,
CAM005,CU00537,2024-03-21,N,N,N,
CAM002,CU00590,2023-03-30,N,N,N,
CAM001,CU00139,2023-06-19,N,N,N,
CAM005,CU00250,2024-03-21,Y,N,N,
CAM001,CU00429,2023-06-09,Y,N,N,
CAM004,CU00564,2023-12-20,Y,N,N,
CAM010,CU00742,2023-12-22,Y,N,N,
CAM005,CU00069,2024-03-28,Y,N,N,
CAM009,CU00407,2023-11-28,N,N,N,
CAM005,CU00399,2024-03-14,N,N,N,
CAM007,CU00747,2023-05-02,N,N,N,
CAM002,CU00079,2023-03-25,N,N,N,
