고객ID,연월,이용횟수,이용시간(분)
CU00023,2023-02,21.0,286.0
CU00023,2023-03,11.0,364.0
CU00023,2023-04,16.0,355.0
CU00023,2023-05,18.0,518.0
CU00023,2023-06,,241.0
CU00023,2023-07,11.0,158.0
CU00023,2023-08,14.0,465.0
CU00023,2023-09,15.0,387.0
CU00023,2023-11,6.0,226.0
CU00023,2023-12,15.0,520.0
CU00024,2023-10,19.0,722.0
CU00024,2023-11,17.0,634.0
CU00024,2023-12,23.0,546.0
CU00025,2023-01,9.0,100.0
CU00025,2023-02,19.0,596.0
CU00025,2023-03,,292.0
CU00025,2023-04,16.0,179.0
CU00025,2023-05,16.0,356.0
CU00025,2023-06,13.0,357.0
CU00025,2023-07,13.0,384.0
CU00025,2023-08,19.0,493.0
CU00025,2023-10,12.0,452.0
CU00025,2023-12,19.0,221.0
CU00027,2023-01,9.0,271.0
CU00027,2023-02,14.0,418.0
CU00027,2023-03,15.0,170.0
CU00027,2023-04,17.0,330.0
CU00027,2023-05,16.0,561.0
CU00027,2023-06,15.0,249.0
CU00027,2023-07,15.0,497.0
CU00027,2023-08,14.0,247.0
CU00027,2023-09,7.0,71.0
CU00027,2023-10,15.0,525.0
CU00027,2023-11,13.0,134.0
CU00027,2023-12,12.0,176.0
CU00028,2023-11,17.0,568.0
CU00028,2023-12,13.0,313.0
CU00030,2023-01,15.0,498.0
CU00030,2023-02,,651.0
CU00030,2023-03,26.0,
CU00030,2023-04,9.0,154.0
CU00030,2023-05,10.0,152.0
CU00030,2023-06,14.0,286.0
CU00030,2023-07,13.0,240.0
CU00030,2023-08,10.0,190.0
CU00030,2023-09,16.0,585.0
CU00030,2023-10,17.0,536.0
CU00030,2023-11,12.0,385.0
CU00030,2023-12,17.0,409.0
CU00031,2023-01,21.0,413.0
CU00031,2023-02,17.0,544.0
CU00031,2023-03,12.0,270.0
CU00031,2023-04,15.0,195.0
CU00031,2023-05,17.0,504.0
CU00031,2023-06,15.0,323.0
CU00031,2023-07,15.0,455.0
CU00031,2023-08,18.0,698.0
CU00031,2023-09,9.0,281.0
CU00031,2023-10,20.0,265.0
CU00031,2023-12,13.0,204.0
CU00032,2023-01,22.0,701.0
CU00032,2023-02,12.0,467.0
CU00032,2023-03,19.0,331.0
CU00032,2023-04,14.0,157.0
CU00032,2023-05,6.0,232.0
CU00032,2023-06,15.0,307.0
CU00032,2023-07,13.0,173.0
CU00032,2023-08,15.0,297.0
CU00032,2023-09,23.0,455.0
CU00032,2023-10,15.0,260.0
CU00032,2023-11,25.0,615.0
CU00032,2023-12,10.0,123.0
CU00034,2023-01,4.0,77.0
CU00034,2023-02,3.0,53.0
CU00034,2023-03,3.0,65.0
CU00035,2023-06,14.0,220.0
CU00035,2023-07,15.0,572.0
CU00035,2023-09,14.0,201.0
CU00035,2023-10,11.0,201.0
CU00035,2023-11,18.0,335.0
CU00036,2023-01,5.0,
CU00036,2023-02,4.0,128.0
CU00036,2023-04,4.0,72.0
CU00036,2023-05,2.0,80.0
CU00036,2023-06,4.0,136.0
CU00036,2023-07,3.0,54.0
CU00036,2023-08,4.0,115.0
CU00036,2023-09,4.0,152.0
CU00037,2023-06,11.0,356.0
CU00037,2023-07,11.0,154.0
CU00037,2023-08,11.0,268.0
CU00037,2023-09,9.0,211.0
CU00037,2023-10,16.0,630.0
CU00037,2023-11,14.0,450.0
CU00037,2023-12,17.0,468.0
CU00038,2023-01,18.0,436.0
CU00038,2023-02,12.0,152.0
CU00038,2023-03,14.0,391.0
CU00038,2023-04,19.0,479.0
CU00038,2023-05,15.0,322.0
CU00038,2023-06,12.0,273.0
CU00038,2023-07,9.0,250.0
CU00038,2023-08,13.0,166.0
CU00038,2023-09,15.0,533.0
CU00038,2023-10,18.0,551.0
CU00038,2023-11,11.0,212.0
CU00038,2023-12,13.0,400.0
CU00039,2023-04,7.0,214.0
CU00039,2023-05,4.0,53.0
CU00039,2023-07,4.0,60.0
CU00039,2023-08,3.0,109.0
CU00039,2023-09,2.0,83.0
CU00039,2023-10,2.0,62.0
CU00039,2023-11,3.0,88.0
CU00039,2023-12,2.0,43.0
CU00041,2023-03,14.0,137.0
CU00041,2023-04,11.0,126.0
CU00041,2023-05,18.0,572.0
CU00041,2023-06,21.0,428.0
CU00041,2023-07,22.0,801.0
CU00041,2023-08,14.0,517.0
CU00041,2023-09,11.0,295.0
CU00041,2023-10,13.0,467.0
CU00041,2023-11,9.0,218.0
CU00041,2023-12,18.0,560.0
CU00042,2023-09,6.0,139.0
CU00042,2023-10,6.0,149.0
CU00042,2023-11,5.0,153.0
CU00042,2023-12,5.0,132.0
CU00043,2023-01,13.0,317.0
CU00043,2023-02,13.0,193.0
CU00043,2023-03,15.0,165.0
CU00043,2023-04,15.0,
CU00043,2023-05,13.0,509.0
CU00043,2023-06,12.0,379.0
CU00043,2023-07,16.0,561.0
CU00043,2023-08,20.0,572.0
CU00043,2023-09,16.0,327.0
CU00043,2023-10,16.0,232.0
CU00043,2023-11,13.0,311.0
CU00043,2023-12,14.0,148.0
CU00044,2023-10,14.0,516.0
CU00044,2023-12,8.0,228.0
CU00045,2023-02,8.0,296.0
CU00045,2023-03,3.0,111.0
CU00045,2023-04,8.0,201.0
CU00045,2023-05,11.0,354.0
CU00045,2023-07,6.0,102.0
CU00045,2023-08,3.0,24.0
CU00045,2023-09,2.0,66.0
CU00045,2023-10,4.0,31.0
CU00045,2023-11,2.0,40.0
CU00045,2023-12,7.0,143.0
CU00046,2023-01,11.0,404.0
CU00046,2023-02,14.0,
CU00046,2023-03,15.0,424.0
CU00046,2023-04,9.0,346.0
CU00046,2023-05,13.0,375.0
CU00046,2023-06,15.0,169.0
CU00046,2023-07,13.0,466.0
CU00046,2023-08,12.0,471.0
CU00046,2023-09,15.0,153.0
CU00046,2023-10,16.0,
CU00046,2023-11,14.0,197.0
CU00046,2023-12,16.0,294.0
CU00047,2023-01,10.0,278.0
CU00047,2023-02,10.0,120.0
CU00047,2023-03,8.0,245.0
CU00047,2023-04,15.0,189.0
CU00047,2023-05,19.0,480.0
CU00047,2023-06,14.0,388.0
CU00047,2023-07,19.0,685.0
CU00047,2023-08,18.0,231.0
CU00047,2023-09,13.0,232.0
CU00047,2023-10,20.0,632.0
CU00047,2023-11,12.0,151.0
CU00047,2023-12,8.0,78.0
CU00048,2023-10,14.0,531.0
CU00048,2023-11,15.0,400.0
CU00048,2023-12,11.0,162.0
CU00049,2023-01,13.0,363.0
CU00049,2023-02,16.0,223.0
CU00049,2023-03,12.0,165.0
CU00049,2023-05,14.0,402.0
CU00049,2023-06,18.0,452.0
CU00049,2023-07,18.0,303.0
CU00049,2023-08,16.0,623.0
CU00049,2023-09,16.0,343.0
CU00049,2023-10,13.0,177.0
CU00049,2023-11,17.0,514.0
CU00049,2023-12,12.0,267.0
CU00050,2023-01,16.0,313.0
CU00050,2023-02,,
CU00050,2023-03,17.0,380.0
CU00050,2023-04,10.0,253.0
CU00050,2023-05,12.0,282.0
CU00050,2023-06,16.0,228.0
CU00050,2023-07,13.0,289.0
CU00050,2023-08,13.0,430.0
CU00050,2023-09,14.0,231.0
CU00050,2023-10,15.0,557.0
CU00050,2023-11,15.0,452.0
CU00050,2023-12,16.0,225.0
CU00051,2023-01,14.0,367.0
CU00051,2023-02,16.0,649.0
CU00051,2023-03,12.0,445.0
CU00051,2023-04,12.0,370.0
CU00051,2023-05,14.0,320.0
CU00051,2023-06,20.0,750.0
CU00051,2023-07,13.0,241.0
CU00051,2023-08,19.0,494.0
CU00051,2023-09,,268.0
CU00051,2023-10,16.0,531.0
CU00051,2023-11,21.0,713.0
CU00051,2023-12,19.0,521.0
CU00052,2023-08,14.0,178.0
CU00052,2023-09,6.0,179.0
CU00052,2023-10,23.0,818.0
CU00052,2023-11,10.0,120.0
CU00052,2023-12,20.0,411.0
CU00053,2023-01,18.0,656.0
CU00053,2023-02,11.0,392.0
CU00053,2023-03,18.0,632.0
CU00053,2023-04,12.0,322.0
CU00053,2023-05,16.0,372.0
CU00053,2023-06,15.0,292.0
CU00053,2023-07,18.0,479.0
CU00053,2023-08,11.0,159.0
CU00053,2023-09,16.0,241.0
CU00053,2023-10,14.0,195.0
CU00053,2023-11,18.0,368.0
CU00053,2023-12,9.0,354.0
CU00054,2023-01,13.0,460.0
CU00054,2023-02,18.0,334.0
CU00054,2023-03,19.0,618.0
CU00054,2023-04,,451.0
CU00054,2023-05,4.0,80.0
CU00054,2023-06,17.0,636.0
CU00054,2023-07,15.0,223.0
CU00054,2023-08,16.0,296.0
CU00054,2023-09,19.0,431.0
CU00054,2023-10,15.0,313.0
CU00054,2023-11,13.0,161.0
CU00054,2023-12,17.0,547.0
CU00056,2023-01,15.0,190.0
CU00056,2023-02,19.0,431.0
CU00056,2023-03,11.0,293.0
CU00056,2023-04,14.0,291.0
CU00056,2023-05,10.0,198.0
CU00056,2023-06,15.0,444.0
CU00056,2023-07,8.0,138.0
CU00056,2023-08,12.0,220.0
CU00056,2023-09,10.0,181.0
CU00056,2023-10,23.0,228.0
CU00056,2023-11,14.0,191.0
CU00056,2023-12,19.0,712.0
CU00057,2023-01,11.0,213.0
CU00057,2023-02,14.0,536.0
CU00057,2023-03,22.0,302.0
CU00057,2023-04,18.0,470.0
CU00057,2023-05,19.0,232.0
CU00057,2023-06,16.0,487.0
CU00057,2023-07,17.0,418.0
CU00057,2023-08,14.0,331.0
CU00057,2023-09,13.0,360.0
CU00057,2023-10,17.0,251.0
CU00057,2023-11,22.0,377.0
CU00057,2023-12,16.0,253.0
CU00058,2023-01,22.0,291.0
CU00058,2023-02,12.0,258.0
CU00058,2023-03,17.0,183.0
CU00058,2023-04,20.0,701.0
CU00058,2023-05,13.0,386.0
CU00058,2023-06,17.0,535.0
CU00058,2023-07,16.0,331.0
CU00058,2023-08,14.0,447.0
CU00058,2023-09,24.0,797.0
CU00058,2023-10,17.0,335.0
CU00058,2023-11,18.0,592.0
CU00058,2023-12,21.0,471.0
CU00059,2023-09,12.0,
CU00059,2023-10,16.0,385.0
CU00059,2023-12,15.0,183.0
CU00060,2023-01,18.0,385.0
CU00060,2023-02,13.0,312.0
CU00060,2023-03,11.0,96.0
CU00060,2023-04,9.0,165.0
CU00060,2023-05,22.0,365.0
CU00060,2023-06,16.0,595.0
CU00060,2023-07,10.0,264.0
CU00060,2023-08,28.0,1086.0
CU00060,2023-09,14.0,557.0
CU00060,2023-10,14.0,258.0
CU00060,2023-11,21.0,283.0
CU00060,2023-12,7.0,191.0
CU00061,2023-04,13.0,448.0
CU00061,2023-05,23.0,710.0
CU00061,2023-06,14.0,519.0
CU00061,2023-07,13.0,492.0
CU00061,2023-08,16.0,612.0
CU00061,2023-09,16.0,304.0
CU00061,2023-10,15.0,602.0
CU00061,2023-11,16.0,548.0
CU00061,2023-12,16.0,625.0
CU00062,2023-01,17.0,276.0
CU00062,2023-02,11.0,224.0
CU00062,2023-03,12.0,333.0
CU00062,2023-04,11.0,119.0
CU00062,2023-05,12.0,392.0
CU00062,2023-06,20.0,630.0
CU00062,2023-07,12.0,108.0
CU00062,2023-08,15.0,484.0
CU00062,2023-09,14.0,463.0
CU00062,2023-10,13.0,215.0
CU00062,2023-11,21.0,297.0
CU00062,2023-12,11.0,328.0
CU00063,2023-01,12.0,158.0
CU00063,2023-02,19.0,575.0
CU00063,2023-03,14.0,202.0
CU00063,2023-04,8.0,180.0
CU00063,2023-05,10.0,184.0
CU00063,2023-06,15.0,276.0
CU00063,2023-07,9.0,137.0
CU00063,2023-08,18.0,621.0
CU00063,2023-09,,296.0
CU00063,2023-10,14.0,269.0
CU00063,2023-11,21.0,472.0
CU00063,2023-12,14.0,544.0
CU00064,2023-01,10.0,395.0
CU00064,2023-02,9.0,157.0
CU00064,2023-03,13.0,415.0
CU00064,2023-04,14.0,204.0
CU00064,2023-05,15.0,
CU00064,2023-06,6.0,150.0
CU00064,2023-07,12.0,437.0
CU00064,2023-08,17.0,523.0
CU00064,2023-11,12.0,383.0
CU00064,2023-12,14.0,184.0
CU00065,2023-01,14.0,354.0
CU00065,2023-02,6.0,155.0
CU00065,2023-03,22.0,300.0
CU00065,2023-04,18.0,574.0
CU00065,2023-05,17.0,626.0
CU00065,2023-06,13.0,404.0
CU00065,2023-07,11.0,338.0
CU00065,2023-08,13.0,272.0
CU00065,2023-09,14.0,425.0
CU00065,2023-10,18.0,542.0
CU00065,2023-12,9.0,119.0
CU00066,2023-01,4.0,84.0
CU00066,2023-03,7.0,75.0
CU00066,2023-04,11.0,265.0
CU00066,2023-05,6.0,41.0
CU00066,2023-06,4.0,89.0
CU00066,2023-07,5.0,61.0
CU00066,2023-08,0.0,0.0
CU00066,2023-09,5.0,57.0
CU00066,2023-10,5.0,98.0
CU00066,2023-11,3.0,69.0
CU00066,2023-12,4.0,67.0
CU00067,2023-09,10.0,149.0
CU00067,2023-10,15.0,182.0
CU00067,2023-11,13.0,466.0
CU00067,2023-12,10.0,356.0
CU00068,2023-06,2.0,72.0
CU00068,2023-07,2.0,3.0
CU00068,2023-08,2.0,52.0
CU00069,2023-01,21.0,288.0
CU00069,2023-02,16.0,564.0
CU00069,2023-03,13.0,371.0
CU00069,2023-04,16.0,561.0
CU00069,2023-05,12.0,288.0
CU00069,2023-06,14.0,326.0
CU00069,2023-07,12.0,154.0
CU00069,2023-08,18.0,265.0
CU00069,2023-09,17.0,438.0
CU00069,2023-10,16.0,418.0
CU00069,2023-12,13.0,158.0
CU00070,2023-01,18.0,409.0
CU00070,2023-02,19.0,684.0
CU00070,2023-03,15.0,163.0
CU00070,2023-04,13.0,468.0
CU00070,2023-05,16.0,474.0
CU00070,2023-06,14.0,363.0
CU00070,2023-07,19.0,592.0
CU00070,2023-08,18.0,236.0
CU00070,2023-09,16.0,175.0
CU00070,2023-10,18.0,422.0
CU00070,2023-12,19.0,242.0
CU00071,2023-01,6.0,211.0
CU00071,2023-02,4.0,40.0
CU00071,2023-03,3.0,72.0
CU00071,2023-04,1.0,19.0
CU00071,2023-06,5.0,51.0
CU00071,2023-07,3.0,110.0
CU00072,2023-12,17.0,457.0
CU00073,2023-01,19.0,430.0
CU00073,2023-02,18.0,319.0
CU00073,2023-03,12.0,238.0
CU00073,2023-04,13.0,152.0
CU00073,2023-05,24.0,961.0
CU00073,2023-06,20.0,287.0
CU00073,2023-08,13.0,318.0
CU00073,2023-09,18.0,229.0
CU00073,2023-10,16.0,475.0
CU00073,2023-11,20.0,512.0
CU00073,2023-12,14.0,178.0
CU00074,2023-01,13.0,242.0
CU00074,2023-02,14.0,500.0
CU00074,2023-03,10.0,166.0
CU00074,2023-04,20.0,715.0
CU00074,2023-05,11.0,248.0
CU00074,2023-06,20.0,379.0
CU00074,2023-07,15.0,341.0
CU00074,2023-08,13.0,393.0
CU00074,2023-09,13.0,379.0
CU00074,2023-10,,241.0
CU00074,2023-11,18.0,517.0
CU00074,2023-12,9.0,332.0
CU00075,2023-01,8.0,285.0
CU00075,2023-02,6.0,188.0
CU00075,2023-04,9.0,320.0
CU00075,2023-05,8.0,98.0
CU00075,2023-06,3.0,116.0
CU00075,2023-07,5.0,162.0
CU00075,2023-08,4.0,124.0
CU00075,2023-09,9.0,220.0
CU00075,2023-10,4.0,130.0
CU00075,2023-11,2.0,35.0
CU00075,2023-12,6.0,131.0
CU00076,2023-09,18.0,670.0
CU00076,2023-10,21.0,359.0
CU00076,2023-11,17.0,647.0
CU00076,2023-12,11.0,215.0
CU00077,2023-01,7.0,
CU00077,2023-02,6.0,211.0
CU00077,2023-03,7.0,256.0
CU00077,2023-04,3.0,113.0
CU00077,2023-05,5.0,84.0
CU00077,2023-06,10.0,289.0
CU00077,2023-08,5.0,179.0
CU00077,2023-09,6.0,145.0
CU00077,2023-10,5.0,52.0
CU00077,2023-11,5.0,67.0
CU00077,2023-12,3.0,89.0
CU00079,2023-01,12.0,138.0
CU00079,2023-02,17.0,261.0
CU00079,2023-03,14.0,368.0
CU00079,2023-04,20.0,204.0
CU00079,2023-05,18.0,434.0
CU00079,2023-06,8.0,156.0
CU00079,2023-07,20.0,711.0
CU00079,2023-08,16.0,394.0
CU00079,2023-09,15.0,584.0
CU00079,2023-10,14.0,482.0
CU00079,2023-11,14.0,328.0
CU00079,2023-12,14.0,176.0
CU00080,2023-03,13.0,375.0
CU00080,2023-04,18.0,663.0
CU00080,2023-05,13.0,441.0
CU00080,2023-06,11.0,122.0
CU00080,2023-07,18.0,410.0
CU00080,2023-08,17.0,536.0
CU00080,2023-09,20.0,406.0
CU00080,2023-10,8.0,282.0
CU00080,2023-11,12.0,170.0
CU00080,2023-12,6.0,170.0
CU00081,2023-03,,
CU00081,2023-04,12.0,331.0
CU00081,2023-05,12.0,196.0
CU00081,2023-06,19.0,421.0
CU00081,2023-07,14.0,377.0
CU00081,2023-08,21.0,706.0
CU00081,2023-09,24.0,354.0
CU00081,2023-10,17.0,636.0
CU00081,2023-11,22.0,324.0
CU00081,2023-12,14.0,539.0
CU00082,2023-01,13.0,246.0
CU00082,2023-02,15.0,477.0
CU00082,2023-03,14.0,470.0
CU00082,2023-04,25.0,884.0
CU00082,2023-05,15.0,331.0
CU00082,2023-06,11.0,212.0
CU00082,2023-07,15.0,307.0
CU00082,2023-08,13.0,249.0
CU00082,2023-09,18.0,418.0
CU00082,2023-10,14.0,425.0
CU00082,2023-11,16.0,407.0
CU00082,2023-12,12.0,192.0
CU00084,2023-01,6.0,131.0
CU00084,2023-02,2.0,41.0
CU00084,2023-03,2.0,53.0
CU00085,2023-07,6.0,95.0
CU00085,2023-08,16.0,190.0
CU00085,2023-09,14.0,387.0
CU00085,2023-10,16.0,586.0
CU00085,2023-11,18.0,677.0
CU00085,2023-12,21.0,572.0
CU00086,2023-01,13.0,383.0
CU00086,2023-02,13.0,488.0
CU00086,2023-03,18.0,422.0
CU00086,2023-04,12.0,322.0
CU00086,2023-05,12.0,416.0
CU00086,2023-06,12.0,210.0
CU00086,2023-07,19.0,411.0
CU00086,2023-08,15.0,610.0
CU00086,2023-09,15.0,318.0
CU00086,2023-10,14.0,536.0
CU00086,2023-11,12.0,400.0
CU00086,2023-12,16.0,238.0
CU00087,2023-08,14.0,542.0
CU00087,2023-09,21.0,599.0
CU00087,2023-10,14.0,
CU00087,2023-11,14.0,266.0
CU00087,2023-12,19.0,238.0
CU00091,2023-03,18.0,482.0
CU00091,2023-04,14.0,302.0
CU00091,2023-05,15.0,304.0
CU00091,2023-06,20.0,495.0
CU00091,2023-07,14.0,206.0
CU00091,2023-08,15.0,407.0
CU00091,2023-09,19.0,313.0
CU00091,2023-10,13.0,259.0
CU00091,2023-11,10.0,245.0
CU00091,2023-12,,367.0
CU00092,2023-01,15.0,218.0
CU00092,2023-02,19.0,569.0
CU00092,2023-03,17.0,632.0
CU00092,2023-04,23.0,552.0
CU00092,2023-05,22.0,711.0
CU00092,2023-06,20.0,647.0
CU00092,2023-07,14.0,393.0
CU00092,2023-08,23.0,372.0
CU00092,2023-09,19.0,319.0
CU00092,2023-10,17.0,612.0
CU00092,2023-11,21.0,637.0
CU00092,2023-12,18.0,565.0
CU00093,2023-01,23.0,314.0
CU00093,2023-02,18.0,593.0
CU00093,2023-03,22.0,357.0
CU00093,2023-04,12.0,338.0
CU00093,2023-05,25.0,487.0
CU00093,2023-06,18.0,383.0
CU00093,2023-07,20.0,692.0
CU00093,2023-08,11.0,378.0
CU00093,2023-09,13.0,423.0
CU00093,2023-10,16.0,305.0
CU00093,2023-11,12.0,152.0
CU00093,2023-12,13.0,296.0
CU00094,2023-01,15.0,168.0
CU00094,2023-02,13.0,408.0
CU00094,2023-03,12.0,230.0
CU00094,2023-04,10.0,264.0
CU00094,2023-05,10.0,240.0
CU00094,2023-06,16.0,230.0
CU00094,2023-07,14.0,277.0
CU00094,2023-09,9.0,270.0
CU00094,2023-10,6.0,126.0
CU00094,2023-11,27.0,738.0
CU00094,2023-12,12.0,177.0
CU00095,2023-01,2.0,78.0
CU00095,2023-02,4.0,92.0
CU00095,2023-03,4.0,148.0
CU00095,2023-04,6.0,98.0
CU00095,2023-05,4.0,
CU00095,2023-06,2.0,36.0
CU00095,2023-07,2.0,38.0
CU00095,2023-08,2.0,19.0
CU00095,2023-09,4.0,111.0
CU00096,2023-11,21.0,297.0
CU00096,2023-12,12.0,301.0
CU00098,2023-01,5.0,150.0
CU00098,2023-02,6.0,124.0
CU00098,2023-03,3.0,81.0
CU00098,2023-04,2.0,76.0
CU00098,2023-05,3.0,
CU00098,2023-06,4.0,117.0
CU00098,2023-07,2.0,30.0
CU00098,2023-08,3.0,31.0
CU00099,2023-01,15.0,557.0
CU00099,2023-02,10.0,394.0
CU00099,2023-03,12.0,472.0
CU00099,2023-04,13.0,248.0
CU00099,2023-05,20.0,590.0
CU00099,2023-06,11.0,198.0
CU00099,2023-07,17.0,350.0
CU00099,2023-08,17.0,491.0
CU00099,2023-09,13.0,511.0
CU00099,2023-10,15.0,406.0
CU00099,2023-11,17.0,671.0
CU00099,2023-12,19.0,632.0
CU00100,2023-10,2.0,27.0
CU00100,2023-11,5.0,118.0
CU00100,2023-12,4.0,117.0
CU00101,2023-01,13.0,121.0
CU00101,2023-02,18.0,204.0
CU00101,2023-03,21.0,404.0
CU00101,2023-04,19.0,402.0
CU00101,2023-05,20.0,313.0
CU00101,2023-07,21.0,478.0
CU00101,2023-08,15.0,391.0
CU00101,2023-09,20.0,284.0
CU00101,2023-10,21.0,440.0
CU00101,2023-11,12.0,164.0
CU00101,2023-12,13.0,398.0
CU00102,2023-01,12.0,307.0
CU00102,2023-02,19.0,533.0
CU00102,2023-03,13.0,325.0
CU00102,2023-04,8.0,129.0
CU00102,2023-05,18.0,671.0
CU00102,2023-06,16.0,327.0
CU00102,2023-07,11.0,413.0
CU00102,2023-08,22.0,712.0
CU00102,2023-09,8.0,301.0
CU00102,2023-10,17.0,238.0
CU00102,2023-11,15.0,406.0
CU00102,2023-12,11.0,247.0
CU00103,2023-04,10.0,203.0
CU00103,2023-05,15.0,576.0
CU00103,2023-06,15.0,320.0
CU00103,2023-07,15.0,390.0
CU00103,2023-08,8.0,60.0
CU00103,2023-09,9.0,216.0
CU00103,2023-10,24.0,392.0
CU00103,2023-11,10.0,185.0
CU00103,2023-12,20.0,570.0
CU00104,2023-04,15.0,319.0
CU00104,2023-05,14.0,403.0
CU00104,2023-06,21.0,455.0
CU00104,2023-07,17.0,304.0
CU00104,2023-08,13.0,194.0
CU00104,2023-09,13.0,505.0
CU00104,2023-10,11.0,325.0
CU00104,2023-11,16.0,453.0
CU00104,2023-12,14.0,158.0
CU00106,2023-07,16.0,545.0
CU00106,2023-08,17.0,431.0
CU00106,2023-09,19.0,764.0
CU00106,2023-10,15.0,492.0
CU00106,2023-11,13.0,176.0
CU00106,2023-12,12.0,276.0
CU00107,2023-01,16.0,254.0
CU00107,2023-02,13.0,301.0
CU00107,2023-03,12.0,436.0
CU00107,2023-04,19.0,411.0
CU00107,2023-05,11.0,179.0
CU00107,2023-06,,132.0
CU00107,2023-07,19.0,414.0
CU00107,2023-08,10.0,251.0
CU00107,2023-09,13.0,407.0
CU00107,2023-10,17.0,663.0
CU00107,2023-11,17.0,346.0
CU00107,2023-12,15.0,376.0
CU00108,2023-02,3.0,90.0
CU00108,2023-03,5.0,112.0
CU00108,2023-04,2.0,72.0
CU00108,2023-05,2.0,72.0
CU00108,2023-06,4.0,79.0
CU00110,2023-08,20.0,630.0
CU00110,2023-09,19.0,717.0
CU00110,2023-10,16.0,300.0
CU00110,2023-11,16.0,444.0
CU00110,2023-12,20.0,404.0
CU00111,2023-08,20.0,698.0
CU00111,2023-09,6.0,212.0
CU00111,2023-10,15.0,384.0
