구매ID,유저ID,상품ID,구매일,평점,구매금액
PU000085,U0003,P084,2024-10-10,1.0,25500
PU000086,U0003,P066,2024-03-31,5.0,13500
PU000087,U0003,P025,2024-10-24,4.0,121500
PU000088,U0003,P034,2024-02-17,,93600
PU000089,U0003,P091,2024-09-04,3.0,41700
PU000090,U0003,P046,2024-02-13,2.0,15900
PU000091,U0003,P080,2024-02-04,4.0,50500
PU000092,U0003,P028,2024-04-27,4.0,57300
PU000093,U0003,P088,2024-07-05,2.0,7200
PU000094,U0003,P069,2024-04-01,4.0,23500
PU000095,U0003,P082,2024-11-16,3.0,40900
PU000096,U0003,P085,2024-06-12,5.0,47700
PU000097,U0003,P018,2024-01-15,2.0,82100
PU000098,U0003,P057,2024-01-15,4.0,24200
PU000099,U0003,P020,2024-01-19,,201900
PU000100,U0004,P034,2024-12-27,5.0,97400
PU000101,U0004,P008,2024-01-13,2.0,261800
PU000102,U0004,P026,2024-06-19,,66100
PU000103,U0004,P049,2024-10-28,4.0,30500
PU000104,U0004,P036,2024-07-22,4.0,63800
PU000105,U0004,P026,2024-08-31,,61000
PU000106,U0004,P060,2024-10-01,1.0,28900
PU000107,U0004,P078,2024-11-25,1.0,18800
PU000108,U0004,P035,2024-01-01,4.0,90600
PU000109,U0004,P094,2024-08-04,4.0,41400
PU000110,U0004,P031,2024-02-26,4.0,27100
PU000111,U0004,P028,2024-08-14,4.0,53100
PU000112,U0004,P024,2024-03-22,4.0,106100
PU000113,U0004,P035,2024-04-26,4.0,93300
PU000114,U0004,P033,2024-06-19,4.0,95500
PU000115,U0004,P025,2024-07-03,5.0,131500
PU000116,U0004,P036,2024-08-06,,67300
PU000117,U0004,P037,2024-11-12,,85100
PU000118,U0004,P074,2024-09-16,5.0,51200
PU000119,U0004,P074,2024-07-16,3.0,52300
PU000120,U0004,P056,2024-09-25,,19100
PU000121,U0004,P036,2024-04-14,5.0,68700
PU000122,U0004,P095,2024-11-12,3.0,34100
PU000123,U0004,P043,2024-04-26,,16500
PU000124,U0004,P039,2024-08-04,5.0,178400
PU000125,U0004,P079,2024-10-04,3.0,16900
PU000126,U0004,P031,2024-03-06,,30300
PU000127,U0004,P024,2024-11-30,,122500
PU000128,U0004,P039,2024-03-24,5.0,150100
PU000129,U0004,P010,2024-11-28,5.0,137800
PU000130,U0004,P053,2024-09-24,5.0,31900
PU000131,U0004,P086,2024-11-08,5.0,52700
PU000132,U0004,P027,2024-06-06,5.0,80900
PU000133,U0004,P031,2024-07-25,4.0,28900
PU000134,U0004,P029,2024-10-21,5.0,62200
PU000135,U0004,P032,2024-02-10,5.0,73400
PU000136,U0004,P034,2024-09-14,5.0,81000
PU000137,U0004,P032,2024-04-19,4.0,81500
PU000138,U0004,P021,2024-06-26,3.0,106300
PU000139,U0004,P071,2024-11-25,4.0,15600
PU000140,U0004,P032,2024-01-30,4.0,85900
PU000141,U0004,P036,2024-01-26,5.0,71000
PU000142,U0004,P083,2024-11-06,,34400
PU000143,U0004,P038,2024-12-01,5.0,154800
PU000144,U0004,P039,2024-06-11,4.0,175400
PU000145,U0004,P041,2024-12-10,5.0,30300
PU000146,U0004,P021,2024-08-31,4.0,103100
PU000147,U0004,P006,2024-09-16,4.0,175900
PU000148,U0005,P056,2024-12-02,5.0,16200
PU000149,U0005,P095,2024-10-06,5.0,33500
PU000150,U0005,P074,2024-11-07,4.0,52200
PU000151,U0005,P081,2024-03-01,,24900
PU000152,U0005,P083,2024-10-13,4.0,32200
PU000153,U0005,P004,2024-05-12,3.0,217700
PU000154,U0005,P039,2024-11-07,3.0,156000
PU000155,U0005,P007,2024-06-09,5.0,330700
PU000156,U0005,P087,2024-09-29,5.0,21300
PU000157,U0005,P089,2024-03-21,5.0,20900
PU000158,U0005,P020,2024-05-14,3.0,185300
PU000159,U0005,P094,2024-04-19,4.0,51500
PU000160,U0005,P099,2024-02-29,4.0,18100
PU000161,U0005,P015,2024-03-05,3.0,145300
PU000162,U0005,P098,2024-04-17,,26500
PU000163,U0005,P047,2024-08-11,4.0,28000
PU000164,U0005,P052,2024-01-14,5.0,42500
PU000165,U0005,P094,2024-05-19,,41200
PU000166,U0005,P099,2024-03-21,3.0,20700
PU000167,U0005,P025,2024-05-14,,138500
PU000168,U0005,P051,2024-12-15,4.0,10100
PU000169,U0005,P099,2024-11-13,5.0,18600
PU000170,U0005,P041,2024-10-17,5.0,32200
PU000171,U0005,P084,2024-04-16,4.0,27200
PU000172,U0005,P040,2024-10-25,5.0,82700
PU000173,U0005,P060,2024-05-21,,24600
PU000174,U0005,P009,2024-01-02,2.0,158900
PU000175,U0005,P057,2024-04-18,,26200
PU000176,U0005,P059,2024-11-23,5.0,41100
PU000177,U0005,P009,2024-07-15,4.0,178600
PU000178,U0005,P098,2024-06-04,4.0,25900
PU000179,U0005,P051,2024-11-19,4.0,11500
PU000180,U0005,P046,2024-10-03,4.0,17500
PU000181,U0005,P055,2024-10-08,5.0,19700
PU000182,U0006,P062,2024-10-05,4.0,55400
PU000183,U0006,P093,2024-05-27,,26400
PU000184,U0006,P097,2024-08-23,4.0,12800
PU000185,U0006,P018,2024-04-04,4.0,84300
PU000186,U0006,P053,2024-11-04,1.0,30800
PU000187,U0006,P010,2024-09-11,,127800
PU000188,U0006,P010,2024-03-21,5.0,149200
PU000189,U0006,P010,2024-10-18,5.0,140100
PU000190,U0006,P005,2024-12-23,4.0,262300
PU000191,U0006,P089,2024-08-05,4.0,20000
PU000192,U0006,P099,2024-01-16,,17300
PU000193,U0006,P082,2024-02-23,5.0,48200
PU000194,U0006,P063,2024-12-23,5.0,60600
PU000195,U0006,P086,2024-11-15,,47700
PU000196,U0006,P100,2024-10-22,4.0,23300
PU000197,U0006,P006,2024-09-05,4.0,139500
PU000198,U0006,P022,2024-04-02,3.0,132000
PU000199,U0006,P004,2024-04-15,4.0,214400
PU000200,U0006,P022,2024-03-18,3.0,147400
PU000201,U0006,P092,2024-07-22,5.0,60200
PU000202,U0006,P092,2024-11-05,4.0,54600
PU000203,U0006,P082,2024-04-26,4.0,45400
PU000204,U0006,P030,2024-10-10,3.0,108900
PU000205,U0006,P039,2024-05-30,4.0,195500
PU000206,U0006,P031,2024-04-27,1.0,27400
PU000207,U0006,P018,2024-09-22,4.0,82600
PU000208,U0006,P007,2024-08-24,5.0,387900
PU000209,U0006,P008,2024-09-02,4.0,229900
PU000210,U0006,P005,2024-04-04,5.0,240300
PU000211,U0006,P082,2024-06-15,4.0,38100
PU000212,U0006,P084,2024-02-13,5.0,28800
PU000213,U0007,P071,2024-01-20,4.0,17000
PU000214,U0007,P052,2024-05-24,,37100
PU000215,U0007,P087,2024-05-15,4.0,22700
PU000216,U0007,P062,2024-09-08,2.0,49500
PU000217,U0007,P083,2024-06-22,4.0,32000
PU000218,U0007,P095,2024-01-06,3.0,35900
PU000219,U0007,P072,2024-10-14,4.0,61300
PU000220,U0007,P036,2024-11-23,4.0,54800
PU000221,U0007,P099,2024-11-20,4.0,17600
PU000222,U0007,P082,2024-03-02,4.0,42600
PU000223,U0007,P084,2024-01-17,5.0,28400
PU000224,U0007,P096,2024-04-22,4.0,44100
PU000225,U0007,P084,2024-10-28,3.0,22800
PU000226,U0007,P083,2024-02-11,4.0,32700
PU000227,U0007,P098,2024-09-13,4.0,28800
PU000228,U0007,P085,2024-10-10,,53200
PU000229,U0007,P095,2024-09-06,,40800
PU000230,U0007,P097,2024-12-16,4.0,11800
PU000231,U0008,P035,2024-12-23,3.0,93000
PU000232,U0008,P093,2024-12-20,3.0,24600
PU000233,U0008,P030,2024-11-02,4.0,128300
PU000234,U0008,P032,2024-10-05,4.0,86400
PU000235,U0008,P070,2024-11-26,3.0,45300
PU000236,U0008,P066,2024-12-20,5.0,13500
PU000237,U0008,P036,2024-09-23,4.0,56100
PU000238,U0008,P040,2024-10-31,5.0,102500
PU000239,U0008,P020,2024-12-16,5.0,212300
PU000240,U0008,P006,2024-03-21,3.0,179600
PU000241,U0008,P010,2024-06-28,4.0,131700
PU000242,U0008,P005,2024-09-19,2.0,289900
PU000243,U0008,P026,2024-03-12,4.0,73500
PU000244,U0008,P003,2024-04-25,,92400
PU000245,U0008,P025,2024-03-18,,141000
PU000246,U0008,P082,2024-12-09,3.0,46600
PU000247,U0008,P024,2024-03-12,4.0,111600
PU000248,U0008,P030,2024-03-26,5.0,111000
PU000249,U0008,P032,2024-02-20,4.0,76900
PU000250,U0008,P099,2024-10-31,,15800
PU000251,U0008,P039,2024-02-09,5.0,180200
PU000252,U0008,P029,2024-03-06,4.0,70000
PU000253,U0008,P030,2024-07-30,4.0,120600
PU000254,U0008,P040,2024-12-24,,85500
PU000255,U0008,P032,2024-11-15,5.0,81300
PU000256,U0008,P008,2024-06-20,3.0,230100
PU000257,U0008,P022,2024-12-29,4.0,166100
PU000258,U0008,P036,2024-06-11,5.0,60700
PU000259,U0008,P038,2024-05-19,5.0,152300
PU000260,U0008,P036,2024-09-17,4.0,58100
PU000261,U0009,P065,2024-08-22,4.0,62400
PU000262,U0009,P027,2024-03-22,3.0,81000
PU000263,U0009,P095,2024-01-31,4.0,32800
PU000264,U0009,P097,2024-03-15,4.0,13200
PU000265,U0009,P092,2024-09-17,5.0,55600
PU000266,U0009,P058,2024-10-04,3.0,39700
PU000267,U0009,P100,2024-08-02,4.0,20900
PU000268,U0009,P082,2024-08-21,,41700
PU000269,U0009,P067,2024-03-23,5.0,58800
PU000270,U0009,P004,2024-05-04,3.0,205800
PU000271,U0009,P097,2024-04-19,5.0,14800
PU000272,U0009,P070,2024-11-04,3.0,49900
PU000273,U0009,P090,2024-11-07,,30300
PU000274,U0009,P063,2024-11-21,4.0,49300
PU000275,U0009,P091,2024-09-01,4.0,44600
PU000276,U0009,P093,2024-07-24,5.0,25100
PU000277,U0009,P090,2024-05-20,5.0,27300
PU000278,U0009,P091,2024-04-04,5.0,42800
PU000279,U0009,P081,2024-11-06,4.0,25600
PU000280,U0009,P039,2024-02-18,2.0,167200
PU000281,U0009,P088,2024-06-07,,6900
PU000282,U0009,P006,2024-05-29,3.0,178500
PU000283,U0009,P050,2024-11-25,1.0,36600
PU000284,U0009,P098,2024-08-01,4.0,26900
PU000285,U0009,P091,2024-07-31,4.0,46100
PU000286,U0009,P100,2024-07-19,,26400
PU000287,U0009,P098,2024-03-09,4.0,24500
PU000288,U0009,P098,2024-12-30,3.0,23100
PU000289,U0009,P089,2024-05-11,5.0,20700
PU000290,U0009,P099,2024-05-02,5.0,20900
PU000291,U0009,P020,2024-09-01,4.0,170500
PU000292,U0009,P021,2024-04-30,5.0,127600
PU000293,U0009,P015,2024-02-11,5.0,140300
PU000294,U0010,P008,2024-01-01,3.0,244100
PU000295,U0010,P084,2024-05-06,4.0,23000
PU000296,U0010,P082,2024-05-05,4.0,49100
PU000297,U0010,P053,2024-07-19,,33100
PU000298,U0010,P097,2024-01-09,,15300
PU000299,U0010,P088,2024-02-10,5.0,8300
PU000300,U0010,P092,2024-05-15,4.0,60400
PU000301,U0010,P095,2024-01-12,5.0,33200
PU000302,U0010,P087,2024-03-02,5.0,21700
PU000303,U0010,P046,2024-09-18,4.0,18500
PU000304,U0010,P034,2024-02-12,4.0,89300
PU000305,U0010,P096,2024-09-02,5.0,47100
PU000306,U0010,P081,2024-06-11,4.0,23800
PU000307,U0010,P082,2024-11-25,5.0,41100
PU000308,U0010,P059,2024-05-04,,42500
PU000309,U0010,P091,2024-07-10,3.0,46300
PU000310,U0010,P035,2024-06-03,3.0,90300
PU000311,U0010,P051,2024-07-08,4.0,10800
PU000312,U0010,P002,2024-12-16,3.0,101400
PU000313,U0010,P074,2024-11-02,1.0,53300
PU000314,U0010,P089,2024-05-12,,24100
PU000315,U0010,P100,2024-08-17,5.0,24200
PU000316,U0010,P096,2024-11-25,5.0,43800
PU000317,U0010,P016,2024-04-19,3.0,248100
PU000318,U0010,P061,2024-04-12,,49400
PU000319,U0010,P084,2024-06-02,3.0,26900
PU000320,U0010,P085,2024-07-31,4.0,57300
PU000321,U0010,P090,2024-01-30,,27000
PU000322,U0010,P100,2024-03-23,5.0,23600
PU000323,U0010,P011,2024-08-26,1.0,131500
PU000324,U0010,P056,2024-10-22,4.0,21000
PU000325,U0010,P098,2024-09-22,5.0,25000
PU000326,U0010,P095,2024-04-19,5.0,41100
PU000327,U0010,P084,2024-01-24,,28800
PU000328,U0010,P091,2024-01-18,4.0,39600
PU000329,U0010,P086,2024-07-29,,58200
PU000330,U0010,P022,2024-01-26,2.0,154100
PU000331,U0010,P090,2024-12-01,3.0,29900
PU000332,U0010,P067,2024-04-23,3.0,56200
PU000333,U0010,P094,2024-06-19,4.0,49400
PU000334,U0010,P087,2024-07-25,4.0,23700
PU000335,U0010,P083,2024-12-07,4.0,35200
PU000336,U0011,P083,2024-08-27,4.0,32800
PU000337,U0011,P002,2024-07-22,3.0,100200
PU000338,U0011,P015,2024-03-03,4.0,149300
PU000339,U0011,P070,2024-06-27,5.0,56400
PU000340,U0011,P090,2024-03-11,2.0,25800
PU000341,U0011,P020,2024-03-02,5.0,177600
PU000342,U0011,P020,2024-01-15,5.0,176400
PU000343,U0011,P007,2024-04-21,5.0,370000
PU000344,U0011,P046,2024-08-31,,18700
PU000345,U0011,P020,2024-10-15,5.0,203900
PU000346,U0011,P017,2024-12-19,5.0,82100
PU000347,U0011,P012,2024-04-13,4.0,258400
PU000348,U0011,P023,2024-07-30,3.0,126900
PU000349,U0011,P019,2024-11-30,5.0,164700
PU000350,U0011,P011,2024-05-14,4.0,147700
PU000351,U0011,P018,2024-05-22,4.0,84200
PU000352,U0011,P016,2024-02-19,4.0,236300
PU000353,U0011,P078,2024-04-19,3.0,19900
PU000354,U0011,P034,2024-10-26,5.0,96100
PU000355,U0011,P013,2024-03-26,4.0,146900
PU000356,U0011,P015,2024-07-10,3.0,169300
PU000357,U0011,P004,2024-01-28,3.0,207000
PU000358,U0011,P009,2024-12-18,4.0,151300
PU000359,U0011,P008,2024-02-26,4.0,237900
PU000360,U0011,P011,2024-03-23,5.0,123400
PU000361,U0011,P013,2024-04-05,5.0,183700
PU000362,U0011,P045,2024-02-18,,40200
PU000363,U0011,P016,2024-09-24,,246500
PU000364,U0011,P042,2024-11-10,3.0,11400
PU000365,U0011,P014,2024-04-04,5.0,37700
PU000366,U0011,P013,2024-06-30,,162900
PU000367,U0011,P020,2024-05-18,4.0,192100
PU000368,U0012,P031,2024-08-07,,28000
PU000369,U0012,P014,2024-09-07,5.0,37200
PU000370,U0012,P041,2024-09-27,5.0,36200
PU000371,U0012,P064,2024-05-06,,57700
PU000372,U0012,P098,2024-06-25,4.0,30300
PU000373,U0012,P088,2024-07-26,,8500
PU000374,U0012,P051,2024-06-10,4.0,9700
PU000375,U0012,P064,2024-07-30,2.0,52600
PU000376,U0012,P027,2024-06-07,,75000
PU000377,U0012,P059,2024-01-18,5.0,37900
PU000378,U0012,P093,2024-07-14,4.0,23700
PU000379,U0012,P059,2024-12-14,,43000
PU000380,U0012,P065,2024-03-26,4.0,69700
PU000381,U0012,P016,2024-03-12,2.0,285800
PU000382,U0012,P030,2024-05-06,,116800
PU000383,U0012,P009,2024-07-06,,169100
PU000384,U0012,P073,2024-04-03,4.0,52400
PU000385,U0012,P054,2024-07-28,4.0,31400
PU000386,U0012,P059,2024-08-04,4.0,38500
PU000387,U0012,P007,2024-10-25,4.0,373400
PU000388,U0012,P090,2024-06-21,5.0,30400
PU000389,U0012,P089,2024-10-20,,24500
PU000390,U0012,P028,2024-09-08,,48400
PU000391,U0013,P046,2024-06-13,4.0,14300
PU000392,U0013,P009,2024-08-27,4.0,155900
PU000393,U0013,P054,2024-05-27,3.0,31800
PU000394,U0013,P053,2024-02-14,,32300
PU000395,U0013,P055,2024-07-20,4.0,20900
PU000396,U0013,P053,2024-07-25,,29200
PU000397,U0013,P057,2024-10-11,5.0,20800
PU000398,U0013,P057,2024-12-18,3.0,22000
PU000399,U0013,P072,2024-03-29,,71500
PU000400,U0013,P055,2024-03-09,5.0,22800
PU000401,U0013,P053,2024-09-07,4.0,31500
PU000402,U0013,P056,2024-02-25,,19100
PU000403,U0013,P045,2024-03-11,4.0,50100
PU000404,U0013,P006,2024-03-12,2.0,142600
PU000405,U0013,P059,2024-08-02,3.0,47800
PU000406,U0013,P059,2024-07-26,,39400
PU000407,U0013,P049,2024-06-07,5.0,26600
PU000408,U0013,P045,2024-07-08,,48600
PU000409,U0013,P095,2024-09-19,3.0,35200
PU000410,U0013,P091,2024-08-26,,44100
PU000411,U0013,P044,2024-06-13,4.0,26800
PU000412,U0013,P056,2024-12-29,5.0,18300
PU000413,U0014,P097,2024-08-30,5.0,12300
PU000414,U0014,P096,2024-09-17,4.0,39300
PU000415,U0014,P085,2024-11-29,4.0,52300
PU000416,U0014,P069,2024-05-15,5.0,22500
PU000417,U0014,P047,2024-12-29,5.0,28400
PU000418,U0014,P052,2024-08-18,3.0,45800
PU000419,U0014,P085,2024-03-15,4.0,53600
PU000420,U0014,P098,2024-12-18,,26000
PU000421,U0014,P085,2024-03-26,4.0,59000
PU000422,U0014,P051,2024-08-24,,10700
PU000423,U0014,P087,2024-03-08,4.0,26800
PU000424,U0014,P090,2024-12-12,5.0,25400
PU000425,U0014,P089,2024-09-19,4.0,23800
PU000426,U0014,P092,2024-01-22,5.0,55700
PU000427,U0014,P100,2024-10-25,4.0,26000
PU000428,U0014,P087,2024-04-03,3.0,25300
PU000429,U0014,P085,2024-05-26,5.0,49100
PU000430,U0014,P084,2024-12-14,3.0,25300
PU000431,U0014,P017,2024-06-12,3.0,67800
PU000432,U0014,P023,2024-06-15,2.0,134800
PU000433,U0014,P099,2024-05-05,4.0,20000
PU000434,U0014,P087,2024-09-30,4.0,23500
PU000435,U0014,P082,2024-02-19,5.0,42300
PU000436,U0014,P037,2024-07-04,3.0,73700
PU000437,U0014,P086,2024-06-11,4.0,52600
PU000438,U0014,P043,2024-02-26,2.0,17600
PU000439,U0014,P085,2024-12-20,5.0,54700
PU000440,U0014,P066,2024-04-06,3.0,12600
PU000441,U0014,P062,2024-12-11,2.0,52400
PU000442,U0014,P100,2024-11-30,4.0,24400
PU000443,U0014,P083,2024-12-23,5.0,33800
PU000444,U0014,P041,2024-04-05,,36100
PU000445,U0014,P082,2024-09-20,3.0,43100
PU000446,U0014,P086,2024-05-12,3.0,47100
PU000447,U0014,P043,2024-09-03,5.0,19000
PU000448,U0014,P086,2024-05-26,4.0,55400
PU000449,U0014,P017,2024-03-02,3.0,82300
PU000450,U0014,P092,2024-04-27,5.0,60400
PU000451,U0014,P083,2024-11-16,5.0,36000
PU000452,U0014,P095,2024-05-09,5.0,33200
PU000453,U0014,P086,2024-01-06,5.0,51300
PU000454,U0014,P047,2024-12-30,3.0,26300
PU000455,U0014,P089,2024-02-12,5.0,21300
PU000456,U0014,P093,2024-11-25,5.0,25700
PU000457,U0014,P012,2024-08-03,2.0,221900
PU000458,U0014,P022,2024-03-20,,132300
PU000459,U0014,P060,2024-04-27,4.0,30100
PU000460,U0014,P092,2024-07-02,4.0,66300
PU000461,U0014,P082,2024-05-28,5.0,44700
PU000462,U0014,P097,2024-11-22,5.0,14600
PU000463,U0014,P095,2024-07-29,4.0,42800
PU000464,U0014,P100,2024-01-13,5.0,22900
PU000465,U0014,P062,2024-11-29,3.0,43300
PU000466,U0014,P084,2024-03-08,3.0,26000
PU000467,U0014,P083,2024-01-29,4.0,36300
PU000468,U0014,P096,2024-09-06,4.0,43200
PU000469,U0014,P094,2024-06-30,,51900
PU000470,U0014,P097,2024-11-25,,15200
PU000471,U0014,P100,2024-10-18,4.0,21600
PU000472,U0014,P095,2024-12-17,4.0,37500
PU000473,U0014,P088,2024-10-06,5.0,6600
PU000474,U0014,P099,2024-04-02,4.0,19500
PU000475,U0014,P055,2024-08-15,1.0,22000
PU000476,U0015,P081,2024-10-08,,23700
PU000477,U0015,P096,2024-10-27,5.0,43700
PU000478,U0015,P084,2024-05-02,,24500
PU000479,U0015,P034,2024-03-12,2.0,88900
PU000480,U0015,P081,2024-07-22,5.0,25100
PU000481,U0015,P061,2024-01-05,3.0,61600
PU000482,U0015,P094,2024-11-17,3.0,46500
PU000483,U0015,P086,2024-05-08,4.0,51500
PU000484,U0015,P097,2024-01-06,4.0,14600
PU000485,U0015,P091,2024-08-02,3.0,45100
PU000486,U0015,P085,2024-10-02,5.0,51900
PU000487,U0015,P091,2024-12-20,5.0,38200
PU000488,U0015,P083,2024-05-14,4.0,31500
PU000489,U0015,P018,2024-12-14,4.0,72400
PU000490,U0015,P086,2024-02-15,4.0,52000
PU000491,U0015,P094,2024-06-26,5.0,41300
PU000492,U0016,P005,2024-04-03,4.0,256300
PU000493,U0016,P012,2024-10-16,4.0,258800
PU000494,U0016,P014,2024-09-15,4.0,38400
PU000495,U0016,P092,2024-09-01,5.0,66200
PU000496,U0016,P004,2024-12-13,5.0,189000
PU000497,U0016,P012,2024-02-12,,277700
PU000498,U0016,P003,2024-10-12,4.0,82000
PU000499,U0016,P015,2024-11-18,3.0,133100
PU000500,U0016,P019,2024-07-08,,221300
PU000501,U0016,P026,2024-11-08,4.0,70300
PU000502,U0016,P008,2024-06-02,3.0,278000
PU000503,U0016,P008,2024-10-29,4.0,277300
PU000504,U0016,P018,2024-04-22,5.0,78100
PU000505,U0016,P013,2024-12-07,4.0,175400
PU000506,U0016,P092,2024-07-25,4.0,65700
PU000507,U0016,P006,2024-08-09,4.0,134500
PU000508,U0016,P072,2024-07-19,4.0,71900
PU000509,U0016,P061,2024-09-19,,57400
PU000510,U0017,P003,2024-04-22,,80200
PU000511,U0017,P099,2024-08-28,4.0,17800
PU000512,U0017,P046,2024-01-10,4.0,14300
PU000513,U0017,P073,2024-09-14,5.0,51700
PU000514,U0017,P055,2024-09-13,4.0,18400
PU000515,U0017,P051,2024-01-16,5.0,9000
PU000516,U0017,P060,2024-04-25,4.0,28200
PU000517,U0017,P036,2024-10-28,4.0,65900
PU000518,U0017,P077,2024-08-16,3.0,47600
PU000519,U0017,P057,2024-01-24,5.0,20500
PU000520,U0017,P058,2024-06-03,3.0,36100
PU000521,U0017,P021,2024-10-28,2.0,119800
PU000522,U0017,P046,2024-12-08,5.0,18100
PU000523,U0017,P039,2024-03-01,4.0,147600
PU000524,U0017,P050,2024-04-29,5.0,32200
PU000525,U0017,P055,2024-09-27,5.0,22100
PU000526,U0017,P085,2024-12-29,,57300
PU000527,U0017,P044,2024-10-02,4.0,22100
PU000528,U0017,P051,2024-12-03,4.0,11600
PU000529,U0017,P042,2024-03-08,,10700
PU000530,U0017,P073,2024-01-30,4.0,55500
PU000531,U0017,P066,2024-11-08,4.0,14200
PU000532,U0017,P044,2024-11-30,,23500
PU000533,U0017,P068,2024-04-04,,25300
PU000534,U0017,P048,2024-04-04,4.0,51600
PU000535,U0017,P055,2024-10-30,4.0,18400
PU000536,U0017,P090,2024-02-06,5.0,24300
PU000537,U0017,P057,2024-10-31,3.0,26500
PU000538,U0017,P041,2024-10-03,5.0,28100
PU000539,U0017,P097,2024-07-29,3.0,12500
PU000540,U0017,P059,2024-05-01,4.0,43600
PU000541,U0017,P054,2024-03-24,4.0,30900
PU000542,U0017,P037,2024-02-21,5.0,81100
PU000543,U0018,P048,2024-06-24,3.0,48700
PU000544,U0018,P002,2024-03-01,4.0,113900
PU000545,U0018,P051,2024-08-28,3.0,11800
PU000546,U0018,P070,2024-05-21,4.0,47900
PU000547,U0018,P022,2024-01-13,5.0,160800
